family,scientificName,document,field,reference
APIACEAE,"Eryngium goulartii",profile,ecology,"Fiaschi, P.; Cota, M. R. C. Apiaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB102913>. Acesso em: 06 Abr. 2015"
APIACEAE,"Eryngium goulartii",profile,threats,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>."
APIACEAE,"Eryngium goulartii",profile,threats,"ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>."
APIACEAE,"Eryngium goulartii",profile,threats,"ICMBio, 2014b. Incêndio enfraquece no Parque Nacional da Serra dos Órgãos. Notícias. Disponível em: <http://www.ibama.gov.br/publicadas/incendio-enfraquece-no-parque-nacional-da-serra-dos-orgaos>"
DICHAPETALACEAE,"Stephanopodium estrellense",profile,distribution,"Medeiros, H., Amorim, A.M.A. 2015. Dichapetalaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB7329>. Acesso em: 28 Abr. 2015"
DICHAPETALACEAE,"Stephanopodium estrellense",profile,ecology,"Medeiros, H., Amorim, A.M.A. 2015. Dichapetalaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB7329>. Acesso em: 28 Abr. 2015"
ACANTHACEAE,"Ruellia herbstii",profile,taxonomicNotes,"Sartin, R.D., de Castro Peixoto, J., Lopes, D.B., de Paula, J.R., 2014. Flora do Bioma Cerrado: Abordagem de estudos da família Acanthaceae Juss–Espécies Ornamentais no Brasil. Front. Soc. Technol. Environ. Sci. 3, 161–a."
ACANTHACEAE,"Ruellia herbstii",profile,economicValue,"Corrêa, M.P., Pena, L. de A., 1984. Dicionário das plantas úteis do Brasil e das exóticas cultivadas vol II. Ministério da Agricultura, Instituto Brasileiro de Desenvolvimento Florestal, Rio de Janeiro."
ACANTHACEAE,"Ruellia herbstii",profile,distribution,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 18 mar. 2015."
ACANTHACEAE,"Ruellia herbstii",profile,ecology,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 18 mar. 2015."
ACANTHACEAE,"Ruellia herbstii",profile,uses,"Corrêa, M.P., Pena, L. de A., 1984. Dicionário das plantas úteis do Brasil e das exóticas cultivadas vol II. Ministério da Agricultura, Instituto Brasileiro de Desenvolvimento Florestal, Rio de Janeiro."
ACANTHACEAE,"Ruellia silvaccola",profile,ecology,"Profice, S., 2014. Acanthaceae. Catálogo das espécies plantas vasculares e briófitas do Estado do Rio Janeiro. Rio Janeiro: Inst. Pesqui. Jard. Botânico do Rio Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em 19 mar. 2015."
ACANTHACEAE,"Ruellia silvaccola",profile,ecology,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 19 mar. 2015."
ACANTHACEAE,"Ruellia silvaccola",profile,threats,"Bohrer, C.B. de A., Dantas, H.G.R., Cronemberger, F.M., Vicens, R.S., Andrade, S.F. de, 2015. Instituto de Pesquisas Jardim Botânico do Rio de Janeiro Mapeamento da vegetação e do uso do solo no Centro de Diversidade Vegetal de Cabo Frio , Rio de All use subject to JSTOR Terms and Conditions. Rodriguésia 60, 1–23."
ACANTHACEAE,"Ruellia silvaccola",profile,threats,"Buzato, E., 2012. Avaliação de impactos ambientais no município de Ubatuba : uma proposta a partir dos geoindicadores. Universidade de São Paulo."
ACANTHACEAE,"Ruellia silvaccola",profile,threats,"Filho, E.T.D.C., Bravo, E.J.C.., Tinoco, T., 2010. Florística preliminar e bioinvasão na Restinga da Praia de Itauna devido a ocupação desordenada, Saquarema, RJ., in: 13o Simpósio de Biologia Marinha. Santos, SP, p. 4."
ACANTHACEAE,"Ruellia silvaccola",profile,threats,"Holzer, W., Crichyno, J., Pires, A.C., 2004. Sustentabilidade da urbanização em áreas de restinga: uma proposta de avaliação pós-ocupação. Paisag. e Ambient. 49–65."
ACANTHACEAE,"Ruellia silvaccola",profile,threats,"Filho, E.T.D.C., Bravo, E.J.C.., Tinoco, T., 2010. Florística preliminar e bioinvasão na Restinga da Praia de Itauna devido a ocupação desordenada, Saquarema, RJ., in: 13o Simpósio de Biologia Marinha. Santos, SP, p. 4."
ACANTHACEAE,"Ruellia silvaccola",profile,threats,"Filho, E.T.D.C., Bravo, E.J.C.., Tinoco, T., 2010. Florística preliminar e bioinvasão na Restinga da Praia de Itauna devido a ocupação desordenada, Saquarema, RJ., in: 13o Simpósio de Biologia Marinha. Santos, SP, p. 4."
ACANTHACEAE,"Schaueria calycotricha",profile,distribution,"Profice, S., 2014. Acanthaceae. Catálogo das espécies plantas vasculares e briófitas do Estado do Rio Janeiro. Rio Janeiro: Inst. Pesqui. Jard. Botânico do Rio Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em 20 mar. 2015."
ACANTHACEAE,"Schaueria calycotricha",profile,ecology,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 20 mar. 2015."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Barros, A.A.M. de, 2008. Análise Florística e estrutural do Parque Estadual da Serra da Tiririca, Niterói e Maricá, RJ, Brasil. Escola Nacional de Botânica Tropical."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Bohrer, C.B. de A., Dantas, H.G.R., Cronemberger, F.M., Vicens, R.S., Andrade, S.F. de, 2015. Instituto de Pesquisas Jardim Botânico do Rio de Janeiro Mapeamento da vegetação e do uso do solo no Centro de Diversidade Vegetal de Cabo Frio , Rio de All use subject to JSTOR Terms and Conditions. Rodriguésia 60, 1–23.  Davidovich, F., 2001. Metrópole e território : metropolização do espaço no Rio de Janeiro. Cad. Metrópole 6, 67–77."
ACANTHACEAE,"Schaueria calycotricha",profile,threats,"Davidovich, F., 2001. Metrópole e território : metropolização do espaço no Rio de Janeiro. Cad. Metrópole 6, 67–77."
