family,scientificName,endemic,altitude
FABACEAE,"Crotalaria irwinii",yes,500~600
FABACEAE,"Crotalaria rufipila",yes,1200~1620
EUPHORBIACEAE,"Croton arlineae",yes,
CYPERACEAE,"Cryptangium humile",yes,
CYPERACEAE,"Cryptangium polyphyllum",yes,
BROMELIACEAE,"Cryptanthus leopoldo-horstii",yes,1000
LYTHRACEAE,"Cuphea anamariae",unkown,
LYTHRACEAE,"Cuphea cunninghamiifolia",yes,700~830
LYTHRACEAE,"Cuphea disperma",yes,
LYTHRACEAE,"Cuphea fuchsiifolia",yes,600~1100
LYTHRACEAE,"Cuphea glareosa",yes,11~1200
LYTHRACEAE,"Cuphea lucens",yes,
LYTHRACEAE,"Cuphea potamophila",yes,
LYTHRACEAE,"Cuphea sclerophylla",yes,850~1350
LYTHRACEAE,"Cuphea sincorana",yes,
LYTHRACEAE,"Cuphea warmingii",yes,678
LYTHRACEAE,"Cuphea xanthopetala",yes,
CYPERACEAE,"Cyperus almensis",yes,
ASTERACEAE,"Dasyphyllum reticulatum",yes,
ASTERACEAE,"Dasyphyllum retinens",yes,
ASTERACEAE,"Dasyphyllum trichophyllum",yes,
FABACEAE,"Desmodium glabrescens",yes,
FABACEAE,"Desmodium juruenense",yes,580
POACEAE,"Dichanthelium aequivaginatum",,640~1200
POACEAE,"Dichanthelium assurgens",yes,850~1100
POACEAE,"Dichanthelium congestum",yes,980
POACEAE,"Dichanthelium sendulskyii",yes,1380
POACEAE,"Digitaria chaseae",yes,181
POACEAE,"Digitaria pampinosa",yes,1750
RUBIACEAE,"Diodia macrophylla",yes,100~920
EBENACEAE,"Diospyros mexiae",yes,920
LYTHRACEAE,"Diplusodon adpressipilus",yes,1000~1200
LYTHRACEAE,"Diplusodon alatus",,800~1300
LYTHRACEAE,"Diplusodon appendiculosus",yes,830~1400
LYTHRACEAE,"Diplusodon argenteus",yes,870~1200
LYTHRACEAE,"Diplusodon bradei",yes,850~1379
LYTHRACEAE,"Diplusodon canastrensis",yes,
LYTHRACEAE,"Diplusodon capitalensis",yes,1000
LYTHRACEAE,"Diplusodon capitatus",yes,
LYTHRACEAE,"Diplusodon chapadensis",yes,1200
LYTHRACEAE,"Diplusodon decussatus",yes,750~1200
LYTHRACEAE,"Diplusodon floribundus",yes,300~490
