family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
CYPERACEAE,"Lagenocarpus adamantinus",Nees,"Lagenocarpus adamantinus"
CYPERACEAE,"Rhynchospora enmanuelis","Luceño & Rocha","Rhynchospora enmanuelis"
CYPERACEAE,"Rhynchospora tenuis",Link,"Rhynchospora tenuis"
CYPERACEAE,"Scleria cuyabensis",Pilg.,"Scleria cuyabensis"
EBENACEAE,"Diospyros mexiae",Standl.,"Diospyros mexiae"
ERIOCAULACEAE,"Actinocephalus aggregatus",F.N.Costa,"Actinocephalus aggregatus"
ERIOCAULACEAE,"Actinocephalus callophyllus","(Silveira) Sano","Actinocephalus callophyllus"
ERIOCAULACEAE,"Actinocephalus compactus","(Gardner) Sano","Actinocephalus compactus"
ERIOCAULACEAE,"Actinocephalus coutoensis","(Moldenke) Sano","Actinocephalus coutoensis"
ERIOCAULACEAE,"Actinocephalus deflexus",F.N.Costa,"Actinocephalus deflexus"
ERIOCAULACEAE,"Actinocephalus diffusus","(Silveira) Sano","Actinocephalus diffusus"
ERIOCAULACEAE,"Actinocephalus falcifolius","(Körn.) Sano","Actinocephalus falcifolius"
ERIOCAULACEAE,"Actinocephalus fimbriatus","(Silveira) Sano","Actinocephalus fimbriatus"
ERIOCAULACEAE,"Actinocephalus glabrescens","(Silveira) Sano","Actinocephalus glabrescens"
ERIOCAULACEAE,"Actinocephalus graminifolius",F.N.Costa,"Actinocephalus graminifolius"
ERIOCAULACEAE,"Actinocephalus herzogii","(Moldenke) Sano","Actinocephalus herzogii"
ERIOCAULACEAE,"Comanthera cipoensis","(Ruhland) L.R.Parra & Giul.","Comanthera cipoensis"
ERIOCAULACEAE,"Comanthera circinnata","(Bong.) L.R.Parra & Giul.","Comanthera circinnata"
ERIOCAULACEAE,"Comanthera curralensis","(Moldenke) L.R.Parra & Giul.","Comanthera curralensis"
ERIOCAULACEAE,"Comanthera floccosa","(Moldenke) L.R.Parra & Giul.","Comanthera floccosa"
ERIOCAULACEAE,"Comanthera hatschbachii","(Moldenke) L.R.Parra & Giul.","Comanthera hatschbachii"
ERIOCAULACEAE,"Eriocaulon aquatile",Körn.,"Eriocaulon aquatile"
ERIOCAULACEAE,"Eriocaulon burchellii",Ruhland,"Eriocaulon burchellii"
ERIOCAULACEAE,"Eriocaulon cipoense",Silveira,"Eriocaulon cipoense"
ERIOCAULACEAE,"Eriocaulon griseum",Körn.,"Eriocaulon griseum"
ERIOCAULACEAE,"Eriocaulon papillosum",Körn.,"Eriocaulon papillosum"
ERIOCAULACEAE,"Leiothrix cipoensis",Giul.,"Leiothrix cipoensis"
ERIOCAULACEAE,"Leiothrix crassifolia","(Bong.) Ruhland","Leiothrix crassifolia"
ERIOCAULACEAE,"Leiothrix distichoclada",Herzog,"Leiothrix distichoclada"
ERIOCAULACEAE,"Leiothrix luxurians","(Körn.)  Ruhland","Leiothrix luxurians"
ERIOCAULACEAE,"Leiothrix rupestris",Giul.,"Leiothrix rupestris"
ERIOCAULACEAE,"Leiothrix sclerophylla",Silveira,"Leiothrix sclerophylla"
ERIOCAULACEAE,"Leiothrix sinuosa",Giul.,"Leiothrix sinuosa"
ERIOCAULACEAE,"Leiothrix spiralis","(Bong.) Ruhland","Leiothrix spiralis"
ERIOCAULACEAE,"Paepalanthus albidus",Gardner,"Paepalanthus albidus"
ERIOCAULACEAE,"Paepalanthus albo-tomentosus",Herzog,"Paepalanthus albo-tomentosus"
ERIOCAULACEAE,"Paepalanthus almasensis",Moldenke,"Paepalanthus almasensis"
ERIOCAULACEAE,"Paepalanthus anamariae",Hensold,"Paepalanthus anamariae"
ERIOCAULACEAE,"Paepalanthus argenteus","(Bong.) Körn.","Paepalanthus argenteus"
ERIOCAULACEAE,"Paepalanthus aureus",Silveira,"Paepalanthus aureus"
ERIOCAULACEAE,"Paepalanthus barbiger",Silveira,"Paepalanthus barbiger"
ERIOCAULACEAE,"Paepalanthus barbulatus",Herzog,"Paepalanthus barbulatus"
ERIOCAULACEAE,"Paepalanthus cinereus","Giul. & L.R.Parra","Paepalanthus cinereus"
ERIOCAULACEAE,"Paepalanthus complanatus",Silveira,"Paepalanthus complanatus"
ERIOCAULACEAE,"Paepalanthus contasensis",Moldenke,"Paepalanthus contasensis"
ERIOCAULACEAE,"Paepalanthus cordatus",Ruhland,"Paepalanthus cordatus"
ERIOCAULACEAE,"Paepalanthus digitiformis",Hensold,"Paepalanthus digitiformis"
ERIOCAULACEAE,"Paepalanthus erigeron","Mart. ex Körn.","Paepalanthus erigeron"
ERIOCAULACEAE,"Paepalanthus globulifer",Silveira,"Paepalanthus globulifer"
ERIOCAULACEAE,"Paepalanthus harleyi",Moldenke,"Paepalanthus harleyi"
ERIOCAULACEAE,"Paepalanthus homomallus","(Bong.) Mart. ex Körn.","Paepalanthus homomallus"
ERIOCAULACEAE,"Paepalanthus inopinatus",Moldenke,"Paepalanthus inopinatus"
ERIOCAULACEAE,"Paepalanthus luetzelburgii",Herzog,"Paepalanthus luetzelburgii"
ERIOCAULACEAE,"Paepalanthus obtusifolius","(Steud.) Körn.","Paepalanthus obtusifolius"
ERIOCAULACEAE,"Paepalanthus pulvinatus",N.E.Br.,"Paepalanthus pulvinatus"
ERIOCAULACEAE,"Paepalanthus revolutus",Hensold,"Paepalanthus revolutus"
ERIOCAULACEAE,"Paepalanthus rupestris",Gardner,"Paepalanthus rupestris"
ERIOCAULACEAE,"Paepalanthus senaeanus",Ruhland,"Paepalanthus senaeanus"
ERIOCAULACEAE,"Paepalanthus stannardii","Giul. & L.R.Parra","Paepalanthus stannardii"
ERIOCAULACEAE,"Paepalanthus stuetzelii",Hensold,"Paepalanthus stuetzelii"
ERIOCAULACEAE,"Paepalanthus superbus",Ruhland,"Paepalanthus superbus"
ERIOCAULACEAE,"Paepalanthus urbanianus",Ruhland,"Paepalanthus urbanianus"
ERIOCAULACEAE,"Syngonanthus bracteosus",Moldenke,"Syngonanthus bracteosus"
ERIOCAULACEAE,"Syngonanthus hygrotrichus",Ruhland,"Syngonanthus hygrotrichus"
ERIOCAULACEAE,"Syngonanthus latifolius","(Moldenke) Hensold","Syngonanthus latifolius"
EUPHORBIACEAE,"Croton arlineae","D.Medeiros et al.","Croton arlineae"
FABACEAE,"Aeschynomene graminoides",G.P.Lewis,"Aeschynomene graminoides"
