"family","scientificName","analysis","assessment","category","criteria"
"ERIOCAULACEAE","Actinocephalus fimbriatus","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus glabrescens","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus graminifolius","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus herzogii","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Comanthera cipoensis","done","comments","NT",""
"ERIOCAULACEAE","Comanthera circinnata","done","comments","VU","D2"
"ERIOCAULACEAE","Comanthera curralensis","done","comments","VU","B1ab(i,ii,iii)"
"ERIOCAULACEAE","Comanthera floccosa","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Comanthera hatschbachii","done","comments","VU","B1ab(i,iii)"
"ERIOCAULACEAE","Eriocaulon aquatile","done","comments","LC",""
"ERIOCAULACEAE","Eriocaulon burchellii","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ERIOCAULACEAE","Eriocaulon cipoense","done","comments","CR","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Eriocaulon griseum","done","comments","DD",""
"ERIOCAULACEAE","Eriocaulon papillosum","done","comments","DD",""
"ERIOCAULACEAE","Leiothrix cipoensis","done","comments","DD",""
"ERIOCAULACEAE","Leiothrix crassifolia","done","comments","LC",""
"ERIOCAULACEAE","Leiothrix distichoclada","done","comments","LC",""
"ERIOCAULACEAE","Leiothrix luxurians","done","open","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Leiothrix rupestris","done","comments","CR","B2ab(iii)"
"ERIOCAULACEAE","Leiothrix sclerophylla","done","comments","VU","D2"
"ERIOCAULACEAE","Leiothrix sinuosa","done","comments","VU","D2"
"ERIOCAULACEAE","Leiothrix spiralis","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus albidus","done","comments","VU","B1ab(i,ii,iii,iv)"
"ERIOCAULACEAE","Paepalanthus albo-tomentosus","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus almasensis","done","comments","EN","B2ab(i,ii,iii)"
"ERIOCAULACEAE","Paepalanthus anamariae","done","comments","DD",""
"ERIOCAULACEAE","Paepalanthus argenteus","done","comments","LC",""
"ERIOCAULACEAE","Paepalanthus aureus","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus barbiger","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus barbulatus","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus cinereus","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus complanatus","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus contasensis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ERIOCAULACEAE","Paepalanthus cordatus","done","comments","CR","B2ab(i,ii,iii)"
"ERIOCAULACEAE","Paepalanthus digitiformis","done","comments","DD",""
"ERIOCAULACEAE","Paepalanthus erigeron","done","comments","VU","B1ab(i,ii,iii)"
"ERIOCAULACEAE","Paepalanthus globulifer","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"ERIOCAULACEAE","Paepalanthus harleyi","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus homomallus","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus inopinatus","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus luetzelburgii","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus obtusifolius","done","comments","LC",""
"ERIOCAULACEAE","Paepalanthus pulvinatus","done","comments","VU","B1ab(iii)"
"ERIOCAULACEAE","Paepalanthus revolutus","done","comments","EN","B2ab(i,ii,iii)"
"ERIOCAULACEAE","Paepalanthus rupestris","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus senaeanus","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus stannardii","done","comments","VU","D2"
"ERIOCAULACEAE","Paepalanthus stuetzelii","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus superbus","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Paepalanthus urbanianus","done","comments","NT",""
"ERIOCAULACEAE","Syngonanthus bracteosus","done","comments","DD",""
"ERIOCAULACEAE","Syngonanthus hygrotrichus","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Syngonanthus latifolius","done","comments","DD",""
"EUPHORBIACEAE","Croton arlineae","done","comments","DD",""
"FABACEAE","Aeschynomene graminoides","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Aeschynomene simplicifolia","done","comments","VU","D2"
"FABACEAE","Bauhinia candelabriformis","done","comments","CR","B1ab(i,ii,iii)"
"FABACEAE","Bauhinia leptantha","done","comments","VU","B1ab(i,ii,iii)"
"FABACEAE","Bauhinia malacotrichoides","done","comments","VU","D2"
"FABACEAE","Bocoa ratteri","done","comments","DD",""
"FABACEAE","Calliandra gardneri","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Calliandra imbricata","done","comments","DD",""
"FABACEAE","Calliandra linearis","done","comments","VU","D2"
"FABACEAE","Calliandra santosiana","done","comments","DD",""
"FABACEAE","Calliandra semisepulta","done","comments","VU","D2"
"FABACEAE","Chamaecrista adamantina","done","comments","DD",""
"FABACEAE","Chamaecrista altoana","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Chamaecrista caiapo","done","comments","DD",""
"FABACEAE","Chamaecrista caracensis","done","comments","DD",""
"FABACEAE","Chamaecrista catapodia","done","comments","DD",""
"FABACEAE","Chamaecrista catiarae","done","comments","DD",""
"FABACEAE","Chamaecrista centiflora","done","comments","DD",""
"FABACEAE","Chamaecrista coradinii","done","comments","VU","D2"
"FABACEAE","Chamaecrista coriacea","done","comments","CR","B2ab(i,ii,iii)"
"FABACEAE","Chamaecrista deltoidea","done","comments","DD",""
"FABACEAE","Chamaecrista dumalis","done","comments","NT",""
"FABACEAE","Chamaecrista ericifolia","done","comments","EN","B1ab(i,ii,iii)"
"FABACEAE","Chamaecrista fuscescens","done","comments","DD",""
"FABACEAE","Chamaecrista geraldii","done","comments","DD",""
"FABACEAE","Chamaecrista gumminans","done","comments","DD",""
"FABACEAE","Chamaecrista hatschbachii","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Chamaecrista itabiritoana","done","comments","CR","B1ab(i,ii,iii)"
"FABACEAE","Chamaecrista ixodes","open","comments","DD",""
"FABACEAE","Chamaecrista lavradioides","done","comments","VU","D2"
"FABACEAE","Chamaecrista leucopilis","done","comments","DD",""
"FABACEAE","Chamaecrista macedoi","done","comments","EN","B2ab(i,ii,iii)"
"FABACEAE","Chamaecrista ochrosperma","done","comments","VU","B1ab(iii)"
"FABACEAE","Chamaecrista pachyclada","done","comments","DD",""
"FABACEAE","Chamaecrista phyllostachya","done","comments","EN","B1ab(iii)+2ab(iii)"
"FABACEAE","Chamaecrista pilicarpa","done","comments","DD",""
"FABACEAE","Chamaecrista polymorpha","done","comments","DD",""
"FABACEAE","Chamaecrista psoraleopsis","done","comments","DD",""
"FABACEAE","Chamaecrista simplifacta","done","comments","EN","B1ab(iii)+2ab(iii)"
"FABACEAE","Chamaecrista vauthieri","done","comments","EN","B1ab(i,ii,iii)"
"FABACEAE","Chamaecrista virginis","done","comments","DD",""
"FABACEAE","Crotalaria goiasensis","done","comments","NT",""
"FABACEAE","Crotalaria irwinii","done","comments","CR","B1ab(i,ii,iii)"
"FABACEAE","Crotalaria rufipila","done","comments","NT",""
"FABACEAE","Desmodium glabrescens","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Desmodium juruenense","done","comments","EN","B2ab(i,ii,iii)"
"FABACEAE","Mimosa cryptothamnos","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"FABACEAE","Mimosa cyclophylla","done","comments","CR","B2ab(i,ii,iii)"
"FABACEAE","Mimosa decorticans","done","comments","LC",""
"FABACEAE","Mimosa humivagans","done","comments","DD",""
"FABACEAE","Mimosa laniceps","done","comments","DD",""
"FABACEAE","Mimosa lepidophora","done","comments","NT",""
"FABACEAE","Mimosa manidea","done","comments","NT",""
"FABACEAE","Mimosa oligosperma","done","comments","EN","B1ab(i,ii,iii)"
"FABACEAE","Mimosa pycnocoma","done","comments","DD",""
