family,scientificName,action,situation,details,references
ORCHIDACEAE,"Hoffmannseggella pendula","1.1 Site/area protection","on going","Ocorre em unidade de conservação: Parque Estadual de Cachoeira do Campo (MG) (Van den Berg et al. In Plantas Raras do Brasil; Giulietti et al., 2009).","VAN DEN BERG, C.; BARROS, F.; SINGER, R.B.; AZEVEDO, C.O.; CHIRON, G.R.; SMIDT, E.C.; FORSTER, W.; FELIX, L.P.; FIGUEIRÊDO, G.R.G.; MONTEIRO, S.H.N. Orchidaceae. In: GIULIETTI, A.M.; RAPINI, A.; ANDRADE, M.J.G.; QUEIROZ, L.P.; SILVA, J.M.C. Plantas Raras do Brasil. Belo Horizonte: Conservaçao Internacional; Univesidade Estadual de Feira de Santana, 2009. p. 299-309."
AQUIFOLIACEAE,"Ilex mucugensis","5.1.1 International level","on going","Ilex mucugensis é conhecida a partir de única localidade e apresenta uma EOO estimada inferior a 5000 Km², podendo assim, ser considerada ""Em Perigo"", de acordo com o critério B1a, levando-se em conta os critérios adotados pela IUCN (2001) (Groppo, 2007). 

","GROPPO, M. A new species of Ilex (Aquifoliaceae) from Espinhaço Range, Bahia, Brazil. Botanical Journal of the Linnean Society, 155: 153–156. 2007"
AQUIFOLIACEAE,"Ilex mucugensis","1.1 Site/area protection","on going","Há registro da espécie no PARNA da Chapada Diamantina (Groppo, 2007). Entretanto, o Parque carece de recursos e organização para colocar seu plano de manejo em funcionamento e regular as atividades na Unidade (MMA/ICMBio, 2007).","GROPPO, M. A new species of Ilex (Aquifoliaceae) from Espinhaço Range, Bahia, Brazil. Botanical Journal of the Linnean Society, 155: 153–156. 2007;MMA/ICMBio. Plano de Manejo para o Parque Nacional da Chapada Diamantina – Versão Preliminar. Presente em: <http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/parna_chapada_diamantina.pdf>., 2007. Acessado em 03 set. 2013."
BIGNONIACEAE,"Jacaranda racemosa","1.1 Site/area protection","on going","Ocorre no Parque Nacional da Serra da Canastra (MG) (Santana et al., 2011).","SANTANA, O.A.; JÚNIOR, A.C.; GOMES, R.A.T.; COUTO JÚNIOR, A.F.; SOUZA, V.V.; OLIVEIRA, S.N.; FREITAS, L.F.; GUIMARÃES, R.F.; MARTINS, E.S. Inventário das espécies vegetais na Serra da Canastra, Parque Nacional da Serra da Canastra, Minas Gerais, Brasil. Espaço & Geografia, v. 14, n. 1, p. 53-77, 2011."
MALPIGHIACEAE,"Janusia christianeae","1.1 Site/area protection",needed,"A espécie ocorre em uma das áreas mais degradadas do sertão baiano, e não encontra-se protegida por nenhuma categoria de Unidade de Conservação (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>."
ACANTHACEAE,"Justicia clivalis","1.1 Site/area protection","on going","Ocorre no Monumento Natural do Morro da Pedreira (Morro do Urubu), em Brasília (M.R.V. Zanatta et al. 1339).",
CALOPHYLLACEAE,"Kielmeyera juruensis","1.1 Site/area protection","on going","No município de Juruena há o Parque Nacional do Juruena, sob os cuidados do ICMBio. Atualmente, nesta área, é possível que haja maiores chances de a espécie ser encontrada (Trad, com. pess.)",
CALOPHYLLACEAE,"Kielmeyera trichophora","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional das Emas (M.A. Batalha 2035).",
CYPERACEAE,"Lagenocarpus adamantinus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
CUNONIACEAE,"Lamanonia brasiliensis","1.1 Site/area protection","on going","Ocorre na Reserva Ecológica do IBGE, Distrito Federal (E.P. Heringer 7616).",
VERBENACEAE,"Lantana gracilis","1.1 Site/area protection","on going","A espécie foi coletada em Unidade de Conservação (Parque Nacional da Serra de Itabaiana) (T.V.P. Dantas 14).",
