family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
CALOPHYLLACEAE,"Kielmeyera anisosepala",Saddi,done,comments,DD,
CALOPHYLLACEAE,"Kielmeyera juruensis",Saddi,done,comments,DD,
CALOPHYLLACEAE,"Kielmeyera similis",Saddi,done,comments,CR,D1
CALOPHYLLACEAE,"Kielmeyera trichophora",Saddi,done,comments,CR,"B2ab(i,ii,iii,iv);D1"
CAMPANULACEAE,"Lobelia brasiliensis","A.O.S.Vieira & G.J.Sheph.",done,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii)"
CARYOPHYLLACEAE,"Paronychia fasciculata",Chaudhri,done,comments,CR,"B2ab(i,ii,iii,iv)"
CELASTRACEAE,"Maytenus opaca",Reissek,done,comments,NT,
CHRYSOBALANACEAE,"Hirtella juruensis",Pilg.,done,comments,EN,"B2ab(i,ii,iii,iv)"
CHRYSOBALANACEAE,"Licania maguirei",Prance,done,comments,EN,"B2ab(i,ii,iii,iv)"
COMMELINACEAE,"Tripogandra elata",D.R.Hunt,done,comments,EN,"B2ab(i,ii,iii,iv,v)"
COMMELINACEAE,"Tripogandra warmingiana","(Seub.) Handlos",done,comments,VU,"A4c;B2ab(i,ii,iii,iv)"
CONNARACEAE,"Rourea chrysomalla","Glaz. ex G.Schellenb.",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
CONNARACEAE,"Rourea prancei",Forero,done,comments,DD,
CONNARACEAE,"Rourea tenuis",G.Schellenb.,done,comments,DD,
CONVOLVULACEAE,"Bonamia kuhlmannii",Hoehne,done,comments,CR,"B2ab(i,ii,iii,iv)"
CONVOLVULACEAE,"Evolvulus chapadensis","Glaz. ex Ooststr.",done,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
CONVOLVULACEAE,"Evolvulus gnaphalioides",Moric.,done,comments,EN,"B2ab(i,ii,iii,iv)"
CONVOLVULACEAE,"Ipomoea calyptrata",Dammer,done,comments,DD,
CUCURBITACEAE,"Apodanthera villosa",C.Jeffrey,done,comments,VU,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
CUCURBITACEAE,"Cayaponia rugosa","Gomes-Klein & Pirani",done,comments,DD,
CUNONIACEAE,"Lamanonia brasiliensis","Zickel & Leitão",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
CYPERACEAE,"Abildgaardia papillosa","Kral & M.T.Strong",done,comments,CR,"B2ab(ii,iii)"
CYPERACEAE,"Bulbostylis lombardii","Kral & M.T.Strong",done,comments,NT,
CYPERACEAE,"Cryptangium humile","(Nees) Boeckeler",done,comments,EN,B2ab(iii)
CYPERACEAE,"Cryptangium polyphyllum","(Nees) Boeckeler",done,comments,EN,B2ab(iii)
CYPERACEAE,"Cyperus almensis",D.A.Simpson,done,comments,EN,B1ab(iii)+2ab(iii)
CYPERACEAE,"Eleocharis loefgreniana",Boeckeler,done,comments,LC,
CYPERACEAE,"Eleocharis morroi",D.A.Simpson,done,comments,EN,B1ab(iii)+2ab(iii)
CYPERACEAE,"Eleocharis olivaceonux",D.A.Simpson,done,comments,EN,"B1ab(ii,iii)+2ab(ii,iii)"
CYPERACEAE,"Lagenocarpus adamantinus",Nees,done,comments,VU,B1ab(iii)
CYPERACEAE,"Rhynchospora enmanuelis","Luceño & Rocha",done,comments,EN,B1ab(iii)+2ab(iii)
CYPERACEAE,"Rhynchospora tenuis",Link,done,comments,LC,
CYPERACEAE,"Scleria cuyabensis",Pilg.,done,comments,NT,
EBENACEAE,"Diospyros mexiae",Standl.,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Actinocephalus aggregatus",F.N.Costa,done,comments,DD,
ERIOCAULACEAE,"Actinocephalus callophyllus","(Silveira) Sano",done,comments,DD,
ERIOCAULACEAE,"Actinocephalus compactus","(Gardner) Sano",done,comments,DD,
ERIOCAULACEAE,"Actinocephalus coutoensis","(Moldenke) Sano",done,comments,DD,
ERIOCAULACEAE,"Actinocephalus deflexus",F.N.Costa,done,comments,EN,"B2ab(i,ii,iii)"
ERIOCAULACEAE,"Actinocephalus diffusus","(Silveira) Sano",done,comments,DD,
ERIOCAULACEAE,"Actinocephalus falcifolius","(Körn.) Sano",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ERIOCAULACEAE,"Actinocephalus fimbriatus","(Silveira) Sano",done,comments,DD,
ERIOCAULACEAE,"Actinocephalus glabrescens","(Silveira) Sano",done,comments,DD,
ERIOCAULACEAE,"Actinocephalus graminifolius",F.N.Costa,done,comments,DD,
ERIOCAULACEAE,"Actinocephalus herzogii","(Moldenke) Sano",done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Comanthera cipoensis","(Ruhland) L.R.Parra & Giul.",done,comments,NT,
ERIOCAULACEAE,"Comanthera circinnata","(Bong.) L.R.Parra & Giul.",done,comments,VU,D2
ERIOCAULACEAE,"Comanthera curralensis","(Moldenke) L.R.Parra & Giul.",done,comments,VU,"B1ab(i,ii,iii)"
ERIOCAULACEAE,"Comanthera floccosa","(Moldenke) L.R.Parra & Giul.",done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Comanthera hatschbachii","(Moldenke) L.R.Parra & Giul.",done,comments,VU,"B1ab(i,iii)"
ERIOCAULACEAE,"Eriocaulon aquatile",Körn.,done,comments,LC,
ERIOCAULACEAE,"Eriocaulon burchellii",Ruhland,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ERIOCAULACEAE,"Eriocaulon cipoense",Silveira,done,comments,CR,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Eriocaulon griseum",Körn.,done,comments,DD,
ERIOCAULACEAE,"Eriocaulon papillosum",Körn.,done,comments,DD,
ERIOCAULACEAE,"Leiothrix cipoensis",Giul.,done,comments,DD,
ERIOCAULACEAE,"Leiothrix crassifolia","(Bong.) Ruhland",done,comments,LC,
ERIOCAULACEAE,"Leiothrix distichoclada",Herzog,done,comments,LC,
ERIOCAULACEAE,"Leiothrix luxurians","(Körn.)  Ruhland",done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Leiothrix rupestris",Giul.,done,comments,CR,B2ab(iii)
ERIOCAULACEAE,"Leiothrix sclerophylla",Silveira,done,comments,VU,D2
ERIOCAULACEAE,"Leiothrix sinuosa",Giul.,done,comments,VU,D2
ERIOCAULACEAE,"Leiothrix spiralis","(Bong.) Ruhland",done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus albidus",Gardner,done,comments,VU,"B1ab(i,ii,iii,iv)"
ERIOCAULACEAE,"Paepalanthus albo-tomentosus",Herzog,done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus almasensis",Moldenke,done,comments,EN,"B2ab(i,ii,iii)"
ERIOCAULACEAE,"Paepalanthus anamariae",Hensold,done,comments,DD,
ERIOCAULACEAE,"Paepalanthus argenteus","(Bong.) Körn.",done,comments,LC,
ERIOCAULACEAE,"Paepalanthus aureus",Silveira,done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus barbiger",Silveira,done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus barbulatus",Herzog,done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus cinereus","Giul. & L.R.Parra",done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus complanatus",Silveira,done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus contasensis",Moldenke,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ERIOCAULACEAE,"Paepalanthus cordatus",Ruhland,done,comments,CR,"B2ab(i,ii,iii)"
ERIOCAULACEAE,"Paepalanthus digitiformis",Hensold,done,comments,DD,
ERIOCAULACEAE,"Paepalanthus erigeron","Mart. ex Körn.",done,comments,VU,"B1ab(i,ii,iii)"
ERIOCAULACEAE,"Paepalanthus globulifer",Silveira,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ERIOCAULACEAE,"Paepalanthus harleyi",Moldenke,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus homomallus","(Bong.) Mart. ex Körn.",done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus inopinatus",Moldenke,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus luetzelburgii",Herzog,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus obtusifolius","(Steud.) Körn.",done,comments,LC,
ERIOCAULACEAE,"Paepalanthus pulvinatus",N.E.Br.,done,comments,VU,B1ab(iii)
ERIOCAULACEAE,"Paepalanthus revolutus",Hensold,done,comments,EN,"B2ab(i,ii,iii)"
ERIOCAULACEAE,"Paepalanthus rupestris",Gardner,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus senaeanus",Ruhland,done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus stannardii","Giul. & L.R.Parra",done,comments,VU,D2
ERIOCAULACEAE,"Paepalanthus stuetzelii",Hensold,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus superbus",Ruhland,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Paepalanthus urbanianus",Ruhland,done,comments,NT,
ERIOCAULACEAE,"Syngonanthus bracteosus",Moldenke,done,comments,DD,
ERIOCAULACEAE,"Syngonanthus hygrotrichus",Ruhland,done,comments,EN,B1ab(iii)+2ab(iii)
ERIOCAULACEAE,"Syngonanthus latifolius","(Moldenke) Hensold",done,comments,DD,
EUPHORBIACEAE,"Croton arlineae","D.Medeiros et al.",done,comments,DD,
FABACEAE,"Aeschynomene graminoides",G.P.Lewis,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
FABACEAE,"Aeschynomene simplicifolia",G.P.Lewis,done,comments,VU,D2
FABACEAE,"Bauhinia candelabriformis",R.S.Cowan,done,comments,CR,"B1ab(i,ii,iii)"
FABACEAE,"Bauhinia leptantha",Malme,done,comments,VU,"B1ab(i,ii,iii)"
FABACEAE,"Bauhinia malacotrichoides",R.S.Cowan,done,comments,VU,D2
FABACEAE,"Bocoa ratteri",H.E.Ireland,done,comments,DD,
FABACEAE,"Calliandra gardneri",Benth.,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
FABACEAE,"Calliandra imbricata","E.R.Souza & L.P.Queiroz",done,comments,DD,
FABACEAE,"Calliandra linearis",Benth.,done,comments,VU,D2
FABACEAE,"Calliandra santosiana",Glaz.,done,comments,DD,
FABACEAE,"Calliandra semisepulta",Barneby,done,comments,VU,D2
FABACEAE,"Chamaecrista adamantina","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,DD,
