family,scientificName,threat,incidence,timing,decline
CYPERACEAE,"Abildgaardia papillosa","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,habitat
CYPERACEAE,"Abildgaardia papillosa","1.3 Tourism & recreation areas",regional,past;present;future,habitat
CYPERACEAE,"Abildgaardia papillosa","2.1.2 Small-holder farming",regional,past;present;future,habitat
CYPERACEAE,"Abildgaardia papillosa","2.3.2 Small-holder grazing, ranching or farming",regional,past;present;future,habitat
ORCHIDACEAE,"Acianthera amaralii","2.2.2 Agro-industry plantations",local,past;present,habitat;occupancy;occurrence
MALPIGHIACEAE,"Acmanthera fernandesii","2 Agriculture & aquaculture",local,future;present,habitat;occurrence
ERIOCAULACEAE,"Actinocephalus aggregatus","1.3 Tourism & recreation areas",regional,present,habitat
ERIOCAULACEAE,"Actinocephalus aggregatus","2.2.1 Small-holder plantations",local,past;present,
ERIOCAULACEAE,"Actinocephalus aggregatus","7.1.1 Increase in fire frequency/intensity",regional,,
ERIOCAULACEAE,"Actinocephalus aggregatus","8.1 Invasive non-native/alien species/diseases",local,present,occupancy
ERIOCAULACEAE,"Actinocephalus callophyllus","2.1.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus callophyllus","2.3.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus compactus","2.1.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus compactus","2.3.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus coutoensis","7.1.1 Increase in fire frequency/intensity",local,past;present,locality
ERIOCAULACEAE,"Actinocephalus deflexus","1.3 Tourism & recreation areas",regional,past;present,
ERIOCAULACEAE,"Actinocephalus deflexus","7.1.1 Increase in fire frequency/intensity",regional,present,habitat
ERIOCAULACEAE,"Actinocephalus deflexus","8.1 Invasive non-native/alien species/diseases",regional,,
ERIOCAULACEAE,"Actinocephalus deflexus","5.2 Gathering terrestrial plants",local,present,occurrence
ERIOCAULACEAE,"Actinocephalus diffusus","1.3 Tourism & recreation areas",regional,present,
ERIOCAULACEAE,"Actinocephalus diffusus","7.1.1 Increase in fire frequency/intensity",regional,present,habitat
ERIOCAULACEAE,"Actinocephalus diffusus","5.2 Gathering terrestrial plants",local,present,occurrence
ERIOCAULACEAE,"Actinocephalus diffusus","8.1 Invasive non-native/alien species/diseases",local,present,occurrence
ERIOCAULACEAE,"Actinocephalus falcifolius","1.3 Tourism & recreation areas",,,
ERIOCAULACEAE,"Actinocephalus falcifolius","3.2 Mining & quarrying",local,past;present,habitat
ERIOCAULACEAE,"Actinocephalus falcifolius","2.1.4 Scale Unknown/Unrecorded",regional,present,habitat
ERIOCAULACEAE,"Actinocephalus falcifolius","2.3.4 Scale Unknown/Unrecorded",national,,
ERIOCAULACEAE,"Actinocephalus fimbriatus","2.1.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus fimbriatus","2.3.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus glabrescens","1.3 Tourism & recreation areas",regional,present,locality
ERIOCAULACEAE,"Actinocephalus glabrescens","2.1.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus glabrescens","2.3.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus graminifolius","4.1 Roads & railroads",local,past;present,habitat
ERIOCAULACEAE,"Actinocephalus graminifolius","1.3 Tourism & recreation areas",regional,past;present,locality
ERIOCAULACEAE,"Actinocephalus graminifolius","8.1 Invasive non-native/alien species/diseases",local,,
ERIOCAULACEAE,"Actinocephalus graminifolius","5.2 Gathering terrestrial plants",local,present,habitat;occurrence
ERIOCAULACEAE,"Actinocephalus graminifolius","7.1.1 Increase in fire frequency/intensity",local,present,habitat
ERIOCAULACEAE,"Actinocephalus herzogii","1.3 Tourism & recreation areas",regional,past;present,habitat;locality
ERIOCAULACEAE,"Actinocephalus herzogii","7.1.1 Increase in fire frequency/intensity",local,,
ERIOCAULACEAE,"Actinocephalus nodifer","2.1.4 Scale Unknown/Unrecorded",regional,past;present;future,
ERIOCAULACEAE,"Actinocephalus nodifer","2.3.4 Scale Unknown/Unrecorded",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus robustus","4.1 Roads & railroads",local,past;present,locality;habitat
ERIOCAULACEAE,"Actinocephalus robustus","8.1.1 Unspecified species",regional,present,occupancy;habitat
ERIOCAULACEAE,"Actinocephalus robustus","5.2 Gathering terrestrial plants",regional,present,habitat;occurrence
ERIOCAULACEAE,"Actinocephalus robustus","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,habitat
ERIOCAULACEAE,"Actinocephalus stereophyllus","9.4 Garbage & solid waste",regional,present,locality;habitat
ERIOCAULACEAE,"Actinocephalus stereophyllus","3.2 Mining & quarrying",local,past;present,
ERIOCAULACEAE,"Actinocephalus stereophyllus","4.1 Roads & railroads",,,
ERIOCAULACEAE,"Actinocephalus stereophyllus","2.1.4 Scale Unknown/Unrecorded",local,present,habitat
ERIOCAULACEAE,"Actinocephalus stereophyllus","2.3.4 Scale Unknown/Unrecorded",local,present,habitat
ERIOCAULACEAE,"Actinocephalus stereophyllus","7.1.1 Increase in fire frequency/intensity",regional,present,habitat
BIGNONIACEAE,"Adenocalymma subspicatum","2.1.3 Agro-industry farming",regional,past;present,habitat;occupancy
FABACEAE,"Aeschynomene graminoides","1.1 Housing & urban areas",regional,present;future,habitat
FABACEAE,"Aeschynomene graminoides","2 Agriculture & aquaculture",regional,present;future,habitat;occupancy;occurrence
FABACEAE,"Aeschynomene simplicifolia","8.1 Invasive non-native/alien species/diseases",regional,present,
FABACEAE,"Aeschynomene simplicifolia","7.1 Fire & fire suppression",regional,present,
FABACEAE,"Aeschynomene simplicifolia","1.3 Tourism & recreation areas",regional,present,
FABACEAE,"Aeschynomene simplicifolia","2.3 Livestock farming & ranching",regional,present,
FABACEAE,"Aeschynomene simplicifolia","3.2 Mining & quarrying",regional,past;present,
BROMELIACEAE,"Alcantarea burle-marxii","8 Invasive & other problematic species, genes & diseases",regional,present,habitat
BROMELIACEAE,"Alcantarea burle-marxii","7.1.1 Increase in fire frequency/intensity",local,past;present,habitat
BROMELIACEAE,"Alcantarea burle-marxii","2.3.2 Small-holder grazing, ranching or farming",local,past;present,
BROMELIACEAE,"Alcantarea hatschbachii","2.3.4 Scale Unknown/Unrecorded",local,present,
BROMELIACEAE,"Alcantarea hatschbachii","5.1.1 Intentional use (species being assessed is the target)",local,,
BROMELIACEAE,"Alcantarea hatschbachii","7.1.1 Increase in fire frequency/intensity",local,present,habitat
BROMELIACEAE,"Alcantarea hatschbachii","8.1.1 Unspecified species",local,present,
ALSTROEMERIACEAE,"Alstroemeria chapadensis","7.1 Fire & fire suppression",local,present,habitat
ALSTROEMERIACEAE,"Alstroemeria chapadensis","1.1 Housing & urban areas",local,present,habitat
ALSTROEMERIACEAE,"Alstroemeria chapadensis","2.3 Livestock farming & ranching",local,,habitat
ALSTROEMERIACEAE,"Alstroemeria chapadensis","2.1.3 Agro-industry farming",local,,habitat
POACEAE,"Andropogon campestris","1.3 Tourism & recreation areas",regional,past;present;future,habitat;occurrence
