family,scientificName,document,field,reference
Asteraceae,"Eremanthus praetermissus",assessment,,"Scolforo, JRS, Oliveira, AD de, Davide, AC, (Org.), 2012. Manejo sustentável da candeia: o caminhar de uma nova experiência em Minas Gerais, primeira ed., Editora UFLA, Lavras."
RUBIACEAE,"Bradea borrerioides",profile,taxonomicNotes,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
RUBIACEAE,"Bradea borrerioides",profile,distribution,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
RUBIACEAE,"Bradea borrerioides",profile,ecology,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
RUBIACEAE,"Bradea borrerioides",profile,reproduction,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
RUBIACEAE,"Bradea borrerioides",profile,threats,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
RUBIACEAE,"Bradea borrerioides",profile,threats,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
RUBIACEAE,"Bradea borrerioides",profile,threats,"DNPM, 2006. Departamento Nacional de Produção Mineral. Sumário Mineral. Brasília, DF: Ministério de Minas e Energia."
RUBIACEAE,"Bradea borrerioides",profile,threats,"Silva, C.A.da. 2011. Sensoriamento Remoto e Geoprocessamento Aplicados ao Ordenamento Mineral: Estudo de Caso da Exploração de Rochas Ornamentais no Noroeste do Espírito Santo. Anais XV Simpósio Brasileiro de Sensoriamento Remoto - SBSR, Curitiba, PR, INPE p.3882. "
BROMELIACEAE,"Encholirium fragae",profile,distribution,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil. "
BROMELIACEAE,"Encholirium fragae",profile,ecology,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil. "
BROMELIACEAE,"Encholirium kranzianum",profile,taxonomicNotes,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,population,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,distribution,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,ecology,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,threats,"Sano, E.E.; Rosa; R.; Brito, J.L.S. & Ferreira, L.G. 2010. Mapeamento do uso do solo e cobertura vegetal - Bioma Cerrado: ano base 2002. Brasília, Distrito Federal. MMA/Série Biodiversidades, 36. 96 p."
BROMELIACEAE,"Encholirum splendidum",profile,taxonomicNotes,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirum splendidum",profile,distribution,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirum splendidum",profile,ecology,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,taxonomicNotes,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,population,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,ecology,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,threats,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,threats,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,threats,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
Asteraceae,"Eremanthus praetermissus",profile,taxonomicNotes,"MacLeish, NFF, 1987. Revision of Eremanthus (Compositae: Vernonieae). Ann. Missouri Bot. Gard. 74, 265-290.  "
Asteraceae,"Eremanthus praetermissus",profile,economicValue,"Scolforo, JRS, Oliveira, AD de, Davide, AC, (Org.), 2012. Manejo sustentável da candeia: o caminhar de uma nova experiência em Minas Gerais, primeira ed., Editora UFLA, Lavras."
Asteraceae,"Eremanthus praetermissus",profile,threats,"Buzato, E., 2012. Avaliação de impactos ambientais no município de Ubatuba : uma proposta a partir dos geoindicadores. Universidade de São Paulo."
Asteraceae,"Eremanthus ovatifolius",profile,taxonomicNotes,"MacLeish, NFF, 1987. Revision of Eremanthus (Compositae: Vernonieae). Ann. Missouri Bot. Gard. 74, 265-290."
Asteraceae,"Eremanthus ovatifolius",profile,taxonomicNotes,"Robinson, H, 1995. New combinations and new species in American Vernonieae (Asteraceae). Phytologia 78, 384-399. "
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,taxonomicNotes,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,population,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,distribution,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,ecology,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,threats,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,threats,"Pastro, M.S. 2012. Estabelecimento de diretrizes para um programa de manejo de nascentes na bacia do Rio Itapemirim – ES. Monografia de Conclusão de Curso, UFRRJ, Seropéidica (RJ)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,actions,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,taxonomicNotes,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,population,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,distribution,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,ecology,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,reproduction,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,threats,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,taxonomicNotes,"SUGIRO COLOCAR A REFERENCIA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,population,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,distribution,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,ecology,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,reproduction,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,threats,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,actions,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus argyrotrychus",profile,uses,"INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,taxonomicNotes,"SUGIRO COLOCAR A REFERENCIA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,economicValue,"SUGIRO COLOCAR A REFERENCIA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,population,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,distribution,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,ecology,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,reproduction,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,threats,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,actions,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus farinaceus",profile,uses,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,taxonomicNotes,"SUGIRO COLOCAR A REFERENCIA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,population,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,distribution,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,ecology,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,reproduction,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,threats,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,threats,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus",profile,actions,"SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
MAGNOLIACEAE,"Magnolia paraensis ",profile,taxonomicNotes,"Vázquez-García, J.A., Muñiz-Castro, M.Á., Arroyo, F., Pérez, Á.J., Serna, M., Cuevas-Guzmán, R., Domínguez-Yescas, R., De Castro-Arce, E., Gurrola-Díaz, C.M., 2013. Novelties in neotropical Magnolia and an addendum proposal to the IUCN Red List of Magnoliaceae. Salcedo-Pérez E., E. Hernández-Álvarez, JA Vázquez-García, T. Escoto-García y N. Díaz-Echavarría N.(eds.). Recur. For. en el Occident. México 4, 461–496."
MAGNOLIACEAE,"Magnolia paraensis ",profile,distribution,"Vázquez-García, J.A., Muñiz-Castro, M.Á., Arroyo, F., Pérez, Á.J., Serna, M., Cuevas-Guzmán, R., Domínguez-Yescas, R., De Castro-Arce, E., Gurrola-Díaz, C.M., 2013. Novelties in neotropical Magnolia and an addendum proposal to the IUCN Red List of Magnoliaceae. Salcedo-Pérez E., E. Hernández-Álvarez, JA Vázquez-García, T. Escoto-García y N. Díaz-Echavarría N.(eds.). Recur. For. en el Occident. México 4, 461–496."
MAGNOLIACEAE,"Magnolia paraensis ",profile,ecology,"Vázquez-García, J.A., Muñiz-Castro, M.Á., Arroyo, F., Pérez, Á.J., Serna, M., Cuevas-Guzmán, R., Domínguez-Yescas, R., De Castro-Arce, E., Gurrola-Díaz, C.M., 2013. Novelties in neotropical Magnolia and an addendum proposal to the IUCN Red List of Magnoliaceae. Salcedo-Pérez E., E. Hernández-Álvarez, JA Vázquez-García, T. Escoto-García y N. Díaz-Echavarría N.(eds.). Recur. For. en el Occident. México 4, 461–496."
MAGNOLIACEAE,"Magnolia paraensis ",profile,reproduction,"Vázquez-García, J.A., Muñiz-Castro, M.Á., Arroyo, F., Pérez, Á.J., Serna, M., Cuevas-Guzmán, R., Domínguez-Yescas, R., De Castro-Arce, E., Gurrola-Díaz, C.M., 2013. Novelties in neotropical Magnolia and an addendum proposal to the IUCN Red List of Magnoliaceae. Salcedo-Pérez E., E. Hernández-Álvarez, JA Vázquez-García, T. Escoto-García y N. Díaz-Echavarría N.(eds.). Recur. For. en el Occident. México 4, 461–496."
