occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
urn:occurrence:b39c3b29-91ba-4157-a940-bf48b1309839,Asteraceae,"Eremanthus praetermissus Loeuille",-23.5167,-45.0333,coletor,ok,,,,,"Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:b47a011a-05a3-4313-9c17-3fff214fa7b6,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.072743,-47.499948,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",false,,,yes,,,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:bb9d45ca-2ca4-4cd1-a0db-cfc5a93d31a9,Asteraceae,"Eremanthus praetermissus Loeuille",-23.491844,-45.17342,"google earth",ok,,,,"5 a 10 km","Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:c096738f-7a06-4d7c-aa57-46b7323f52ce,Bromeliaceae,"Encholirium splendidum Forzza",-13.93333,-44.732222,,ok,,,,,"Encholirium splendidum Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:c1ef4b9c-b9bb-4774-8da9-eca5c4c6ee97,Eriocaulaceae,"Paepalanthus capixabensis Trovó",-20.5658162,-41.005933,coletor,ok,,,,"5 a 10 km","Paepalanthus capixabensis Trovó",true,valid,no,no,native,valid,"Leonardo Novaes ; Ricardo Avancini ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:c20cd6f0-f24d-4d3e-a5d5-701fe8b6521b,Asteraceae,"Eremanthus praetermissus Loeuille",-23.307431,-44.790747,"google earth",ok,,,,"1 a 5 km","Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:c36caa90-1b86-4b7a-9024-de57cd01afd1,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.042261,-47.645143,sig,ok,,,,"centroide de uc","Paepalanthus echinoides Trovó.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:c380f708-3b15-41d2-9097-876c73f51b21,Eriocaulaceae,"Paepalanthus capixabensis Trovó",-20.683716,-41.009919,coletor,ok,,,,"5 a 10 km","Paepalanthus capixabensis Trovó",true,valid,no,no,native,valid,"Leonardo Novaes ; Ricardo Avancini ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:cbd38942-c337-4440-a43e-4e9bf8cf0f82,Bromeliaceae,"Encholirium splendidum Forzza",-13.238611,-43.935555,,ok,,,,,"Encholirium splendidum Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:dad16f61-778a-4854-bdcb-4a06923b22cf,Eriocaulaceae,"Paepalanthus capixabensis Trovó",-20.680907,-41.004169,coletor,ok,,,,"5 a 10 km","Paepalanthus capixabensis Trovó",true,valid,no,no,native,valid,"Leonardo Novaes ; Ricardo Avancini ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:e4e191da-521d-4cad-b7aa-b269b7ee5dfc,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.042261,-47.645143,sig,ok,,,,"centroide de uc","Paepalanthus echinoides Trovó.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:e7dafd25-9694-4ac1-aa6b-a2812b8edc72,Bromeliaceae,"Encholirium splendidum Forzza",-13.5861111,-44.32,,ok,"Leonardo Novaes",,,,"Encholirium splendidum Forzza",true,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:f0181a9c-c82d-4b63-9c76-530e0b8d51a0,Bromeliaceae,"Encholirium splendidum Forzza",-13.235555,-43.9391666,,ok,,,,,"Encholirium splendidum Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:f6053c10-ff73-4780-8a85-099c1d41d8b7,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.171147,-47.51643,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",false,,,yes,,,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:fa035813-5a9a-43d2-a44e-e59a0765eee7,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.072743,-47.499948,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
