occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
urn:occurrence:IAP:PACA-AGP:36228,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.014472,-49.950164," google earth",ok,,,,"1 a 5 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:45275,Fabaceae,"Mimosa bracteolaris Benth.",-29.857595,-50.978633,"google earth",ok,,,,"0 a 250 m","Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:45421,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-28.6678,-50.4167,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:49180,Erythroxylaceae,"Erythroxylum substriatum O.E.Schulz",-30.0331,-51.23,coletor,ok,,,,"5 a 10 km","Erythroxylum substriatum O.E.Schulz",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:49807,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.278938,-51.021797,"google earth",ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:52199,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.278938,-51.021797,"google earth",ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:52776,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.278938,-51.021797,"google earth",ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:69427,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.801853,-52.415214,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:69504,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.801853,-52.415214,"google earth",ok,,,," 0 a 250 m","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:70963,Fabaceae,"Mimosa bracteolaris Benth.",-32.0236,-53.3956,coletor,ok,,,,"5 a 10 km","Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:76314,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.748433,-52.225356,"google earth",ok,,,,"1 a 5 km","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:8582,Fabaceae,"Mimosa bracteolaris Benth.",-28.651042,-50.341538,"google earth",ok,,,,"5 a 10 km","Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:86221,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.5503,-55.1311,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:IAP:PACA-AGP:86994,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.161405,-50.850019,"google earth",ok,,,,"0 a 250 m","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:IAP:PACA-AGP:92882,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.8642,-52.8233,coletor,ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
