family,acceptedNameUsage,valid,invalid,not_validated,sig_ok,sig_nok,no_sig,used,unused,total,eoo,aoo
FABACEAE,Chamaecrista trachycarpa,20,4,0,20,4,0,20,4,24,"341.875,21km","56,0km"
FABACEAE,Chamaecrista ulmea,9,2,0,11,0,0,9,2,11,"28,73km","12,0km"
FABACEAE,Chloroleucon extortum,18,1,0,19,0,0,18,1,19,"387.231,22km","52,0km"
FABACEAE,Chloroleucon tortum,81,19,0,89,11,0,81,19,100,"1.298.862,36km","184,0km"
FABACEAE,Clitoria densiflora,33,4,0,33,4,0,33,4,37,"1.420.007,85km","80,0km"
FABACEAE,Clitoria epetiolata,10,0,0,10,0,0,10,0,10,"196.741,05km","32,0km"
FABACEAE,Clitoria laurifolia,262,23,0,262,23,0,262,23,285,"5.949.847,62km","688,0km"
FABACEAE,Collaea speciosa,435,32,0,453,14,0,435,32,467,"1.240.433,65km","800,0km"
FABACEAE,Cratylia bahiensis,31,0,0,31,0,0,31,0,31,"55.137,21km","84,0km"
FABACEAE,Cratylia intermedia,68,3,0,69,2,0,68,3,71,"123.482,19km","104,0km"
FABACEAE,Crotalaria nitens,23,11,0,28,6,0,23,11,34,"1.808.139,98km","84,0km"
FABACEAE,Crotalaria otoptera,15,9,0,21,3,0,15,9,24,"329.846,77km","44,0km"
FABACEAE,Crotalaria subdecurrens,18,9,0,27,0,0,18,9,27,"712.656,53km","64,0km"
FABACEAE,Dalbergia elegans,9,12,0,20,1,0,9,12,21,"10.446,2km","28,0km"
FABACEAE,Dalbergia nigra,181,248,0,350,79,0,181,248,429,"719.631,9km","464,0km"
FABACEAE,Desmodium craspediferum,3,0,0,3,0,0,3,0,3,"867,72km","12,0km"
FABACEAE,Desmodium procumbens,92,24,0,107,9,0,92,24,116,"3.742.712,01km","236,0km"
FABACEAE,Dimorphandra wilsonii,16,8,0,24,0,0,16,8,24,"1.404,17km","20,0km"
FABACEAE,Dioclea burkartii,16,5,0,20,1,0,16,5,21,"291.932,35km","40,0km"
FABACEAE,Dioclea glabra,166,30,0,176,20,0,166,30,196,"4.025.896,29km","480,0km"
FABACEAE,Dipteryx alata,405,64,0,431,38,0,405,64,469,"2.969.407,43km","916,0km"
FABACEAE,Discolobium psoraleifolium,5,3,0,7,1,0,5,3,8,"106.984,86km","16,0km"
FABACEAE,Eriosema glaziovii,73,22,0,90,5,0,73,22,95,"257.301,16km","168,0km"
FABACEAE,Eriosema platycarpon,10,5,0,14,1,0,10,5,15,"545.690,31km","40,0km"
FABACEAE,Galactia benthamiana,12,2,0,12,2,0,12,2,14,"530.072,86km","40,0km"
FABACEAE,Galactia decumbens,151,14,0,158,7,0,151,14,165,"1.025.750,48km","380,0km"
FABACEAE,Galactia glaucescens,148,38,0,163,23,0,148,38,186,"3.577.624,97km","452,0km"
FABACEAE,Galactia marginalis,12,1,0,12,1,0,12,1,13,"1.075.916,78km","44,0km"
FABACEAE,Galactia neesii,67,6,0,69,4,0,67,6,73,"2.023.794,48km","208,0km"
FABACEAE,Galactia striata,205,27,0,220,12,0,205,27,232,"4.302.397,56km","580,0km"
FABACEAE,Gleditsia amorphoides,37,30,0,61,6,0,37,30,67,"194.747,64km","48,0km"
FABACEAE,Grazielodendron rio-docensis,34,4,0,35,3,0,34,4,38,"29.004,89km","60,0km"
FABACEAE,Harpalyce lanata,18,0,0,18,0,0,18,0,18,"867,61km","32,0km"
FABACEAE,Harpalyce parvifolia,28,2,0,30,0,0,28,2,30,"1.914,69km","52,0km"
FABACEAE,Hymenaea courbaril,748,347,0,1028,67,0,748,347,1095,"6.678.083,67km","1.924,0km"
FABACEAE,Hymenaea martiana,223,121,0,323,21,0,223,121,344,"2.818.809,13km","620,0km"
FABACEAE,Hymenolobium excelsum,16,16,0,23,9,0,16,16,32,"341.417,12km","44,0km"
FABACEAE,Hymenolobium janeirense,52,73,0,116,9,0,52,73,125,"775.052,56km","144,0km"
FABACEAE,Indigofera bongardiana,81,12,0,88,5,0,81,12,93,"1.069.743,27km","164,0km"
FABACEAE,Indigofera guaranitica,14,3,0,14,3,0,14,3,17,"737.997,38km","44,0km"
FABACEAE,Inga aptera,9,9,0,18,0,0,9,9,18,"5.152,56km","24,0km"
FABACEAE,Inga arenicola,2,2,0,4,0,0,2,2,4,"274,73km","4,0km"
FABACEAE,Inga bicoloriflora,19,1,0,20,0,0,19,1,20,"90.779,45km","40,0km"
FABACEAE,Inga blanchetiana,38,17,0,52,3,0,38,17,55,"160.663,3km","80,0km"
FABACEAE,Inga bollandii,61,8,0,67,2,0,61,8,69,"192.047,31km","80,0km"
FABACEAE,Inga bullata,29,12,0,40,1,0,29,12,41,"51.184,26km","72,0km"
FABACEAE,Inga bullatorugosa,16,6,0,16,6,0,16,6,22,"272.732,04km","28,0km"
FABACEAE,Inga cabelo,6,9,0,15,0,0,6,9,15,"42.175,49km","16,0km"
FABACEAE,Inga calantha,10,5,0,12,3,0,10,5,15,"683.708,08km","28,0km"
FABACEAE,Inga enterolobioides,1,1,0,2,0,0,1,1,2,"274,86km","4,0km"
FABACEAE,Inga exfoliata,14,7,0,21,0,0,14,7,21,"27.547,1km","36,0km"
FABACEAE,Inga exilis,1,0,0,1,0,0,1,0,1,"255,56km","4,0km"
FABACEAE,Inga grazielae,11,13,0,24,0,0,11,13,24,"30.325,76km","32,0km"
FABACEAE,Inga hispida,31,17,0,45,3,0,31,17,48,"83.741,92km","84,0km"
FABACEAE,Inga lanceifolia,42,16,0,53,5,0,42,16,58,"81.344,96km","112,0km"
FABACEAE,Inga laurina,901,99,0,946,54,0,900,100,1000,"6.018.107,55km","2.404,0km"
FABACEAE,Inga lenticellata,49,21,0,67,3,0,49,21,70,"504.713,57km","116,0km"
FABACEAE,Inga lentiscifolia,76,44,0,118,2,0,76,44,120,"224.878,94km","164,0km"
FABACEAE,Inga leptantha,39,33,0,69,3,0,39,33,72,"426.349,17km","104,0km"
FABACEAE,Inga maritima,128,28,0,139,17,0,128,28,156,"15.138,67km","212,0km"
FABACEAE,Inga mendoncaei,18,11,0,27,2,0,18,11,29,"9.761,8km","40,0km"
FABACEAE,Inga microcalyx,6,8,0,13,1,0,6,8,14,"507,65km","8,0km"
FABACEAE,Inga pedunculata,4,7,0,11,0,0,4,7,11,"33,34km","12,0km"
FABACEAE,Inga platyptera,16,18,0,32,2,0,16,18,34,"9.146,33km","40,0km"
FABACEAE,Inga pleiogyna,69,26,0,92,3,0,69,26,95,"40.996,02km","156,0km"
FABACEAE,Inga praegnans,12,5,0,17,0,0,12,5,17,"8.373,52km","24,0km"
FABACEAE,Inga santaremnensis,3,7,0,7,3,0,3,7,10,"506,99km","8,0km"
FABACEAE,Inga sellowiana,109,36,0,140,5,0,109,36,145,"181.961,28km","208,0km"
FABACEAE,Inga suberosa,6,0,0,6,0,0,6,0,6,"507,14km","8,0km"
FABACEAE,Inga suborbicularis,12,4,0,16,0,0,12,4,16,"5.756,38km","16,0km"
FABACEAE,Inga unica,14,6,0,20,0,0,14,6,20,"10.202,49km","32,0km"
KRAMERIACEAE,Krameria grandiflora,52,6,0,52,6,0,52,6,58,"1.560.334,17km","204,0km"
FABACEAE,Lathyrus hasslerianus,33,3,0,35,1,0,33,3,36,"194.571,47km","72,0km"
FABACEAE,Leucochloron foederale,8,3,0,10,1,0,8,3,11,"1.621,67km","16,0km"
FABACEAE,Leucochloron limae,8,8,0,16,0,0,8,8,16,"76.043,7km","32,0km"
FABACEAE,Leucochloron minarum,2,0,0,2,0,0,2,0,2,"264,37km","4,0km"
FABACEAE,Lonchocarpus muehlbergianus,205,93,0,293,5,0,205,93,298,"1.034.509,34km","448,0km"
FABACEAE,Lonchocarpus torrensis,17,2,0,18,1,0,17,2,19,"353,97km","16,0km"
FABACEAE,Luetzelburgia guaissara,57,32,0,80,9,0,57,32,89,"175.210,88km","100,0km"
FABACEAE,Lupinus coriaceus,37,4,0,40,1,0,37,4,41,"4.361,89km","52,0km"
FABACEAE,Machaerium fulvovenosum,34,29,0,62,1,0,34,29,63,"342.061,09km","88,0km"
FABACEAE,Machaerium nyctitans,461,264,0,692,33,0,461,264,725,"1.383.203,25km","1.084,0km"
FABACEAE,Machaerium obovatum,31,3,0,33,1,0,31,3,34,"1.494,11km","60,0km"
FABACEAE,Machaerium paraguariense,152,118,0,265,5,0,152,118,270,"891.575,62km","256,0km"
FABACEAE,Machaerium villosum,256,163,0,398,21,0,256,163,419,"2.191.912,33km","592,0km"
FABACEAE,Macrosamanea macrocalyx,1,3,0,3,1,0,1,3,4,"255,04km","4,0km"
FABACEAE,Macrosamanea prancei,9,0,0,9,0,0,9,0,9,"71.086,79km","28,0km"
FABACEAE,Melanoxylon brauna,198,161,0,329,30,0,198,161,359,"968.060,43km","448,0km"
FABACEAE,Mimosa acroconica,2,0,0,2,0,0,2,0,2,"532,35km","8,0km"
FABACEAE,Mimosa adamantina,11,3,0,14,0,0,11,3,14,"358,04km","32,0km"
FABACEAE,Mimosa adenophylla,34,14,0,43,5,0,34,14,48,"803.885,8km","96,0km"
FABACEAE,Mimosa balduinii,21,8,0,29,0,0,21,8,29,"579,23km","8,0km"
FABACEAE,Mimosa bathyrrhena,7,1,0,7,1,0,7,1,8,"469,09km","8,0km"
FABACEAE,Mimosa bombycina,7,1,0,7,1,0,7,1,8,"3.572,98km","24,0km"
FABACEAE,Mimosa caesalpiniifolia,360,75,0,409,26,0,360,75,435,"3.086.937,54km","840,0km"
FABACEAE,Mimosa catharinensis,2,1,0,3,0,0,2,1,3,"385,49km","8,0km"
FABACEAE,Mimosa chrysastra,8,3,0,8,3,0,8,3,11,"84,06km","20,0km"
FABACEAE,Mimosa glycyrrhizoides,20,1,0,21,0,0,20,1,21,"32.028,6km","24,0km"
FABACEAE,Mimosa hatschbachii,29,1,0,29,1,0,29,1,30,"614,75km","12,0km"
FABACEAE,Mimosa heringeri,11,3,0,12,2,0,11,3,14,"3.092,84km","32,0km"
FABACEAE,Mimosa involucrata,6,2,0,6,2,0,6,2,8,"1.868,94km","24,0km"
FABACEAE,Mimosa lanata,60,5,0,60,5,0,60,5,65,"113.765,05km","112,0km"
FABACEAE,Mimosa leprosa,14,8,0,20,2,0,14,8,22,"4.691,76km","24,0km"
FABACEAE,Mimosa leptantha,8,4,0,12,0,0,8,4,12,"27.374,25km","24,0km"
FABACEAE,Mimosa macedoana,23,1,0,23,1,0,23,1,24,"3.794,3km","44,0km"
FABACEAE,Mimosa mensicola,14,2,0,16,0,0,14,2,16,"356,6km","36,0km"
FABACEAE,Mimosa montis-carasae,7,3,0,10,0,0,7,3,10,"2.926,5km","16,0km"
FABACEAE,Mimosa niomarlei,9,1,0,10,0,0,9,1,10,"4.736,85km","20,0km"
FABACEAE,Mimosa pseudotrachycarpa,22,1,0,22,1,0,22,1,23,"158.335,97km","60,0km"
FABACEAE,Mimosa sanguinolenta,32,1,0,32,1,0,32,1,33,"124.088,46km","84,0km"
FABACEAE,Mimosa suburbana,10,0,0,10,0,0,10,0,10,"17,54km","16,0km"
FABACEAE,Mimosa urticaria,18,1,0,19,0,0,18,1,19,"555,99km","8,0km"
FABACEAE,Mimosa verrucosa,247,52,0,283,16,0,247,52,299,"1.331.713,75km","556,0km"
FABACEAE,Moldenhawera papillanthera,35,3,0,38,0,0,35,3,38,"2.348,58km","24,0km"
FABACEAE,Myrocarpus frondosus,288,218,0,469,37,0,288,218,506,"962.912,03km","564,0km"
FABACEAE,Myroxylon peruiferum,228,126,0,327,27,0,228,126,354,"2.962.430,49km","460,0km"
FABACEAE,Mysanthus uleanus,63,2,0,64,1,0,63,2,65,"195.539,48km","152,0km"
FABACEAE,Neptunia pubescens,10,4,0,11,3,0,10,4,14,"6.425,04km","16,0km"
FABACEAE,Peltogyne confertiflora,216,37,0,242,11,0,216,37,253,"3.040.340,35km","488,0km"
FABACEAE,Peltogyne maranhensis,14,18,0,23,9,0,14,18,32,"143.450,88km","28,0km"
FABACEAE,Phanera grazielae,16,2,0,17,1,0,16,2,18,"6.455,13km","24,0km"
FABACEAE,Phanera microstachya,278,18,0,288,8,0,278,18,296,"6.197.375,53km","620,0km"
FABACEAE,Phanera smilacina,41,9,0,50,0,0,41,9,50,"182.931,68km","92,0km"
FABACEAE,Piptadenia gonoacantha,553,252,0,770,35,0,553,252,805,"2.105.264,71km","1.140,0km"
FABACEAE,Pithecellobium decandrum,5,4,0,9,0,0,5,4,9,"507,47km","8,0km"
FABACEAE,Plathymenia foliolosa,91,17,0,98,10,0,91,17,108,"2.812.921,51km","256,0km"
FABACEAE,Plathymenia reticulata,660,243,0,851,52,0,660,243,903,"4.612.584,33km","1.900,0km"
FABACEAE,Poecilanthe parviflora,93,52,0,141,4,0,93,52,145,"371.656,66km","148,0km"
FABACEAE,Poiretia angustifolia,81,23,0,89,15,0,81,23,104,"411.546,05km","148,0km"
FABACEAE,Pomaria stipularis,62,11,0,62,11,0,62,11,73,"51.959,53km","96,0km"
FABACEAE,Pterocarpus santalinoides,57,45,0,68,34,0,57,45,102,"3.545.040,56km","176,0km"
FABACEAE,Pterogyne nitens,376,160,0,510,26,0,376,160,536,"2.989.573,32km","904,0km"
FABACEAE,Rhynchosia leucophylla,14,4,0,17,1,0,14,4,18,"178.344,1km","36,0km"
FABACEAE,Rhynchosia reticulata,34,8,0,39,3,0,34,8,42,"2.307.202,57km","112,0km"
FABACEAE,Sellocharis paradoxa,6,4,0,6,4,0,6,4,10,"20.122,03km","12,0km"
FABACEAE,Senegalia kallunkiae,7,2,0,9,0,0,7,2,9,"228.702,41km","40,0km"
FABACEAE,Senegalia parviceps,6,0,0,6,0,0,6,0,6,"4.999,73km","16,0km"
FABACEAE,Senna angulata,183,14,0,187,10,0,183,14,197,"3.521.799,57km","496,0km"
FABACEAE,Senna paradictyon,23,3,0,23,3,0,23,3,26,"762.056,83km","48,0km"
FABACEAE,Stryphnodendron adstringens,498,123,0,589,32,0,498,123,621,"1.903.821,86km","1.116,0km"
FABACEAE,Swartzia acutifolia,102,72,0,165,9,0,102,72,174,"1.135.696,98km","264,0km"
FABACEAE,Swartzia flaemingii,240,137,0,350,27,0,240,137,377,"5.210.841,31km","668,0km"
FABACEAE,Swartzia glazioviana,46,7,0,50,3,0,46,7,53,"8.588,3km","72,0km"
FABACEAE,Swartzia linharensis,13,3,0,16,0,0,13,3,16,"29.892,46km","40,0km"
FABACEAE,Swartzia pickelii,143,38,0,179,2,0,143,38,181,"324.202,27km","240,0km"
FABACEAE,Swartzia simplex,273,99,0,340,32,0,273,99,372,"4.112.616,92km","512,0km"
FABACEAE,Tachigali beaurepairei,19,5,0,24,0,0,19,5,24,"3.429,09km","40,0km"
FABACEAE,Tachigali hypoleuca,35,26,0,37,24,0,35,26,61,"75.921,2km","52,0km"
FABACEAE,Tachigali pilgeriana,27,24,0,48,3,0,27,24,51,"50.155,97km","76,0km"
FABACEAE,Tachigali rugosa,126,104,0,222,8,0,126,104,230,"555.916,08km","316,0km"
FABACEAE,Tephrosia sessiliflora,36,14,0,47,3,0,36,14,50,"1.318.403,51km","100,0km"
FABACEAE,Vigna firmula,119,17,0,133,3,0,119,17,136,"2.738.253,66km","388,0km"
FABACEAE,Vouacapoua americana,21,34,0,43,12,0,21,34,55,"204.450,59km","44,0km"
FABACEAE,Zollernia glabra,275,42,0,295,22,0,275,42,317,"689.482,08km","484,0km"
FABACEAE,Zollernia magnifica,19,19,0,34,4,0,19,19,38,"4.760,3km","48,0km"
FABACEAE,Zollernia modesta,47,17,0,64,0,0,47,17,64,"25.301,26km","72,0km"
FABACEAE,Zygia racemosa,105,37,0,126,16,0,105,37,142,"1.544.528,32km","180,0km"
FISSIDENTACEAE,Fissidens elegans,113,5,0,113,5,0,113,5,118,"8.108.360,34km","260,0km"
FRULLANIACEAE,Frullania beyrichiana,17,7,0,17,7,0,17,7,24,"604.195,45km","56,0km"
GENTIANACEAE,Curtia patula,158,24,0,171,11,0,158,24,182,"3.523.756,95km","380,0km"
GENTIANACEAE,Curtia tenuifolia,103,32,0,121,14,0,103,32,135,"5.888.855,8km","652,0km"
GENTIANACEAE,Irlbachia caerulescens,41,23,0,48,16,0,41,23,64,"2.456.830,26km","128,0km"
GENTIANACEAE,Prepusa hookeriana,18,8,0,20,6,0,18,8,26,"5.874,05km","44,0km"
GENTIANACEAE,Prepusa viridiflora,25,5,0,27,3,0,25,5,30,"853,75km","32,0km"
GENTIANACEAE,Schultesia aptera,28,4,0,32,0,0,28,4,32,"486.725,46km","80,0km"
GENTIANACEAE,Schultesia guianensis,232,69,0,277,24,0,232,69,301,"4.804.545,02km","740,0km"
GENTIANACEAE,Senaea janeirensis,4,0,0,4,0,0,4,0,4,"403,83km","8,0km"
GESNERIACEAE,Sinningia barbata,70,2,0,71,1,0,70,2,72,"365.859,82km","180,0km"
GENTIANACEAE,Tetrapollinia caerulescens,98,24,0,113,9,0,98,24,122,"4.114.234,59km","392,0km"
GENTIANACEAE,Voyria aphylla,113,32,0,128,17,0,113,32,145,"4.666.884,89km","340,0km"
GENTIANACEAE,Zygostigma australe,23,5,0,25,3,0,23,5,28,"333.132,7km","76,0km"
GEOCALYCACEAE,Leptoscyphus gibbosus,3,0,0,3,0,0,3,0,3,"1.483.721,0km","12,0km"
GESNERIACEAE,Anetanthus gracilis,11,4,0,14,1,0,11,4,15,"46.296,98km","32,0km"
GESNERIACEAE,Besleria umbrosa,51,1,0,51,1,0,51,1,52,"18.261,45km","104,0km"
GESNERIACEAE,Codonanthe carnosa,10,7,0,16,1,0,10,7,17,"7.793,0km","32,0km"
GESNERIACEAE,Codonanthe devosiana,223,14,0,227,10,0,223,14,237,"491.403,45km","452,0km"
GESNERIACEAE,Codonanthe gracilis,213,18,0,224,7,0,213,18,231,"518.958,35km","400,0km"
GESNERIACEAE,Codonanthe uleana,34,8,0,38,4,0,34,8,42,"2.948.881,49km","108,0km"
GESNERIACEAE,Codonanthe venosa,13,0,0,13,0,0,13,0,13,"33,68km","12,0km"
GESNERIACEAE,Columnea sanguinea,6,3,0,9,0,0,6,3,9,"3.053.942,3km","48,0km"
GESNERIACEAE,Dalbergaria sanguinea,11,0,0,11,0,0,11,0,11,"23.504,76km","28,0km"
GESNERIACEAE,Drymonia serrulata,58,25,0,67,16,0,58,25,83,"4.596.486,47km","200,0km"
GESNERIACEAE,Gloxinia burchellii,0,3,0,3,0,0,0,3,3,n/a,n/a
GESNERIACEAE,Gloxinia ichthyostoma,28,11,0,34,5,0,28,11,39,"280.147,78km","100,0km"
GESNERIACEAE,Gloxinia sylvatica,20,0,0,20,0,0,20,0,20,"625.941,95km","44,0km"
GESNERIACEAE,Goyazia petraea,6,2,0,8,0,0,6,2,8,"77.671,45km","24,0km"
GESNERIACEAE,Napeanthus primulifolius,65,3,0,68,0,0,65,3,68,"211.142,17km","152,0km"
GESNERIACEAE,Nematanthus crassifolius,169,6,0,171,4,0,169,6,175,"59.350,43km","340,0km"
GESNERIACEAE,Nematanthus fornix,46,2,0,48,0,0,46,2,48,"54.094,87km","100,0km"
GESNERIACEAE,Nematanthus hirsutus,0,1,0,1,0,0,0,1,1,n/a,n/a
GESNERIACEAE,Nematanthus hirtellus,72,2,0,73,1,0,72,2,74,"44.886,49km","108,0km"
GESNERIACEAE,Nematanthus lanceolatus,49,2,0,50,1,0,49,2,51,"178.407,17km","148,0km"
GESNERIACEAE,Nematanthus monanthos,28,1,0,28,1,0,28,1,29,"1.166,3km","28,0km"
GESNERIACEAE,Nematanthus sericeus,24,4,0,25,3,0,24,4,28,"107.648,59km","80,0km"
GESNERIACEAE,Nematanthus strigillosus,64,12,0,73,3,0,64,12,76,"87.873,97km","128,0km"
GESNERIACEAE,Nematanthus tessmannii,210,2,0,210,2,0,210,2,212,"153.071,27km","436,0km"
GESNERIACEAE,Paliavana plumerioides,8,8,0,8,0,8,8,8,16,"143,63km","20,0km"
GESNERIACEAE,Paliavana tenuiflora,117,12,0,124,5,0,117,12,129,"397.865,29km","304,0km"
GESNERIACEAE,Paliavana werdermannii,21,4,0,25,0,0,21,4,25,"16.612,63km","56,0km"
GESNERIACEAE,Seemannia sylvatica,1,2,0,3,0,0,1,2,3,"625.941,95km","44,0km"
GESNERIACEAE,Sinningia aghensis,20,0,0,20,0,0,20,0,20,"5.877,9km","48,0km"
GESNERIACEAE,Sinningia canescens,66,9,0,68,7,0,66,9,75,"252.690,38km","112,0km"
GESNERIACEAE,Sinningia carangolensis,14,1,0,14,1,0,14,1,15,"1.671,88km","40,0km"
GESNERIACEAE,Sinningia cardinalis,12,0,0,12,0,0,12,0,12,"793,45km","32,0km"
GESNERIACEAE,Sinningia cooperi,69,5,0,73,1,0,69,5,74,"173.909,03km","156,0km"
GESNERIACEAE,Sinningia curtiflora,40,3,0,42,1,0,40,3,43,"68.594,14km","80,0km"
GESNERIACEAE,Sinningia elatior,289,43,0,307,25,0,289,43,332,"3.965.055,33km","724,0km"
GESNERIACEAE,Sinningia glazioviana,22,5,0,24,3,0,22,5,27,"1.206,95km","32,0km"
GESNERIACEAE,Sinningia guttata,9,0,0,9,0,0,9,0,9,"498,31km","32,0km"
GESNERIACEAE,Sinningia harleyi,18,0,0,18,0,0,18,0,18,"1.021,61km","36,0km"
GESNERIACEAE,Sinningia hatschbachii,11,0,0,11,0,0,11,0,11,"5.290,67km","28,0km"
GESNERIACEAE,Sinningia hirsuta,4,1,0,5,0,0,4,1,5,"5.446,65km","16,0km"
GESNERIACEAE,Sinningia iarae,7,0,0,7,0,0,7,0,7,"537,1km","16,0km"
GESNERIACEAE,Sinningia insularis,3,0,0,3,0,0,3,0,3,"554,04km","8,0km"
GESNERIACEAE,Sinningia lindleyi,25,0,0,25,0,0,25,0,25,"2.741,4km","44,0km"
GESNERIACEAE,Sinningia macropoda,41,5,0,44,2,0,41,5,46,"684.733,14km","96,0km"
GESNERIACEAE,Sinningia magnifica,92,8,0,96,4,0,92,8,100,"179.905,05km","260,0km"
GESNERIACEAE,Sinningia micans,4,0,0,4,0,0,4,0,4,"11.863,95km","16,0km"
GESNERIACEAE,Sinningia piresiana,4,1,0,5,0,0,4,1,5,"1.584,7km","16,0km"
GESNERIACEAE,Sinningia rupicola,15,3,0,17,1,0,15,3,18,"1.423,75km","36,0km"
GESNERIACEAE,Sinningia sceptrum,48,7,0,53,2,0,48,7,55,"324.969,29km","132,0km"
GESNERIACEAE,Sinningia speciosa,48,22,0,58,12,0,48,22,70,"103.916,22km","124,0km"
GESNERIACEAE,Sinningia tuberosa,21,4,0,21,4,0,21,4,25,"8.836,08km","40,0km"
GESNERIACEAE,Sinningia valsuganensis,25,0,0,25,0,0,25,0,25,"3.322,1km","56,0km"
GESNERIACEAE,Sinningia villosa,19,2,0,20,1,0,19,2,21,"22.589,45km","60,0km"
GESNERIACEAE,Sinningia warmingii,60,4,0,62,2,0,60,4,64,"1.116.405,78km","144,0km"
GESNERIACEAE,Vanhouttea bradeana,4,0,0,4,0,0,4,0,4,"156,18km","12,0km"
GESNERIACEAE,Vanhouttea calcarata,82,6,0,85,3,0,82,6,88,"73.663,63km","200,0km"
GESNERIACEAE,Vanhouttea fruticulosa,11,0,0,11,0,0,11,0,11,"298,27km","20,0km"
GESNERIACEAE,Vanhouttea lanata,7,0,0,7,0,0,7,0,7,"315,18km","20,0km"
GESNERIACEAE,Vanhouttea leonii,9,0,0,9,0,0,9,0,9,"271,82km","28,0km"
GESNERIACEAE,Vanhouttea pendula,20,2,0,21,1,0,20,2,22,"1.404,81km","40,0km"
GOODENIACEAE,Scaevola plumieri,79,0,0,79,0,0,79,0,79,"1.187.210,17km","212,0km"
GRISELINIACEAE,Griselinia ruscifolia,114,4,0,114,4,0,114,4,118,"264.704,15km","188,0km"
GUNNERACEAE,Gunnera herteri,3,2,0,4,1,0,3,2,5,"3.833,04km","12,0km"
GUNNERACEAE,Gunnera manicata,24,5,0,24,5,0,24,5,29,"31.169,96km","76,0km"
HALORAGACEAE,Laurembergia tetrandra,57,3,0,57,3,0,57,3,60,"1.423.700,97km","152,0km"
HEDWIGIACEAE,Braunia subincana,18,0,0,18,0,0,18,0,18,"227.057,55km","52,0km"
RHACOCARPACEAE,Rhacocarpus inermis,29,1,0,29,1,0,29,1,30,"348.850,02km","52,0km"
HELICONIACEAE,Heliconia angusta,199,27,0,207,19,0,199,27,226,"784.382,24km","488,0km"
HELICONIACEAE,Heliconia episcopalis,50,11,0,53,8,0,50,11,61,"5.113.115,41km","124,0km"
HELICONIACEAE,Heliconia farinosa,123,19,0,123,19,0,123,19,142,"189.397,55km","356,0km"
HELICONIACEAE,Heliconia richardiana,76,10,0,80,6,0,76,10,86,"2.135.525,71km","192,0km"
HUMIRIACEAE,Humiriastrum spiritu-sancti,4,11,0,15,0,0,4,11,15,"41,3km","16,0km"
HYDROCHARITACEAE,Najas conferta,13,0,0,13,0,0,13,0,13,"1.529.625,92km","48,0km"
HYDROCHARITACEAE,Najas marina,4,0,0,4,0,0,4,0,4,"309.725,42km","16,0km"
HYDROCHARITACEAE,Ottelia brasiliensis,17,0,0,17,0,0,17,0,17,"1.089.813,27km","44,0km"
HYMENOPHYLLACEAE,Hymenophyllum fragile,49,7,0,54,2,0,49,7,56,"264.772,47km","160,0km"
HYMENOPHYLLACEAE,Hymenophyllum magellanicum,35,2,0,35,2,0,35,2,37,"360.508,56km","100,0km"
HYMENOPHYLLACEAE,Hymenophyllum peltatum,12,1,0,12,1,0,12,1,13,"157.883,33km","52,0km"
HYMENOPHYLLACEAE,Hymenophyllum rufum,54,6,0,55,5,0,54,6,60,"235.226,06km","172,0km"
HYMENOPHYLLACEAE,Trichomanes kapplerianum,3,0,0,3,0,0,3,0,3,"529,71km","8,0km"
HYMENOPHYLLACEAE,Trichomanes lucens,16,4,0,17,3,0,16,4,20,"89.425,58km","52,0km"
HYMENOPHYLLACEAE,Trichomanes macilentum,7,4,0,7,4,0,7,4,11,"371.617,19km","16,0km"
HYMENOPHYLLACEAE,Trichomanes ovale,12,0,0,12,0,0,12,0,12,"2.396.834,12km","28,0km"
HYMENOPHYLLACEAE,Trichomanes spruceanum,14,21,0,25,10,0,14,21,35,"15.723,68km","20,0km"
IRIDACEAE,Alophia coerulea,23,2,0,25,0,0,23,2,25,"243.280,51km","60,0km"
IRIDACEAE,Cypella longifolia,0,3,0,2,1,0,0,3,3,n/a,n/a
IRIDACEAE,Neomarica glauca,12,4,0,15,1,0,12,4,16,"165.678,34km","60,0km"
IRIDACEAE,Neomarica heloisa-mariae,3,4,0,7,0,0,3,4,7,"6.989,6km","12,0km"
IRIDACEAE,Neomarica humilis,32,4,0,33,3,0,32,4,36,"2.177.762,42km","104,0km"
IRIDACEAE,Neomarica imbricata,4,3,0,5,2,0,4,3,7,"47.973,67km","16,0km"
IRIDACEAE,Neomarica longifolia,18,3,0,18,3,0,18,3,21,"104.564,26km","60,0km"
IRIDACEAE,Neomarica nitida,5,0,0,5,0,0,5,0,5,"598,31km","12,0km"
IRIDACEAE,Neomarica sabinii,17,3,0,17,3,0,17,3,20,"1.000.576,92km","72,0km"
IRIDACEAE,Neomarica sylvestris,3,0,0,3,0,0,3,0,3,"103,0km","8,0km"
IRIDACEAE,Pseudotrimezia aminae,2,0,0,2,0,0,2,0,2,"528,38km","8,0km"
IRIDACEAE,Pseudotrimezia gracilis,9,0,0,9,0,0,9,0,9,"5,64km","12,0km"
IRIDACEAE,Pseudotrimezia synandra,11,1,0,11,1,0,11,1,12,"408,06km","20,0km"
IRIDACEAE,Sisyrinchium rambonis,25,1,0,26,0,0,25,1,26,"114.104,15km","68,0km"
IRIDACEAE,Trimezia brevicaulis,12,0,0,12,0,0,12,0,12,"182.638,13km","48,0km"
IRIDACEAE,Trimezia exillima,8,2,0,10,0,0,8,2,10,"1.947,78km","20,0km"
