family,scientificName,use
ACANTHACEAE,"Aphelandra squarrosa",Ornamental,
ACANTHACEAE,"Justicia brasiliana",Bioativo,
ACANTHACEAE,"Justicia scheidweileri",Ornamental,
ACANTHACEAE,"Mendoncia mollis",Alimentício,
ACANTHACEAE,"Ruellia bulbifera",Ornamental,
ACANTHACEAE,"Ruellia dissitifolia",Bioativo,
ACANTHACEAE,"Ruellia solitaria",Ornamental,
ACANTHACEAE,"Staurogyne anigozanthus",Ornamental,
ALISMATACEAE,"Sagittaria rhombifolia",Melífero,
ALISMATACEAE,"Sagittaria rhombifolia",Ornamental,
ALISMATACEAE,"Sagittaria rhombifolia",Bioativo,
ALISMATACEAE,"Sagittaria rhombifolia",Forrageiro,
AMARANTHACEAE,"Alternanthera sessilis",Bioativo,
AMARANTHACEAE,"Alternanthera tenella",Bioativo,
AMARANTHACEAE,"Blutaparon portulacoides",Bioativo,
AMARANTHACEAE,"Chamissoa altissima",Bioativo,
AMARANTHACEAE,"Gomphrena vaga",Bioativo,
AMARANTHACEAE,"Hebanthe eriantha",Bioativo,
AMARANTHACEAE,"Pfaffia glomerata",Ornamental,
AMARANTHACEAE,"Pfaffia glomerata",Bioativo,
AMARANTHACEAE,"Pfaffia jubata",Bioativo,
AMARYLLIDACEAE,"Eithea blumenavia",Ornamental,
AMARYLLIDACEAE,"Griffinia aracensis",Ornamental,
AMARYLLIDACEAE,"Griffinia gardneriana",Ornamental,
AMARYLLIDACEAE,"Griffinia liboniana",Ornamental,
AMARYLLIDACEAE,"Griffinia nocturna",Ornamental,
AMARYLLIDACEAE,"Griffinia parviflora",Ornamental,
AMARYLLIDACEAE,"Hippeastrum angustifolium",Ornamental,
AMARYLLIDACEAE,"Hippeastrum breviflorum",Ornamental,
AMARYLLIDACEAE,"Hippeastrum goianum",Ornamental,
AMARYLLIDACEAE,"Hippeastrum leucobasis",Ornamental,
AMARYLLIDACEAE,"Hippeastrum morelianum",Ornamental,
AMARYLLIDACEAE,"Hippeastrum morelianum",Bioativo,
AMARYLLIDACEAE,"Hippeastrum psittacinum",Ornamental,
AMARYLLIDACEAE,"Hippeastrum psittacinum",Bioativo,
AMARYLLIDACEAE,"Hippeastrum reginae",Ornamental,
AMARYLLIDACEAE,"Hippeastrum santacatarina",Ornamental,
AMARYLLIDACEAE,"Hippeastrum striatum",Alimentício,
AMARYLLIDACEAE,"Hippeastrum striatum",Bioativo,
AMARYLLIDACEAE,"Hippeastrum vittatum",Bioativo,
AMARYLLIDACEAE,"Hippeastrum vittatum",Ornamental,
AMARYLLIDACEAE,"Worsleya rayneri",Ornamental,
AMARYLLIDACEAE,"Zephyranthes candida",Ornamental,
ANACARDIACEAE,"Anacardium humile",Alimentício,
ANACARDIACEAE,"Anacardium humile",Bioativo,
ANACARDIACEAE,"Myracrodruon urundeuva",Madeireiro,
ANACARDIACEAE,"Schinopsis brasiliensis",Madeireiro,
ANACARDIACEAE,"Schinopsis brasiliensis",Ornamental,
ANNONACEAE,"Annona cacans",Ornamental,
ANNONACEAE,"Annona cacans",Alimentício,
ANNONACEAE,"Annona coriacea",Bioativo,
ANNONACEAE,"Annona coriacea",Bioativo,
ANNONACEAE,"Annona dioica",Alimentício,
ANNONACEAE,"Annona dioica",Bioativo,
ANNONACEAE,"Annona sericea",Bioativo,
ANNONACEAE,"Duguetia fufuracea",Melífero,
ANNONACEAE,"Duguetia fufuracea",Ornamental,
ANNONACEAE,"Duguetia fufuracea",Bioativo,
ANNONACEAE,"Duguetia fufuracea",Alimentício,
ANNONACEAE,"Oxandra reticulata","Energia e Combustíveis",
ANNONACEAE,"Xylopia aromatica",Bioativo,
ANNONACEAE,"Xylopia aromatica","Cosméticos e perfumaria",
ANNONACEAE,"Xylopia aromatica","Confecção de ferramentas e utensílios",
ANNONACEAE,"Xylopia aromatica",Alimentício,
ANNONACEAE,"Xylopia aromatica",Bioativo,
ANNONACEAE,"Xylopia aromatica",Madeireiro,
ANNONACEAE,"Xylopia brasiliensis",Madeireiro,
APIACEAE,"Apium prostratum",Bioativo,
APIACEAE,"Eryngium eriophorum","Confecção de ferramentas e utensílios",
APOCYNACEAE,"Aspidosperma album",Madeireiro,
APOCYNACEAE,"Aspidosperma desmanthum",Madeireiro,
APOCYNACEAE,"Aspidosperma polyneuron",Madeireiro,
AQUIFOLIACEAE,"Ilex paraguariensis",Bioativo,
ARACEAE,"Anthurium coriaceum",Ornamental,
ARACEAE,"Dieffenbachia aglaonematifolia",Ornamental,
ARACEAE,"Heteropsis flexuosa","Confecção de ferramentas e utensílios",
ARACEAE,"Heteropsis spruceana","Confecção de ferramentas e utensílios",
ARACEAE,"Lemna valdiviana","Restauração Ambiental",
ARACEAE,"Philodendron fragile",Ornamental,
ARACEAE,"Taccarum peregrinum",Bioativo,
ARACEAE,"Wolffiella oblonga","Restauração Ambiental",
ARALIACEAE,"Aralia warmingiana",Bioativo,
ARALIACEAE,"Aralia warmingiana",Madeireiro,
ARALIACEAE,"Dendropanax cuneatus",Forrageiro,
ARALIACEAE,"Oreopanax fulvus",Madeireiro,
ARAUCARIACEAE,"Araucaria angustifolia",Alimentício,
ARAUCARIACEAE,"Araucaria angustifolia",Madeireiro,
ARECACEAE,"Acrocomia emensis",Ornamental,
ARECACEAE,"Acrocomia hassleri",Ornamental,
ARECACEAE,"Aiphanes ulei",Ornamental,
ARECACEAE,"Allagoptera arenaria",Ornamental,
ARECACEAE,"Allagoptera arenaria","Confecção de ferramentas e utensílios",
ARECACEAE,"Allagoptera brevicalyx",Ornamental,
ARECACEAE,"Allagoptera brevicalyx","Gomas e resinas",
ARECACEAE,"Astrocaryum aculeatissimum",Ornamental,
ARECACEAE,"Astrocaryum aculeatissimum","Confecção de ferramentas e utensílios",
ARECACEAE,"Astrocaryum aculeatissimum",Forrageiro,
ARECACEAE,"Attalea barreirensis",Ornamental,
ARECACEAE,"Attalea barreirensis",Alimentício,
ARECACEAE,"Attalea brasiliensis",Ornamental,
ARECACEAE,"Attalea brasiliensis",Alimentício,
ARECACEAE,"Attalea brasiliensis","Gomas e resinas",
ARECACEAE,"Attalea brasiliensis","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea brasiliensis","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea funifera","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea funifera","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea funifera","Gomas e resinas",
ARECACEAE,"Attalea funifera",Alimentício,
ARECACEAE,"Attalea funifera","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea oleifera","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea oleifera","Gomas e resinas",
ARECACEAE,"Attalea oleifera",Alimentício,
ARECACEAE,"Attalea oleifera",Ornamental,
ARECACEAE,"Attalea oleifera","Energia e Combustíveis",
ARECACEAE,"Attalea phalerata","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea phalerata","Energia e Combustíveis",
ARECACEAE,"Attalea phalerata",Ornamental,
ARECACEAE,"Attalea phalerata","Energia e Combustíveis",
ARECACEAE,"Attalea phalerata","Confecção de ferramentas e utensílios",
ARECACEAE,"Attalea phalerata",Alimentício,
ARECACEAE,"Attalea tessmannii",Alimentício,
ARECACEAE,"Attalea tessmannii","Energia e Combustíveis",
ARECACEAE,"Attalea tessmannii","Confecção de ferramentas e utensílios",
ARECACEAE,"Bactris constanciae",Ornamental,
ARECACEAE,"Bactris constanciae",Alimentício,
ARECACEAE,"Bactris ferruginea","Confecção de ferramentas e utensílios",
ARECACEAE,"Bactris ferruginea",Alimentício,
ARECACEAE,"Bactris hatschbachii",Ornamental,
ARECACEAE,"Bactris pickelii",Ornamental,
ARECACEAE,"Bactris timbuiensis",Ornamental,
ARECACEAE,"Butia archeri",Ornamental,
ARECACEAE,"Butia capitata",Ornamental,
ARECACEAE,"Butia capitata","Confecção de ferramentas e utensílios",
ARECACEAE,"Butia capitata",Alimentício,
ARECACEAE,"Butia eriospatha",Alimentício,
ARECACEAE,"Butia eriospatha",Ornamental,
ARECACEAE,"Butia leiospatha",Bioativo,
ARECACEAE,"Butia leptospatha",Ornamental,
ARECACEAE,"Butia microspadix",Ornamental,
ARECACEAE,"Butia paraguayensis",Ornamental,
ARECACEAE,"Butia paraguayensis",Alimentício,
ARECACEAE,"Butia purpurascens",Alimentício,
ARECACEAE,"Butia purpurascens",Ornamental,
ARECACEAE,"Butia purpurascens","Confecção de ferramentas e utensílios",
ARECACEAE,"Butia yatay",Ornamental,
ARECACEAE,"Butia yatay",Alimentício,
ARECACEAE,"Euterpe edulis","Confecção de ferramentas e utensílios",
ARECACEAE,"Euterpe edulis",Alimentício,
ARECACEAE,"Euterpe edulis","Confecção de ferramentas e utensílios",
ARECACEAE,"Euterpe edulis",Alimentício,
ARECACEAE,"Geonoma gamiova","Confecção de ferramentas e utensílios",
ARECACEAE,"Geonoma schottiana",Ornamental,
ARECACEAE,"Geonoma schottiana","Confecção de ferramentas e utensílios",
ARECACEAE,"Itaya amicorum","Confecção de ferramentas e utensílios",
ARECACEAE,"Itaya amicorum",Ornamental,
ARECACEAE,"Lytocaryum insigne",Ornamental,
ARECACEAE,"Mauritia carana",Alimentício,
ARECACEAE,"Mauritia carana",Ornamental,
ARECACEAE,"Mauritia carana","Confecção de ferramentas e utensílios",
ARECACEAE,"Mauritia carana","Confecção de ferramentas e utensílios",
ARECACEAE,"Syagrus botryophora",Madeireiro,
ARECACEAE,"Syagrus botryophora",Ornamental,
ARECACEAE,"Syagrus botryophora",Alimentício,
ARECACEAE,"Syagrus glaucescens",Ornamental,
ARECACEAE,"Syagrus macrocarpa",Ornamental,
ARECACEAE,"Syagrus macrocarpa",Alimentício,
ARECACEAE,"Syagrus mendanhensis",Ornamental,
ARECACEAE,"Syagrus picrophylla",Alimentício,
ARECACEAE,"Syagrus picrophylla",Ornamental,
ARECACEAE,"Syagrus picrophylla",Forrageiro,
ARECACEAE,"Syagrus pseudococos",Ornamental,
ARECACEAE,"Syagrus pseudococos",Alimentício,
ARECACEAE,"Syagrus pseudococos","Confecção de ferramentas e utensílios",
ARECACEAE,"Syagrus romanzoffiana","Confecção de ferramentas e utensílios",
ARECACEAE,"Syagrus romanzoffiana",Ornamental,
ARECACEAE,"Syagrus romanzoffiana",Alimentício,
ARECACEAE,"Syagrus romanzoffiana","Energia e Combustíveis",
ARECACEAE,"Syagrus romanzoffiana",Forrageiro,
ARECACEAE,"Syagrus romanzoffiana","Confecção de ferramentas e utensílios",
ARECACEAE,"Syagrus ruschiana",Ornamental,
ARECACEAE,"Syagrus schizophylla",Ornamental,
ARECACEAE,"Syagrus schizophylla",Alimentício,
ARECACEAE,"Trithrinax brasiliensis",Alimentício,
ARECACEAE,"Trithrinax brasiliensis",Bioativo,
ARECACEAE,"Trithrinax brasiliensis",Ornamental,
ARECACEAE,"Trithrinax brasiliensis","Confecção de ferramentas e utensílios",
ARECACEAE,"Trithrinax brasiliensis","Confecção de ferramentas e utensílios",
ARECACEAE,"Wettinia drudei","Confecção de ferramentas e utensílios",
ARISTOLOCHIACEAE,"Aristolochia curviflora",Bioativo,
ARISTOLOCHIACEAE,"Aristolochia cymbifera",Bioativo,
ARISTOLOCHIACEAE,"Aristolochia labiata",Ornamental,
ARISTOLOCHIACEAE,"Aristolochia labiata",Bioativo,
ARISTOLOCHIACEAE,"Aristolochia odora",Bioativo,
ARISTOLOCHIACEAE,"Aristolochia odoratissima",Bioativo,
ASTERACEAE,"Aspilia attenuata",Bioativo,
ASTERACEAE,"Bidens bipinnata",Alimentício,
ASTERACEAE,"Bidens bipinnata",Bioativo,
ASTERACEAE,"Calea clematidea",Bioativo,
ASTERACEAE,"Conocliniopsis prasiifolia",Bioativo,
ASTERACEAE,"Egletes viscosa",Bioativo,
ASTERACEAE,"Eremanthus capitatus","Energia e Combustíveis",
ASTERACEAE,"Eremanthus crotonoides",Bioativo,
ASTERACEAE,"Lessingianthus niederleinii",Alimentício,
ASTERACEAE,"Melanthera latifolia",Forrageiro,
ASTERACEAE,"Picrosia longifolia",Bioativo,
ASTERACEAE,"Schlechtendalia luzulifolia",Ornamental,
ASTERACEAE,"Trichocline macrocephala",Bioativo,
ASTERACEAE,"Trixis pallida",Bioativo,
BALANOPHORACEAE,"Langsdorffia hypogaea","Energia e Combustíveis",
BALANOPHORACEAE,"Langsdorffia hypogaea",Alimentício,
BEGONIACEAE,"Begonia coccinea",Ornamental,
BEGONIACEAE,"Begonia descoleana",Bioativo,
BEGONIACEAE,"Begonia descoleana",Ornamental,
BEGONIACEAE,"Begonia hirtella",Bioativo,
BEGONIACEAE,"Begonia hirtella",Ornamental,
BEGONIACEAE,"Begonia hispida",Ornamental,
BEGONIACEAE,"Begonia hispida",Bioativo,
BEGONIACEAE,"Begonia itatinensis",Ornamental,
BEGONIACEAE,"Begonia itatinensis",Bioativo,
BEGONIACEAE,"Begonia paulensis",Ornamental,
BEGONIACEAE,"Begonia stenolepis",Ornamental,
BEGONIACEAE,"Begonia stenolepis",Bioativo,
BEGONIACEAE,"Begonia undulata",Bioativo,
BIGNONIACEAE,"Anemopaegma arvense","Cosméticos e perfumaria",
BIGNONIACEAE,"Anemopaegma arvense",Bioativo,
BIGNONIACEAE,"Handroanthus albus",Ornamental,
BIGNONIACEAE,"Handroanthus albus",Madeireiro,
BIGNONIACEAE,"Handroanthus heptaphyllus",Ornamental,
BIGNONIACEAE,"Handroanthus heptaphyllus",Madeireiro,
BIGNONIACEAE,"Handroanthus heptaphyllus","Confecção de ferramentas e utensílios",
BIGNONIACEAE,"Handroanthus heptaphyllus",Bioativo,
BIGNONIACEAE,"Handroanthus impetiginosus",Madeireiro,
BIGNONIACEAE,"Jacaranda macrantha","Confecção de ferramentas e utensílios",
BIGNONIACEAE,"Jacaranda puberula",Madeireiro,
BIGNONIACEAE,"Jacaranda puberula",Ornamental,
BIGNONIACEAE,"Jacaranda puberula","Restauração Ambiental",
BIGNONIACEAE,"Paratecoma peroba",Madeireiro,
BIGNONIACEAE,"Paratecoma peroba","Restauração Ambiental",
BIGNONIACEAE,"Tabebuia cassinoides",Madeireiro,
BIGNONIACEAE,"Zeyheria montana",Bioativo,
BIGNONIACEAE,"Zeyheria tuberculosa","Restauração Ambiental",
BIGNONIACEAE,"Zeyheria tuberculosa","Confecção de ferramentas e utensílios",
BIGNONIACEAE,"Zeyheria tuberculosa",Madeireiro,
BIXACEAE,"Cochlospermum regium",Bioativo,
BIXACEAE,"Cochlospermum regium",Bioativo,
BIXACEAE,"Cochlospermum regium",Bioativo,
BIXACEAE,"Cochlospermum regium",Bioativo,
BIXACEAE,"Cochlospermum regium",Bioativo,
BIXACEAE,"Bixa arborea","Confecção de ferramentas e utensílios",
BROMELIACEAE,"Aechmea amicorum",Ornamental,
BROMELIACEAE,"Aechmea apocalyptica",Ornamental,
BROMELIACEAE,"Aechmea blanchetiana",Ornamental,
BROMELIACEAE,"Aechmea calyculata",Ornamental,
BROMELIACEAE,"Aechmea candida",Ornamental,
BROMELIACEAE,"Aechmea cariocae",Ornamental,
BROMELIACEAE,"Aechmea castanea",Ornamental,
BROMELIACEAE,"Aechmea entringeri",Ornamental,
BROMELIACEAE,"Aechmea fosteriana",Ornamental,
BROMELIACEAE,"Aechmea gamosepala",Ornamental,
BROMELIACEAE,"Aechmea kertesziae",Ornamental,
BROMELIACEAE,"Aechmea kleinii",Ornamental,
BROMELIACEAE,"Aechmea pectinata",Ornamental,
BROMELIACEAE,"Aechmea pimenti-velosoi",Ornamental,
BROMELIACEAE,"Aechmea recurvata var. ortgiesii",Ornamental,
BROMELIACEAE,"Aechmea sphaerocephala",Ornamental,
BROMELIACEAE,"Aechmea winkleri",Ornamental,
BROMELIACEAE,"Alcantarea benzingii",Ornamental,
BROMELIACEAE,"Alcantarea duarteana","Confecção de ferramentas e utensílios",
BROMELIACEAE,"Alcantarea geniculata",Ornamental,
BROMELIACEAE,"Alcantarea glaziouana",Ornamental,
BROMELIACEAE,"Alcantarea imperialis",Ornamental,
BROMELIACEAE,"Alcantarea roberto-kautskyi",Ornamental,
BROMELIACEAE,"Ananas fritzmuelleri",Ornamental,
BROMELIACEAE,"Araeococcus parviflorus",Ornamental,
BROMELIACEAE,"Araeococcus parviflorus",Alimentício,
BROMELIACEAE,"Araeococcus parviflorus",Bioativo,
BROMELIACEAE,"Billbergia alfonsijoannis",Ornamental,
BROMELIACEAE,"Billbergia nutans",Ornamental,
BROMELIACEAE,"Billbergia pyramidalis",Ornamental,
BROMELIACEAE,"Billbergia zebrina",Ornamental,
BROMELIACEAE,"Bromelia balansae",Ornamental,
BROMELIACEAE,"Canistrum aurantiacum",Ornamental,
BROMELIACEAE,"Cryptanthus zonatus",Ornamental,
BROMELIACEAE,"Dyckia brevifolia",Ornamental,
BROMELIACEAE,"Dyckia cabrerae",Ornamental,
BROMELIACEAE,"Dyckia distachya",Ornamental,
BROMELIACEAE,"Dyckia encholirioides",Ornamental,
BROMELIACEAE,"Dyckia fosteriana",Ornamental,
BROMELIACEAE,"Dyckia ibiramensis",Ornamental,
BROMELIACEAE,"Dyckia maritima",Ornamental,
BROMELIACEAE,"Dyckia maritima",Ornamental,
BROMELIACEAE,"Dyckia monticola",Ornamental,
BROMELIACEAE,"Dyckia tuberosa",Ornamental,
BROMELIACEAE,"Guzmania monostachia",Ornamental,
BROMELIACEAE,"Guzmania monostachia",Forrageiro,
BROMELIACEAE,"Hohenbergia augusta",Ornamental,
BROMELIACEAE,"Hohenbergia correia-araujoi",Ornamental,
BROMELIACEAE,"Hohenbergia littoralis",Ornamental,
BROMELIACEAE,"Nidularium mangaratibense",Ornamental,
BROMELIACEAE,"Pitcairnia glaziovii",Ornamental,
BROMELIACEAE,"Portea alatisepala",Ornamental,
BROMELIACEAE,"Tillandsia aeranthos",Ornamental,
BROMELIACEAE,"Tillandsia aeranthos",Bioativo,
BROMELIACEAE,"Tillandsia araujei",Ornamental,
BROMELIACEAE,"Tillandsia gardneri",Ornamental,
BROMELIACEAE,"Tillandsia geminiflora",Ornamental,
BROMELIACEAE,"Tillandsia mallemontii",Ornamental,
BROMELIACEAE,"Tillandsia streptocarpa",Bioativo,
BROMELIACEAE,"Tillandsia streptocarpa",Ornamental,
BROMELIACEAE,"Tillandsia tenuifolia",Ornamental,
BROMELIACEAE,"Tillandsia usneoides",Bioativo,
BROMELIACEAE,"Tillandsia usneoides","Confecção de ferramentas e utensílios",
BROMELIACEAE,"Tillandsia usneoides",Forrageiro,
BROMELIACEAE,"Tillandsia usneoides",Ornamental,
BROMELIACEAE,"Tillandsia xiphioides",Bioativo,
BROMELIACEAE,"Vriesea biguassuensis",Ornamental,
BROMELIACEAE,"Vriesea brusquensis",Ornamental,
BROMELIACEAE,"Vriesea carinata",Ornamental,
BROMELIACEAE,"Vriesea corcovadensis",Ornamental,
BROMELIACEAE,"Vriesea flammea",Ornamental,
BROMELIACEAE,"Vriesea flava",Ornamental,
BROMELIACEAE,"Vriesea fosteriana",Ornamental,
BROMELIACEAE,"Vriesea friburgensis var. tucumanensis",Ornamental,
BROMELIACEAE,"Vriesea gigantea",Ornamental,
BROMELIACEAE,"Vriesea goniorachis",Ornamental,
BROMELIACEAE,"Vriesea harrylutheri",Ornamental,
BROMELIACEAE,"Vriesea hieroglyphica",Ornamental,
BROMELIACEAE,"Vriesea incurvata",Ornamental,
BROMELIACEAE,"Vriesea lubbersii",Ornamental,
BROMELIACEAE,"Vriesea pastuchoffiana",Ornamental,
BROMELIACEAE,"Vriesea philippocoburgii",Ornamental,
BROMELIACEAE,"Vriesea pinottii",Ornamental,
BROMELIACEAE,"Vriesea platynema",Ornamental,
BROMELIACEAE,"Vriesea platzmannii",Ornamental,
BROMELIACEAE,"Vriesea psittacina",Ornamental,
BROMELIACEAE,"Vriesea racinae",Ornamental,
BROMELIACEAE,"Vriesea rubyae",Ornamental,
BROMELIACEAE,"Vriesea scalaris",Ornamental,
BROMELIACEAE,"Vriesea sucrei",Ornamental,
BROMELIACEAE,"Vriesea thyrsoidea",Ornamental,
BROMELIACEAE,"Vriesea triligulata",Ornamental,
BROMELIACEAE,"Vriesea vidalii",Ornamental,
BROMELIACEAE,"Wittrockia superba",Ornamental,
BURSERACEAE,"Bursera simaruba",Bioativo,
BURSERACEAE,"Bursera simaruba",Madeireiro,
CABOMBACEAE,"Cabomba caroliniana",Ornamental,
CABOMBACEAE,"Cabomba furcata",Ornamental,
CACTACEAE,"Melocactus violaceus",Ornamental,
CACTACEAE,"Pilosocereus arrabidae",Ornamental,
CACTACEAE,"Pilosocereus arrabidae",Alimentício,
CACTACEAE,"Pilosocereus piauhyensis",Bioativo,
CALYCERACEAE,"Acicarpha tribuloides",Bioativo,
CAPPARACEAE,"Crateva tapia",Bioativo,
CARICACEAE,"Jacaratia spinosa",Madeireiro,
CARICACEAE,"Jacaratia spinosa",Ornamental,
CARICACEAE,"Jacaratia spinosa","Restauração Ambiental",
CARYOCARACEAE,"Caryocar brasiliense",Bioativo,
CARYOCARACEAE,"Caryocar brasiliense",Alimentício,
CARYOCARACEAE,"Caryocar coriaceum",Alimentício,
CARYOCARACEAE,"Caryocar coriaceum",Bioativo,
CARYOCARACEAE,"Caryocar coriaceum","Cosméticos e perfumaria",
CARYOCARACEAE,"Caryocar coriaceum",Forrageiro,
CARYOCARACEAE,"Caryocar edule",Madeireiro,
CARYOCARACEAE,"Caryocar edule",Bioativo,
CELASTRACEAE,"Maytenus aquifolia",Bioativo,
CELASTRACEAE,"Maytenus boaria",Bioativo,
CELASTRACEAE,"Maytenus boaria",Madeireiro,
CELASTRACEAE,"Maytenus ilicifolia",Bioativo,
CELASTRACEAE,"Maytenus robusta",Ornamental,
CELASTRACEAE,"Maytenus robusta",Bioativo,
CHRYSOBALANACEAE,"Couepia carautae",Madeireiro,
CHRYSOBALANACEAE,"Licania belemii",Madeireiro,
CISTACEAE,"Helianthemum brasiliense",Ornamental,
CLETHRACEAE,"Clethra scabra","Confecção de ferramentas e utensílios",
CLETHRACEAE,"Clethra scabra","Energia e Combustíveis",
COSTACEAE,"Chamaecostus cuspidatus",Ornamental,
COSTACEAE,"Costus scaber",Bioativo,
COSTACEAE,"Costus scaber",Bioativo,
CUCURBITACEAE,"Cayaponia bonariensis",Bioativo,
CUCURBITACEAE,"Cayaponia espelina",Bioativo,
CUCURBITACEAE,"Cayaponia trilobata",Bioativo,
CUCURBITACEAE,"Ceratosanthes hilariana",Bioativo,
CUNONIACEAE,"Weinmannia paulliniifolia","Confecção de ferramentas e utensílios",
CUNONIACEAE,"Weinmannia paulliniifolia","Energia e Combustíveis",
CUNONIACEAE,"Weinmannia paulliniifolia","Restauração Ambiental",
CUNONIACEAE,"Weinmannia paulliniifolia",Ornamental,
CUNONIACEAE,"Weinmannia paulliniifolia",Madeireiro,
CYPERACEAE,"Bulbostylis smithii",Ornamental,
CYPERACEAE,"Cyperus giganteus","Confecção de ferramentas e utensílios",
CYPERACEAE,"Rhynchospora warmingii",Ornamental,
DICKSONIACEAE,"Dicksonia sellowiana",Ornamental,
DICKSONIACEAE,"Dicksonia sellowiana","Confecção de ferramentas e utensílios",
DIOSCOREACEAE,"Dioscorea campestris",Bioativo,
DIOSCOREACEAE,"Dioscorea stegelmanniana",Bioativo,
DRYOPTERIDACEAE,"Elaphoglossum gayanum",Bioativo,
EBENACEAE,"Diospyros duartei",Ornamental,
ELAEOCARPACEAE,"Sloanea obtusifolia",Madeireiro,
ERIOCAULACEAE,"Comanthera elegans",Ornamental,
ERIOCAULACEAE,"Comanthera mucugensis",Ornamental,
ERIOCAULACEAE,"Comanthera suberosa",Ornamental,
ERYTHROXYLACEAE,"Erythroxylum bezerrae",Forrageiro,
EUPHORBIACEAE,"Euphorbia gymnoclada",Ornamental,
EUPHORBIACEAE,"Joannesia princeps",Ornamental,
EUPHORBIACEAE,"Joannesia princeps",Bioativo,
EUPHORBIACEAE,"Joannesia princeps","Restauração Ambiental",
FABACEAE,"Amburana acreana",Madeireiro,
FABACEAE,"Apuleia leiocarpa",Ornamental,
FABACEAE,"Apuleia leiocarpa",Bioativo,
FABACEAE,"Apuleia leiocarpa","Restauração Ambiental",
FABACEAE,"Apuleia leiocarpa","Energia e Combustíveis",
FABACEAE,"Apuleia leiocarpa",Melífero,
FABACEAE,"Apuleia leiocarpa",Madeireiro,
FABACEAE,"Bowdichia virgilioides",Ornamental,
FABACEAE,"Bowdichia virgilioides",Madeireiro,
FABACEAE,"Caesalpinia echinata",Madeireiro,
FABACEAE,"Caesalpinia echinata","Confecção de ferramentas e utensílios",
FABACEAE,"Caesalpinia echinata","Confecção de ferramentas e utensílios",
FABACEAE,"Caesalpinia echinata",Ornamental,
FABACEAE,"Centrolobium paraense",Madeireiro,
FABACEAE,"Centrolobium sclerophyllum",Bioativo,
FABACEAE,"Centrolobium tomentosum","Restauração Ambiental",
FABACEAE,"Centrolobium tomentosum","Confecção de ferramentas e utensílios",
FABACEAE,"Centrolobium tomentosum",Alimentício,
FABACEAE,"Centrolobium tomentosum",Ornamental,
FABACEAE,"Centrolobium tomentosum",Madeireiro,
FABACEAE,"Centrosema pubescens",Forrageiro,
FABACEAE,"Chloroleucon tortum",Madeireiro,
FABACEAE,"Chloroleucon tortum",Ornamental,
FABACEAE,"Chloroleucon tortum",Alimentício,
FABACEAE,"Chloroleucon tortum","Restauração Ambiental",
FABACEAE,"Chloroleucon tortum",Ornamental,
FABACEAE,"Dalbergia nigra",Madeireiro,
FABACEAE,"Galactia striata",Bioativo,
FABACEAE,"Inga blanchetiana","Restauração Ambiental",
FABACEAE,"Inga bullata","Restauração Ambiental",
FABACEAE,"Inga lentiscifolia",Alimentício,
FABACEAE,"Inga lentiscifolia","Confecção de ferramentas e utensílios",
FABACEAE,"Inga sellowiana",Madeireiro,
FABACEAE,"Inga sellowiana",Alimentício,
FABACEAE,"Machaerium nyctitans","Confecção de ferramentas e utensílios",
FABACEAE,"Machaerium nyctitans",Ornamental,
FABACEAE,"Machaerium nyctitans","Restauração Ambiental",
FABACEAE,"Melanoxylon brauna",Madeireiro,
FABACEAE,"Melanoxylon brauna",Ornamental,
FABACEAE,"Melanoxylon brauna","Restauração Ambiental",
FABACEAE,"Mimosa caesalpiniifolia",Ornamental,
FABACEAE,"Mimosa caesalpiniifolia",Madeireiro,
FABACEAE,"Mimosa verrucosa",Melífero,
FABACEAE,"Mimosa verrucosa",Forrageiro,
FABACEAE,"Mimosa verrucosa","Energia e Combustíveis",
FABACEAE,"Mimosa verrucosa",Ornamental,
FABACEAE,"Myrocarpus frondosus",Madeireiro,
FABACEAE,"Myrocarpus frondosus",Bioativo,
FABACEAE,"Myroxylon peruiferum",Madeireiro,
FABACEAE,"Peltogyne maranhensis","Confecção de ferramentas e utensílios",
FABACEAE,"Plathymenia reticulata",Ornamental,
FABACEAE,"Plathymenia reticulata","Restauração Ambiental",
FABACEAE,"Poecilanthe parviflora",Ornamental,
FABACEAE,"Pterocarpus santalinoides","Gomas e resinas",
FABACEAE,"Pterocarpus santalinoides",Bioativo,
FABACEAE,"Pterogyne nitens",Madeireiro,
FABACEAE,"Pterogyne nitens",Ornamental,
FABACEAE,"Pterogyne nitens","Restauração Ambiental",
FABACEAE,"Stryphnodendron adstringens",Bioativo,
FABACEAE,"Swartzia acutifolia",Madeireiro,
FABACEAE,"Swartzia flaemingii","Energia e Combustíveis",
FABACEAE,"Swartzia flaemingii",Ornamental,
FABACEAE,"Swartzia pickelii",Madeireiro,
FABACEAE,"Tachigali densiflora",Ornamental,
FABACEAE,"Tachigali densiflora",Bioativo,
FABACEAE,"Tachigali densiflora",Madeireiro,
FABACEAE,"Tachigali densiflora","Energia e Combustíveis",
FABACEAE,"Tachigali densiflora","Restauração Ambiental",
