family,scientificName,bioma
SOLANACEAE,"Solanum schuechii","Mata Atlântica"
SOLANACEAE,"Solanum schuechii",
SOLANACEAE,"Solanum friburgense","Mata Atlântica"
SOLANACEAE,"Capsicum friburgense","Mata Atlântica"
ORCHIDACEAE,"Anathallis flammea","Mata Atlântica"
BROMELIACEAE,"Neoregelia camorimiana","Mata Atlântica"
BROMELIACEAE,"Neoregelia carinata","Mata Atlântica"
ORCHIDACEAE,"Anathallis githaginea","Mata Atlântica"
ORCHIDACEAE,"Anathallis lichenophila","Mata Atlântica"
ORCHIDACEAE,"Anathallis pubipetala","Mata Atlântica"
ORCHIDACEAE,"Anathallis rubrolimbata","Mata Atlântica"
ORCHIDACEAE,"Barbosella macaheensis","Mata Atlântica"
BROMELIACEAE,"Neoregelia coriacea","Mata Atlântica"
COMMELINACEAE,"Siderasis fuscata","Mata Atlântica"
COMMELINACEAE,"Dichorisandra oxypetala","Mata Atlântica"
BROMELIACEAE,"Neoregelia correia-araujoi","Mata Atlântica"
BROMELIACEAE,"Neoregelia desenganensis","Mata Atlântica"
BROMELIACEAE,"Neoregelia eltoniana","Mata Atlântica"
CELASTRACEAE,"Maytenus basidentata","Mata Atlântica"
ACANTHACEAE,"Justicia itatiaiensis","Mata Atlântica"
BROMELIACEAE,"Neoregelia fluminensis","Mata Atlântica"
ACANTHACEAE,"Justicia nervata","Mata Atlântica"
PIPERACEAE,"Peperomia bradei","Mata Atlântica"
BROMELIACEAE,"Neoregelia fosteriana","Mata Atlântica"
PIPERACEAE,"Peperomia humifusa","Mata Atlântica"
BROMELIACEAE,"Neoregelia gavionensis","Mata Atlântica"
ACANTHACEAE,"Justicia polita","Mata Atlântica"
XYRIDACEAE,"Xyris organensis","Mata Atlântica"
BROMELIACEAE,"Neoregelia ilhana","Mata Atlântica"
PIPERACEAE,"Peperomia papillispica","Mata Atlântica"
BROMELIACEAE,"Neoregelia indecora","Mata Atlântica"
LOASACEAE,"Aosa uleana","Mata Atlântica"
ORCHIDACEAE,"Anathallis spannageliana","Mata Atlântica"
BROMELIACEAE,"Neoregelia lactea","Mata Atlântica"
ACANTHACEAE,"Ruellia herbstii","Mata Atlântica"
BROMELIACEAE,"Neoregelia leucophoea","Mata Atlântica"
ORCHIDACEAE,"Brasilaelia fidelensis","Mata Atlântica"
ACANTHACEAE,"Ruellia silvaccola","Mata Atlântica"
BROMELIACEAE,"Neoregelia longipedicellata","Mata Atlântica"
