family,scientificNameWithoutAuthorship,scientificNameAuthorship
BEGONIACEAE,"Begonia epipsila",Brade
BEGONIACEAE,"Begonia erecta",Vell.
BEGONIACEAE,"Begonia fabulosa","L.B.Sm. & Wassh."
BEGONIACEAE,"Begonia fagifolia","Otto & A.Dietr."
BEGONIACEAE,"Begonia fluminensis",Brade
BEGONIACEAE,"Begonia forgetiana",Hemsl.
BEGONIACEAE,"Begonia friburgensis",Brade
BEGONIACEAE,"Begonia jocelinoi",Brade
BEGONIACEAE,"Begonia lanstyakii",Brade
BEGONIACEAE,"Begonia lubbersii",E.Morren
BEGONIACEAE,"Begonia lunaris",E.L.Jacques
BEGONIACEAE,"Begonia magdalenensis",Brade
BEGONIACEAE,"Begonia olsoniae","L.B.Sm. & B.G.Schub."
BEGONIACEAE,"Begonia parvifolia",Schott
BEGONIACEAE,"Begonia princeps",A.DC.
BEGONIACEAE,"Begonia pseudolubbersii",Brade
BEGONIACEAE,"Begonia ramentacea",Paxton
BEGONIACEAE,"Begonia rotunda",Vell.
BEGONIACEAE,"Begonia rubropilosa",A.DC.
BEGONIACEAE,"Begonia sanguinea",Raddi
BEGONIACEAE,"Begonia semidigitata",Brade
BEGONIACEAE,"Begonia valida",Goebel
BEGONIACEAE,"Begonia velloziana",Walp.
BIGNONIACEAE,"Adenocalymma bullatum","Bureau & K.Schum."
BIGNONIACEAE,"Bignonia costata","(Bureau & K.Schum.) L.G.Lohmann"
BIGNONIACEAE,"Fridericia elegans","(Vell.) L.G.Lohmann"
BIGNONIACEAE,"Jacaranda crassifolia",Morawetz
BROMELIACEAE,"Aechmea caesia","E.Morren ex Baker"
BROMELIACEAE,"Aechmea cariocae",L.B.Sm.
BROMELIACEAE,"Aechmea dealbata","E.Morren ex Baker"
BROMELIACEAE,"Aechmea fasciata","(Lindl.) Baker"
BROMELIACEAE,"Aechmea flavorosea",E.Pereira
BROMELIACEAE,"Aechmea grazielae","Martinelli & Leme"
BROMELIACEAE,"Aechmea paratiensis","Leme & Fraga"
BROMELIACEAE,"Aechmea prava",E.Pereira
BROMELIACEAE,"Aechmea squarrosa",Baker
BROMELIACEAE,"Alcantarea farneyi","(Martinelli & A.F.Costa) J.R.Grant"
BROMELIACEAE,"Alcantarea geniculata","(Wawra) J.R.Grant"
BROMELIACEAE,"Alcantarea glaziouana","(Leme) J.R.Grant"
BROMELIACEAE,"Alcantarea heloisae",J.R.Grant
BROMELIACEAE,"Alcantarea martinellii","Versieux & Wand."
BROMELIACEAE,"Alcantarea nevaresii","(Leme) J.R.Grant"
BROMELIACEAE,"Alcantarea tortuosa","Versieux & Wand."
BROMELIACEAE,"Billbergia amandae",W.Weber
BROMELIACEAE,"Billbergia brasiliensis",L.B.Sm.
BROMELIACEAE,"Billbergia macracantha",E.Pereira
BROMELIACEAE,"Canistropsis correia-araujoi","(E.Pereira & Leme) Leme"
BROMELIACEAE,"Canistropsis elata","(E.Pereira & Leme) Leme"
BROMELIACEAE,"Canistropsis marceloi","(E.Pereira & Moutinho) Leme"
BROMELIACEAE,"Canistropsis pulcherrima","(E.Pereira & Leme) Leme"
BROMELIACEAE,"Cryptanthus bromelioides","Otto & A.Dietr."
BROMELIACEAE,"Cryptanthus delicatus",Leme
BROMELIACEAE,"Cryptanthus sinuosus",L.B.Sm.
BROMELIACEAE,"Dyckia martinellii","B.R. Silva & Forzza"
BROMELIACEAE,"Dyckia pseudococcinea",L.B.Sm.
BROMELIACEAE,"Neoregelia abendrothae",L.B.Sm.
BROMELIACEAE,"Neoregelia bragarum","(E.Pereira & L.B.Sm.) Leme"
BROMELIACEAE,"Neoregelia camorimiana","E.Pereira & I.A.Penna"
BROMELIACEAE,"Neoregelia carinata",Leme
BROMELIACEAE,"Neoregelia coimbrae","E.Pereira & Leme"
BROMELIACEAE,"Neoregelia coriacea","(Antoine) L.B.Sm."
BROMELIACEAE,"Neoregelia correia-araujoi","E.Pereira & I.A.Penna"
BROMELIACEAE,"Neoregelia desenganensis",Leme
BROMELIACEAE,"Neoregelia eltoniana",W.Weber
BROMELIACEAE,"Neoregelia fluminensis",L.B.Sm.
BROMELIACEAE,"Neoregelia fosteriana",L.B.Sm.
BROMELIACEAE,"Neoregelia gavionensis","Martinelli & Leme"
BROMELIACEAE,"Neoregelia ilhana",Leme
BROMELIACEAE,"Neoregelia indecora","(Mez) L.B.Sm."
BROMELIACEAE,"Neoregelia kuhlmannii",L.B.Sm.
BROMELIACEAE,"Neoregelia lactea","H.Luther & Leme"
BROMELIACEAE,"Neoregelia leucophoea","(Baker) L.B.Sm."
BROMELIACEAE,"Neoregelia longipedicellata",Leme
BROMELIACEAE,"Neoregelia macahensis","(Ule) L.B.Sm."
BROMELIACEAE,"Neoregelia macwilliamsii",L.B.Sm.
BROMELIACEAE,"Neoregelia martinellii",W.Weber
BROMELIACEAE,"Neoregelia nevaresii","Leme & H.Luther"
BROMELIACEAE,"Neoregelia petropolitana",Leme
BROMELIACEAE,"Neoregelia roethii",W.Weber
BROMELIACEAE,"Neoregelia rubrovittata",Leme
BROMELIACEAE,"Neoregelia sapiatibensis","E.Pereira & I.A.Penna"
BROMELIACEAE,"Neoregelia tenebrosa",Leme
BROMELIACEAE,"Neoregelia uleana",L.B.Sm.
BROMELIACEAE,"Neoregelia watersiana",Leme
BROMELIACEAE,"Nidularium altimontanum",Leme
BROMELIACEAE,"Nidularium angustifolium",Ule
BROMELIACEAE,"Nidularium apiculatum",L.B.Sm.
BROMELIACEAE,"Nidularium atalaiaense","E.Pereira & Leme"
BROMELIACEAE,"Nidularium fradense",Leme
BROMELIACEAE,"Nidularium fulgens",Lem.
BROMELIACEAE,"Nidularium itatiaiae",L.B.Sm.
BROMELIACEAE,"Nidularium mangaratibense",Leme
BROMELIACEAE,"Nidularium organense",Leme
BROMELIACEAE,"Nidularium rosulatum",Ule
BROMELIACEAE,"Nidularium utriculosum",Ule
BROMELIACEAE,"Nidularium viridipetalum",Leme
BROMELIACEAE,"Pitcairnia albiflos",Herb.
BROMELIACEAE,"Pitcairnia beycalema",Beer
BROMELIACEAE,"Pitcairnia corcovadensis",Wawra
BROMELIACEAE,"Pitcairnia encholirioides",L.B.Sm.
BROMELIACEAE,"Pitcairnia insularis","Tatagiba & R.J.V.Alves"
BROMELIACEAE,"Pitcairnia staminea",Lodd.
BROMELIACEAE,"Pitcairnia suaveolens",Lindl.
BROMELIACEAE,"Pitcairnia wendtiae","Tatagiba & B.R.Silva"
