family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
ASTERACEAE,"Piptocarpha verticillata","(Vell.) G.Lom.Sm. ex H.Rob.","Piptocarpha verticillata (Vell.) G.Lom.Sm. ex H.Rob."
ASTERACEAE,"Senecio arctiifolius",Baker,"Senecio arctiifolius Baker"
ASTERACEAE,"Senecio malacophyllus",Dusén,"Senecio malacophyllus Dusén"
ASTERACEAE,"Senecio ramentaceus",Baker,"Senecio ramentaceus Baker"
ASTERACEAE,"Stevia dubia",B.L.Rob.,"Stevia dubia B.L.Rob."
ASTERACEAE,"Stevia organensis",Gardner,"Stevia organensis Gardner"
ASTERACEAE,"Stevia verticillata",Schltdl.,"Stevia verticillata Schltdl."
ASTERACEAE,"Trichogoniopsis podocarpa","(DC.) R.M.King & H.Rob.","Trichogoniopsis podocarpa (DC.) R.M.King & H.Rob."
ASTERACEAE,"Wunderlichia insignis",Baill.,"Wunderlichia insignis Baill."
BARTRAMIACEAE,"Bartramia mathewsii",Mitt.,"Bartramia mathewsii Mitt."
BEGONIACEAE,"Begonia acetosa",Vell.,"Begonia acetosa Vell."
BEGONIACEAE,"Begonia acida",Vell.,"Begonia acida Vell."
BEGONIACEAE,"Begonia aconitifolia",A.DC.,"Begonia aconitifolia A.DC."
BEGONIACEAE,"Begonia antonietae",Brade,"Begonia antonietae Brade"
BEGONIACEAE,"Begonia cariocana","Brade ex L.B.Sm. & Wassh.","Begonia cariocana Brade ex L.B.Sm. & Wassh."
BEGONIACEAE,"Begonia cerasiphylla","L.B.Sm. & Wassh.","Begonia cerasiphylla L.B.Sm. & Wassh."
BEGONIACEAE,"Begonia collaris",Brade,"Begonia collaris Brade"
BEGONIACEAE,"Begonia concinna",Schott,"Begonia concinna Schott"
BEGONIACEAE,"Begonia cordata",Vell.,"Begonia cordata Vell."
BEGONIACEAE,"Begonia declinata",Vell.,"Begonia declinata Vell."
BEGONIACEAE,"Begonia densifolia",Irmsch.,"Begonia densifolia Irmsch."
BEGONIACEAE,"Begonia dentatiloba",A.DC.,"Begonia dentatiloba A.DC."
BEGONIACEAE,"Begonia depauperata",Schott,"Begonia depauperata Schott"
BEGONIACEAE,"Begonia edmundoi",Brade,"Begonia edmundoi Brade"
BEGONIACEAE,"Begonia epipsila",Brade,"Begonia epipsila Brade"
BEGONIACEAE,"Begonia erecta",Vell.,"Begonia erecta Vell."
BEGONIACEAE,"Begonia fabulosa","L.B.Sm. & Wassh.","Begonia fabulosa L.B.Sm. & Wassh."
BEGONIACEAE,"Begonia fagifolia","Otto & A.Dietr.","Begonia fagifolia Otto & A.Dietr."
BEGONIACEAE,"Begonia fluminensis",Brade,"Begonia fluminensis Brade"
BEGONIACEAE,"Begonia forgetiana",Hemsl.,"Begonia forgetiana Hemsl."
BEGONIACEAE,"Begonia friburgensis",Brade,"Begonia friburgensis Brade"
