occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
1259436,Asteraceae,ASTERACEAE,"Austrocritonia taunayana (Glaz. ex B.L.Rob.) R.M.King & H.Rob.","Austrocritonia taunayana",,,,,,,,,"Austrocritonia taunayana (Glaz. ex B.L.Rob.) R.M.King & H.Rob.",,,,,,,"Lucas Moraes",
1261693,Asteraceae,ASTERACEAE,"Lepidaploa obtusifolia (Less.) H.Rob.","Lepidaploa obtusifolia",,,,,,,,,"Lepidaploa obtusifolia (Less.) H.Rob.",,,,,,,"Lucas Moraes",
13,Neoregelia,BROMELIACEAE,"Neoregelia roethii W.Weber","Neoregelia roethii",-22.418331,-42.728717,"google earth",ok,,,,"1 a 5 km","Neoregelia roethii W.Weber",,,,,,,"Tomás Amorim ; Rodrigo Amaro",
1917b7f8-67f2-4597-b319-02affa68cade,Myrtaceae,MYRTACEAE,"Eugenia augustana Kiaersk.","Eugenia augustana",-15.9519,-47.935,coletor,ok,"Fernanda Wimmer",,,,"Eugenia augustana Kiaersk.",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
2.8010961369427E13,Fabaceae,FABACEAE,"Tachigali beaurepairei (Harms) L.G.Silva & H.C.Lima","Tachigali beaurepairei",,,,,,,,,"Tachigali beaurepairei (Harms) L.G.Silva & H.C.Lima",,,,,,,"Lucas Moulton",
2137442,Lauraceae,LAURACEAE,"Mezilaurus navalium (Allemão) Taub. ex Mez","Mezilaurus navalium",,,,,,,,,"Mezilaurus navalium (Allemão) Taub. ex Mez",,,,,,,"Raquel Negrão",
21434999-fb5f-4057-b330-4c815e15135e,Rubiaceae,RUBIACEAE,"Coussarea friburgensis M.Gomes","Coussarea friburgensis",,,,,,,,,"Coussarea friburgensis M.Gomes",,,,,,,"Raquel Negrão",
2227980,Lauraceae,LAURACEAE,"Mezilaurus navalium (Allemão) Taub. ex Mez","Mezilaurus navalium",,,,,,,,,"Mezilaurus navalium (Allemão) Taub. ex Mez",,,,,,,"Raquel Negrão",
229,Xyris,XYRIDACEAE,"Xyris organensis Malme","Xyris organensis",-22.459933,-43.027936,"google earth",ok,,,,"250 a 1000 m","Xyris organensis Malme",true,valid,no,no,native,valid,"Tomás Amorim ; Rodrigo Amaro","Abundante, flores amarelas, local úmidoAbundante, flores amarelas, local úmido"
2296966,Fabaceae,FABACEAE,"Tachigali beaurepairei (Harms) L.G.Silva & H.C.Lima","Tachigali beaurepairei",-22.530833333333,-43.008333333333,,,,,,,"Tachigali beaurepairei (Harms) L.G.Silva & H.C.Lima",,,,,,,"Lucas Moulton",
230,Xyris,XYRIDACEAE,"Xyris organensis Malme","Xyris organensis",-22.393905,-44.657017,"google earth",ok,,,,"1 a 5 km","Xyris organensis Malme",false,unknown,unknown,unknown,unknown,unknown,"Tomás Amorim ; Rodrigo Amaro",
231,Xyris,XYRIDACEAE,"Xyris organensis Malme","Xyris organensis",-22.455468,-43.025358,"google earth",ok,,,,"250 a 1000 m","Xyris organensis Malme",true,valid,no,no,native,valid,"Tomás Amorim ; Rodrigo Amaro","2175 m. de altitude"
232,Panicum,POACEAE,"Dichanthelium cucaense (Zuloaga & Morrone) Zuloaga","Dichanthelium cucaense",-22.461109,-43.030449,"google earth",ok,,,,"250 a 1000 m","Dichanthelium cucaense (Zuloaga & Morrone) Zuloaga",true,valid,no,no,native,valid,"Tomás Amorim ; Rodrigo Amaro","Alt. 2170 m."
2374577,Asteraceae,ASTERACEAE,"Lepidaploa obtusifolia (Less.) H.Rob.","Lepidaploa obtusifolia",,,,,,,,,"Lepidaploa obtusifolia (Less.) H.Rob.",,,,,,,"Lucas Moraes",
2432681,Asteraceae,ASTERACEAE,"Wunderlichia insignis Baill.","Wunderlichia insignis",-21.995277777778,-42.914166666667,,,,,,,"Wunderlichia insignis Baill.",,,,,,,"Lucas Moraes",
2533915,Asteraceae,ASTERACEAE,"Lepidaploa persicifolia (Desf.) H.Rob.","Lepidaploa persicifolia",-14.416666666667,-48.4,,,,,,,"Lepidaploa persicifolia (Desf.) H.Rob.",,,,,,,"Lucas Moraes",
