family,scientificName,use,resource,details,references
BROMELIACEAE,"Cryptanthus sinuosus","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Dyckia martinellii","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p. "
BROMELIACEAE,"Dyckia pseudococcinea","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).  ","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p. "
BROMELIACEAE,"Nidularium altimontanum","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","•	Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium angustifolium","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","•	Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium apiculatum","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","•	Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium atalaiaense","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","•	Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
ERICACEAE,"Agarista organensis","17. Unknown",,"Não se conhece nenhum potencial uso descrito para a espécie em questão.",
ERICACEAE,"Agarista uleana","17. Unknown",,"Não se conhece nenhum potencial uso descrito para a espécie em questão.",
ERICACEAE,"Gaylussacia pruinosa","17. Unknown",,"Não se conhece nenhum potencial uso descrito para a espécie em questão",
ERICACEAE,"Gaylussacia retivenia","17. Unknown",,"Não se conhece nenhum potencial uso descrito para a espécie em questão",
ONAGRACEAE,"Fuchsia alpestris","13. Pets/display animals, horticulture","whole plant","Espécies do gênero Fuchsia são amplamente utilizaadas como plantas ornamentais (Fernandez, com. pess.).",
ONAGRACEAE,"Fuchsia campos-portoi","13. Pets/display animals, horticulture","whole plant","Espécies do gênero Fuchsia são amplamente utilizaadas como plantas ornamentais (Fernandez, com. pess.).",
ONAGRACEAE,"Fuchsia glazioviana","13. Pets/display animals, horticulture","whole plant","Espécies do gênero Fuchsia são amplamente utilizadas como plantas ornamentais (Fernandez, com. pess.).",
OPILIACEAE,"Agonandra fluminensis","17. Unknown",,"Não foi enontrada nenhuma referência citando usos direto deste táxon.",
HELICONIACEAE,"Heliconia pseudoaemygdiana","13. Pets/display animals, horticulture","whole plant","H. pseudoaemygdiana é usualmente cultivada a pleno sol ou em local levemente sombreado, tendo emprego em jardins e em paisagismo de maneira geral, principalmente pelas flores e folhagens vistosas como em todo o gênero (Mello Filho e Santos, 1983).","Mello Filho, L.E., Santos, E. 1983. Heliconiae Novae Brasiliensis VII. Bradea. 41 (3): 370- 372."
LAURACEAE,"Mezilaurus navalium","9. Construction/structural materials","whole plant","A madeira de Mezilaurus navalium foi muito utilizada na construção naval durante o Brasil colônia. A espécie era considerada a madeira de melhor qualidade para a confecção de tábuas para cascos dos navios, uma vez que sua madeira é extremamente resistente e durável. A madeira de M. navalium também era utilizada na construção dos barris de armazenamento de água utilizados nas embarcações (Miller, 2000).","Miller, S.W. 2000. Fruitless trees - Portuguese conservation and Brazil's colonial timber. Stanford University Press."
BROMELIACEAE,"Nidularium fradense","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). ","•	Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium fulgens","13. Pets/display animals, horticulture","whole plant","Esta espécie é utilizada em vasos e jardins, muitas vezes extraída da natureza (Paiva et al., 2009).","Paiva, P.D. de O., Naves, V.C., Dutra, L.F., Paiva, R., Moacir, P., 2009. In vitro propagation of Nidularium fulgens Lem. Interciencia 34, 593–596."
BROMELIACEAE,"Nidularium itatiaiae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium mangaratibense","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium organense","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium rosulatum","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium utriculosum","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Nidularium viridipetalum","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
ARACEAE,"Philodendron alternans","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","O estudo de Tognon (2010), indica que a espécie possui potencial paisagístico.","TOGNON, G. B. (2010). Potencial ornamental, propagação, rendimento de óleos essenciais e resposta á deficiência hídrica de ipoméias. Mestrado. Universidade de Passo Fundo. SP. 133p."
BROMELIACEAE,"Quesnelia edmundoi","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
TRIURIDACEAE,"Peltophyllum caudatum","17. Unknown",,"Nenhum uso conhecido.",
TRIURIDACEAE,"Triuris alata","17. Unknown",,"Nenhum uso conhecido.",
BROMELIACEAE,"Quesnelia lateralis","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Quesnelia seideliana","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Canistropsis correia-araujoi","12. Handicrafts, jewellery, decorations, curios, etc.",,"A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Canistropsis elata","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Canistropsis marceloi","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Canistropsis pulcherrima","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Tillandsia brachyphylla","13. Pets/display animals, horticulture","whole plant","A espécies é cobiçada por colecionadores devido a sua raridade. ","Benzing, D. H. Bromeliaceae: Profile of an Adaptive Radiation. Cambridge, United Kingdom: Cambridge University Press, 2000. 690 p.;Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Tillandsia carminea","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Tillandsia grazielae","13. Pets/display animals, horticulture","whole plant","Espécie coletada por colecionadores ou comerciantes (Benzing, 2000). A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012). A espécie teve ca. 2.600 indivíduos apreendidos no Orquidário Binot (Petrópolis) em 1995 (Costa, com. pess.).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p.;Benzing, D. H. Bromeliaceae: Profile of an Adaptive Radiation. Cambridge, United Kingdom: Cambridge University Press, 2000. 690 p."
BROMELIACEAE,"Tillandsia neglecta","13. Pets/display animals, horticulture","whole plant","Espécie coletada por colecionadores ou comerciantes (Benzing, 2000). A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Tillandsia nuptialis","13. Pets/display animals, horticulture","whole plant"," A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Tillandsia organensis","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
EUPHORBIACEAE,"Acalypha peckoltii","17. Unknown",,,
EUPHORBIACEAE,"Acalypha pohliana","17. Unknown",,,
EUPHORBIACEAE,"Actinostemon mandiocanus","17. Unknown",,,
