family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
ARALIACEAE,"Dendropanax heterophyllus","(Marchal) Frodin",done,review,CR,"B2ab(ii,iii,iv)"
ARALIACEAE,"Dendropanax langsdorfii","(Marchal) Frodin",done,open,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
ARALIACEAE,"Dendropanax trilobus","(Gardner) Seem.",done,review,CR,"B2ab(ii,iii)"
ARALIACEAE,"Hydrocotyle alpestris",Gardner,done,review,CR,"B1ab(i,ii,iii)"
ARALIACEAE,"Hydrocotyle bradei",Rossberg,done,review,CR,"B2ab(ii,iii)"
ARALIACEAE,"Hydrocotyle ulei",H.Wolff,done,review,EN,"B1ab(i,ii,iii,iv)"
ARALIACEAE,"Schefflera succinea","Frodin & Fiaschi",done,,,
ARECACEAE,"Lytocaryum weddellianum","(H.Wendl.) Toledo",validation,review,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
ARISTOLOCHIACEAE,"Aristolochia raja","Mart. & Zucc.",done,open,EN,"B1ab(i,iii,iv)+2ab(ii,iii,iv)"
ASPLENIACEAE,"Asplenium cariocanum",Brade,done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Austrocritonia rosea","(Gardner) R.M.King & H.Rob.",review,review,EN,"B1ab(i,ii,iii,v)c(i,ii,iii,iv)"
ASTERACEAE,"Austrocritonia taunayana","(Glaz. ex B.L.Rob.) R.M.King & H.Rob.",review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ASTERACEAE,"Austroeupatorium petrophilum","(B.L.Rob.) R.M.King & H.Rob.",review,review,DD,
ASTERACEAE,"Baccharis alpestris",Gardner,review,open,CR,"B2ab(i,ii,iii,iv,v)"
ASTERACEAE,"Baccharis bifrons",Baker,review,open,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Baccharis ciliata",Gardner,review,open,CR,"B2ab(i,ii,iii,iv,v)"
ASTERACEAE,"Baccharis friburgensis","G.Heiden et al.",review,open,CR,"B2ab(i,iii)"
ASTERACEAE,"Baccharis pseudovaccinioides",Malag.,review,review,EN,"B2ab(i,ii,iii,v)"
ASTERACEAE,"Barrosoa viridiflora","(Baker) R.M. King & H. Rob.",review,review,DD,
ASTERACEAE,"Calea wedelioides","(Baker) S.F.Blake",review,review,EN,"B1ab(i,ii,iii)"
ASTERACEAE,"Critoniopsis magdalenae","(G.M.Barroso) H.Rob.",review,review,DD,
ASTERACEAE,"Dasyphyllum cryptocephalum","(Baker) Cabrera",review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ASTERACEAE,"Dasyphyllum leptacanthum","(Gardner) Cabrera",review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ASTERACEAE,"Gamochaeta grazielae","(Rizzini) Deble",review,,,
ASTERACEAE,"Graphistylis cuneifolia","(Gardner) B.Nord.",review,review,EN,"B2ab(i,ii,iii,v)"
ASTERACEAE,"Lepidaploa araujoa","(H.Rob.) H.Rob.",review,,,
ASTERACEAE,"Lepidaploa coulonioides","(H.Rob.) H.Rob.",review,,,
ASTERACEAE,"Lepidaploa obtusifolia","(Less.) H.Rob.",review,,,
ASTERACEAE,"Lepidaploa persicifolia","(Desf.) H.Rob.",review,,,
ASTERACEAE,"Lessingianthus glaziovianus","(Baker) H.Rob.",review,open,,
ASTERACEAE,"Macropodina bradei","R.M.King & H.Rob.",review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ASTERACEAE,"Mikania alexandreae",G.M.Barroso,review,open,DD,
ASTERACEAE,"Mikania cabrerae",G.M.Barroso,review,,,
ASTERACEAE,"Mikania campos-portoana",G.M.Barroso,review,,,
ASTERACEAE,"Mikania casarettoi",B.L.Rob.,review,open,DD,
ASTERACEAE,"Mikania hastifolia",Baker,review,open,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
ASTERACEAE,"Mikania paranahybensis",G.M.Barroso,review,open,DD,
ASTERACEAE,"Mikania pteropoda",DC.,review,open,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Mikania vauthieriana",Baker,review,open,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Ophryosporus organensis",Cabrera,review,review,CR,"B2ab(i,ii,iii,v)"
