family,scientificName,threat,incidence,timing,decline
AQUIFOLIACEAE,"Ilex longipetiolata","7.1.1 Increase in fire frequency/intensity",regional,present,habitat;occupancy
AQUIFOLIACEAE,"Ilex organensis","7.1.1 Increase in fire frequency/intensity",local,past;present;future,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex schwackeana","2 Agriculture & aquaculture",regional,present,locality;habitat;occupancy
AQUIFOLIACEAE,"Ilex schwackeana","2.1.2 Small-holder farming",regional,past,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex schwackeana","2.1.4 Scale Unknown/Unrecorded",regional,present;future,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex schwackeana","2.3.2 Small-holder grazing, ranching or farming",regional,past,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex schwackeana","1.3 Tourism & recreation areas",local,present,locality;habitat
LORANTHACEAE,"Struthanthus pentamerus","7.1 Fire & fire suppression",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus pentamerus","10.3 Avalanches/landslides",regional,past;present;future,locality;habitat
ANNONACEAE,"Duguetia pohliana","1.1 Housing & urban areas",local,past;present;future,locality;habitat
ANNONACEAE,"Duguetia pohliana","2.1.4 Scale Unknown/Unrecorded",local,past;present;future,habitat;locality
ANNONACEAE,"Duguetia pohliana","7.1.1 Increase in fire frequency/intensity",local,present,"locality;habitat;occupancy;occurrence;mature individuals"
ANNONACEAE,"Duguetia pohliana","1.3 Tourism & recreation areas",local,past;present;future,habitat;locality
LORANTHACEAE,"Struthanthus armandianus","1 Residential & commercial development",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus armandianus","2.3.3 Agro-industry grazing, ranching or farming",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus involucratus","2 Agriculture & aquaculture",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus harlingianus","1 Residential & commercial development",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus dorothyi","1 Residential & commercial development",regional,past;present;future,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra rigida","2.1.2 Small-holder farming",regional,past,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra rigida","2.3.2 Small-holder grazing, ranching or farming",regional,past,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra rigida","1.3 Tourism & recreation areas",regional,present;future,locality;habitat;occupancy
ACANTHACEAE,"Aphelandra rigida","1.1 Housing & urban areas",regional,present,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra rigida","2 Agriculture & aquaculture",regional,present;future,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra rigida","2.3 Livestock farming & ranching",regional,present;future,locality;habitat;occupancy;occurrence
PRIMULACEAE,"Cybianthus gracillimus","1 Residential & commercial development",regional,past;present;future,locality;habitat;occupancy;occurrence
PRIMULACEAE,"Cybianthus gracillimus","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat;occupancy;occurrence
ANNONACEAE,"Hornschuchia alba","1.1 Housing & urban areas",local,,
ANNONACEAE,"Hornschuchia alba","1.3 Tourism & recreation areas",,,
ORCHIDACEAE,"Acianthera bidentata","7.1.1 Increase in fire frequency/intensity",regional,present,habitat;occurrence
ANNONACEAE,"Trigynaea axilliflora","1.3 Tourism & recreation areas",local,past;present;future,locality;habitat
ANNONACEAE,"Trigynaea axilliflora","7.1.1 Increase in fire frequency/intensity",local,past;present,"habitat;occupancy;occurrence;mature individuals"
ANNONACEAE,"Trigynaea axilliflora","1.1 Housing & urban areas",regional,past;present,locality;habitat
ACANTHACEAE,"Aphelandra stephanophysa","2.1.2 Small-holder farming",regional,past,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra stephanophysa","2.3.2 Small-holder grazing, ranching or farming",regional,past,locality;habitat
ACANTHACEAE,"Aphelandra stephanophysa","1.3 Tourism & recreation areas",regional,present,habitat;occupancy
ACANTHACEAE,"Aphelandra stephanophysa","1.1 Housing & urban areas",regional,present;future,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Aphelandra stephanophysa","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat;occupancy
ANNONACEAE,"Unonopsis riedeliana","2.3.4 Scale Unknown/Unrecorded",local,past;present,"locality;occupancy;occurrence;mature individuals"
ANNONACEAE,"Unonopsis riedeliana","2.1.4 Scale Unknown/Unrecorded",local,past;present,habitat;locality
LAURACEAE,"Endlicheria balsamea","1 Residential & commercial development",regional,past,habitat;occupancy;occurrence
LAURACEAE,"Beilschmiedia angustifolia","1 Residential & commercial development",regional,present;future,habitat;locality;occupancy;occurrence
LAURACEAE,"Beilschmiedia angustifolia","7.1 Fire & fire suppression",regional,past;present;future,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Herpetacanthus delicatus","4.1 Roads & railroads",local,past;present;future,locality;habitat
ACANTHACEAE,"Herpetacanthus delicatus","9.5 Air-borne pollutants",regional,present;future,habitat
ACANTHACEAE,"Herpetacanthus delicatus","8.4.2 Named species",local,present,"locality;habitat;mature individuals;occupancy;occurrence"
ACANTHACEAE,"Herpetacanthus delicatus","7.1 Fire & fire suppression",local,past;present,habitat;locality;occupancy
ACANTHACEAE,"Herpetacanthus delicatus","1.3 Tourism & recreation areas",local,present;future,locality;habitat;occupancy;occurrence
LAURACEAE,"Nectandra spicata","1 Residential & commercial development",local,present;future,habitat
LAURACEAE,"Nectandra spicata","1.3 Tourism & recreation areas",local,present;future,habitat;occupancy
LAURACEAE,"Nectandra spicata","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat;occupancy;occurrence
LAURACEAE,"Nectandra spicata","2.3 Livestock farming & ranching",regional,past;present;future,locality;habitat;occupancy;occurrence
LAURACEAE,"Nectandra spicata","2.1.4 Scale Unknown/Unrecorded",regional,past,locality;habitat;occupancy;occurrence
SYMPLOCACEAE,"Symplocos neglecta","7.1.1 Increase in fire frequency/intensity",local,past;present,"locality;habitat;occupancy;occurrence;mature individuals"
SYMPLOCACEAE,"Symplocos neglecta","9.5 Air-borne pollutants",local,past;present,habitat
APIACEAE,"Eryngium goulartii","7.1.1 Increase in fire frequency/intensity",local,past;present;future,habitat;occupancy
LAURACEAE,"Ocotea sinaiana","2.3 Livestock farming & ranching",regional,past;present;future,locality;habitat;occupancy;occurrence
SYMPLOCACEAE,"Symplocos occulta","2.1.3 Agro-industry farming",local,past;present,"locality;habitat;occupancy;occurrence;mature individuals"
SYMPLOCACEAE,"Symplocos organensis","9.5 Air-borne pollutants",local,present,"habitat;mature individuals"
SYMPLOCACEAE,"Symplocos organensis","7.1.1 Increase in fire frequency/intensity",,,
SYMPLOCACEAE,"Symplocos organensis","1.3 Tourism & recreation areas",local,past;present;future,habitat
MONIMIACEAE,"Macropeplus friburgensis","1.1 Housing & urban areas",regional,past;present;future,locality;habitat;occupancy;occurrence
MONIMIACEAE,"Macropeplus friburgensis","1.3 Tourism & recreation areas",regional,past;present;future,
MONIMIACEAE,"Macropeplus friburgensis","7.1 Fire & fire suppression",regional,past;present;future,locality;habitat;occupancy;occurrence
GENTIANACEAE,"Prepusa connata","1.3 Tourism & recreation areas",local,past;present,"habitat;occupancy;mature individuals"
GENTIANACEAE,"Prepusa connata","2.3.2 Small-holder grazing, ranching or farming",local,past;present,habitat
GENTIANACEAE,"Prepusa connata","7.1.1 Increase in fire frequency/intensity",local,past;present;future,habitat;occupancy;occurrence
GENTIANACEAE,"Prepusa hookeriana","7.1.1 Increase in fire frequency/intensity",local,past;present;future,"habitat;occupancy;mature individuals"
GENTIANACEAE,"Prepusa hookeriana","2 Agriculture & aquaculture",regional,past;present;future,habitat;locality;occurrence
GENTIANACEAE,"Prepusa hookeriana","1 Residential & commercial development",local,past;present,
GENTIANACEAE,"Prepusa hookeriana","8 Invasive & other problematic species, genes & diseases",local,past;present;,
ACANTHACEAE,"Herpetacanthus parvispica","2.2 Wood & pulp plantations",regional,past;present;future,locality;habitat;occupancy;occurrence
ACANTHACEAE,"Herpetacanthus parvispica","7.1 Fire & fire suppression",local,past;present,locality;habitat
ACANTHACEAE,"Herpetacanthus parvispica","5.2 Gathering terrestrial plants",local,past;present,
ACANTHACEAE,"Herpetacanthus parvispica","2.3.4 Scale Unknown/Unrecorded",local,past;present,habitat;locality
BROMELIACEAE,"Neoregelia abendrothae","9.5 Air-borne pollutants",local,present,habitat
BROMELIACEAE,"Neoregelia abendrothae","7.1.1 Increase in fire frequency/intensity",local,present,"habitat;locality;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia abendrothae","8.1.2 Named species",local,present,habitat
BROMELIACEAE,"Neoregelia abendrothae","1.1 Housing & urban areas",local,present,"locality;habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia abendrothae","1.3 Tourism & recreation areas",local,past;present;future,habitat;locality
BROMELIACEAE,"Neoregelia bragarum","2.1.2 Small-holder farming",local,past;present,"habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia bragarum","2.3.2 Small-holder grazing, ranching or farming",local,past;present,"habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Neoregelia bragarum","1.3 Tourism & recreation areas",local,past;present;future,habitat;locality
BROMELIACEAE,"Neoregelia bragarum","9.5 Air-borne pollutants",local,present,locality;habitat
BROMELIACEAE,"Neoregelia bragarum","7.1.1 Increase in fire frequency/intensity",local,present,"locality;habitat;occupancy;occurrence;mature individuals"
LAURACEAE,"Ocotea abbreviata","4.1 Roads & railroads",regional,past;present;future,locality;habitat;occupancy;occurrence
LAURACEAE,"Ocotea abbreviata","10.3 Avalanches/landslides",regional,past;present;future,habitat;locality;occupancy;occurrence
