family,scientificName,habitat
ORCHIDACEAE,"Coppensia edmundoi","1 Forest"
PIPERACEAE,"Piper translucens","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Cyclopogon gardneri","1 Forest"
ORCHIDACEAE,"Cyclopogon proboscideus","1 Forest"
MELASTOMATACEAE,"Behuria organensis","1.9 Subtropical/Tropical Moist Montane Forest"
PRIMULACEAE,"Stylogyne araujoana","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Nidularium altimontanum","1.8 Subtropical/Tropical Swamp Forest"
BROMELIACEAE,"Nidularium angustifolium","1.8 Subtropical/Tropical Swamp Forest"
PIPERACEAE,"Piper saldanhai","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Nidularium apiculatum","1.8 Subtropical/Tropical Swamp Forest"
PIPERACEAE,"Piper rumicifolium","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Encyclia viridiflora","1 Forest"
BROMELIACEAE,"Nidularium atalaiaense","3.5 Subtropical/Tropical Dry Shrubland"
PIPERACEAE,"Piper rioense","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Epidendrum ammophilum","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
MELASTOMATACEAE,"Bertolonia grazielae","1.6 Subtropical/Tropical Moist Lowland Forest"
MELASTOMATACEAE,"Bertolonia valenteana","1.9 Subtropical/Tropical Moist Montane Forest"
LAURACEAE,"Ocotea leucophloea","1.6 Subtropical/Tropical Moist Lowland Forest"
LAURACEAE,"Ocotea schwackeana","1.9 Subtropical/Tropical Moist Montane Forest"
LAURACEAE,"Mezilaurus navalium","1.6 Subtropical/Tropical Moist Lowland Forest"
LAURACEAE,"Mezilaurus navalium","1.9 Subtropical/Tropical Moist Montane Forest"
LAURACEAE,"Ocotea sulcata","1.9 Subtropical/Tropical Moist Montane Forest"
PIPERACEAE,"Piper morisonianum","1 Forest"
BROMELIACEAE,"Nidularium fradense","1.8 Subtropical/Tropical Swamp Forest"
ASTERACEAE,"Austrocritonia rosea","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
BROMELIACEAE,"Nidularium fulgens","1.8 Subtropical/Tropical Swamp Forest"
ASTERACEAE,"Austroeupatorium petrophilum","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Baccharis alpestris","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Baccharis bifrons","1.5 Subtropical/Tropical Dry Forest"
PIPERACEAE,"Piper halesiifolium","1.9 Subtropical/Tropical Moist Montane Forest"
DRYOPTERIDACEAE,"Elaphoglossum hirtipes","1 Forest"
BROMELIACEAE,"Nidularium itatiaiae","1.9 Subtropical/Tropical Moist Montane Forest"
PIPERACEAE,"Piper giordanoi","1.6 Subtropical/Tropical Moist Lowland Forest"
ORCHIDACEAE,"Epidendrum goebelii","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Baccharis ciliata","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Baccharis friburgensis","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Baccharis friburgensis","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Epidendrum harrisoniae","1 Forest"
ASTERACEAE,"Baccharis pseudovaccinioides","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
PIPERACEAE,"Piper emygdioi","1.6 Subtropical/Tropical Moist Lowland Forest"
ASTERACEAE,"Bartlettina hemisphaerica","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Nidularium mangaratibense","1 Forest"
ASTERACEAE,"Calea wedelioides","1 Forest"
ASTERACEAE,"Critoniopsis magdalenae","1.5 Subtropical/Tropical Dry Forest"
ASTERACEAE,"Dasyphyllum cryptocephalum","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Dasyphyllum leptacanthum","1.5 Subtropical/Tropical Dry Forest"
ASTERACEAE,"Gamochaeta grazielae","1.5 Subtropical/Tropical Dry Forest"
ASTERACEAE,"Graphistylis cuneifolia","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Lepidaploa araujoa","1.5 Subtropical/Tropical Dry Forest"
PIPERACEAE,"Piper crebrinodum","1 Forest"
PIPERACEAE,"Peperomia riedeliana","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Lepidaploa coulonioides","1.5 Subtropical/Tropical Dry Forest"
PIPERACEAE,"Peperomia pubipeduncula","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Lepidaploa obtusifolia","1.5 Subtropical/Tropical Dry Forest"
BROMELIACEAE,"Nidularium organense","1 Forest"
BROMELIACEAE,"Nidularium rosulatum","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Nidularium rosulatum","3.5 Subtropical/Tropical Dry Shrubland"
ASTERACEAE,"Lessingianthus glaziovianus","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ORCHIDACEAE,"Eurystyles lobata","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Huberia minor","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Anthurium harrisii","1.5 Subtropical/Tropical Dry Forest"
BROMELIACEAE,"Nidularium utriculosum","4.5 Subtropical/Tropical Dry Lowland Grassland"
BROMELIACEAE,"Nidularium utriculosum","1.8 Subtropical/Tropical Swamp Forest"
ORCHIDACEAE,"Eurystyles rutkowskiana","1 Forest"
PRIMULACEAE,"Stylogyne sordida","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Gomesa messmeriana","1 Forest"
COMMELINACEAE,"Dichorisandra picta","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Ophryosporus organensis","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ARACEAE,"Anthurium lucidum","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Nidularium viridipetalum","1 Forest"
ORCHIDACEAE,"Habenaria gnoma","4 Grassland"
ASTERACEAE,"Senecio arctiifolius","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
MONIMIACEAE,"Mollinedia longicuspidata","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Senecio malacophyllus","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
PRIMULACEAE,"Stylogyne leptantha","1.9 Subtropical/Tropical Moist Montane Forest"
COMMELINACEAE,"Dichorisandra begoniaefolia","1.6 Subtropical/Tropical Moist Lowland Forest"
ORCHIDACEAE,"Hadrolaelia acuensis","1 Forest"
ASTERACEAE,"Senecio ramentaceus","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Stevia dubia","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ORCHIDACEAE,"Hapalorchis cymbirostris","1.9 Subtropical/Tropical Moist Montane Forest"
ASTERACEAE,"Stevia organensis","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Stevia verticillata","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASTERACEAE,"Trichogoniopsis podocarpa","1.5 Subtropical/Tropical Dry Forest"
ASTERACEAE,"Wunderlichia insignis","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
MONIMIACEAE,"Mollinedia corcovadensis","1.6 Subtropical/Tropical Moist Lowland Forest"
MONIMIACEAE,"Mollinedia stenophylla","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Hapalorchis panduratus","1.9 Subtropical/Tropical Moist Montane Forest"
MONIMIACEAE,"Mollinedia acutissima","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Anthurium lhotzkyanum","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Anthurium luschnathianum","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Anthurium luschnathianum","1.5 Subtropical/Tropical Dry Forest"
ARACEAE,"Asterostigma concinnum","1.5 Subtropical/Tropical Dry Forest"
ARACEAE,"Philodendron fragile","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Philodendron millerianum","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Philodendron nadruzianum","1.9 Subtropical/Tropical Moist Montane Forest"
ARACEAE,"Wolffiella neotropica","1.5 Subtropical/Tropical Dry Forest"
ORCHIDACEAE,"Hoffmannseggella alvaroana","1 Forest"
ORCHIDACEAE,"Lankesterella parvula","1 Forest"
ORCHIDACEAE,"Lankesterella pilosa","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Quesnelia edmundoi","1 Forest"
TRIURIDACEAE,"Peltophyllum caudatum","1.6 Subtropical/Tropical Moist Lowland Forest"
TRIURIDACEAE,"Triuris alata","1.6 Subtropical/Tropical Moist Lowland Forest"
MELASTOMATACEAE,"Huberia parvifolia","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Quesnelia lateralis","1 Forest"
BROMELIACEAE,"Quesnelia seideliana","1 Forest"
BROMELIACEAE,"Canistropsis elata","1.8 Subtropical/Tropical Swamp Forest"
BROMELIACEAE,"Canistropsis marceloi","1 Forest"
BROMELIACEAE,"Canistropsis pulcherrima","1 Forest"
BROMELIACEAE,"Billbergia amandae","1 Forest"
ORCHIDACEAE,"Lankesterella spannageliana","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Tillandsia brachyphylla","1 Forest"
BROMELIACEAE,"Tillandsia brachyphylla","4.7 Subtropical/Tropical High Altitude Grassland"
MONIMIACEAE,"Mollinedia marliae","1.9 Subtropical/Tropical Moist Montane Forest"
