family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
BEGONIACEAE,"Begonia collaris",Brade,,,,,
BEGONIACEAE,"Begonia concinna",Schott,,,,,
BEGONIACEAE,"Begonia cordata",Vell.,,,,,
BEGONIACEAE,"Begonia declinata",Vell.,,,,,
BEGONIACEAE,"Begonia densifolia",Irmsch.,,,,,
BEGONIACEAE,"Begonia dentatiloba",A.DC.,,,,,
BEGONIACEAE,"Begonia depauperata",Schott,,,,,
BEGONIACEAE,"Begonia edmundoi",Brade,,,,,
BEGONIACEAE,"Begonia epipsila",Brade,,,,,
BEGONIACEAE,"Begonia erecta",Vell.,,,,,
BEGONIACEAE,"Begonia fabulosa","L.B.Sm. & Wassh.",,,,,
BEGONIACEAE,"Begonia fagifolia","Otto & A.Dietr.",,,,,
BEGONIACEAE,"Begonia fluminensis",Brade,,,,,
BEGONIACEAE,"Begonia forgetiana",Hemsl.,,,,,
BEGONIACEAE,"Begonia friburgensis",Brade,,,,,
BEGONIACEAE,"Begonia herteri",Irmsch.,,,,,
BEGONIACEAE,"Begonia jocelinoi",Brade,,,,,
BEGONIACEAE,"Begonia lanstyakii",Brade,,,,,
BEGONIACEAE,"Begonia lubbersii",E.Morren,,,,,
BEGONIACEAE,"Begonia lunaris",E.L.Jacques,,,,,
BEGONIACEAE,"Begonia magdalenensis",Brade,,,,,
BEGONIACEAE,"Begonia occhionii",Brade,,,,,
BEGONIACEAE,"Begonia olsoniae","L.B.Sm. & B.G.Schub.",,,,,
BEGONIACEAE,"Begonia parvifolia",Schott,,,,,
BEGONIACEAE,"Begonia princeps",A.DC.,,,,,
BEGONIACEAE,"Begonia pseudolubbersii",Brade,,,,,
BEGONIACEAE,"Begonia ramentacea",Paxton,,,,,
BEGONIACEAE,"Begonia rotunda",Vell.,,,,,
BEGONIACEAE,"Begonia rubropilosa",A.DC.,,,,,
BEGONIACEAE,"Begonia sanguinea",Raddi,,,,,
BEGONIACEAE,"Begonia semidigitata",Brade,,,,,
BEGONIACEAE,"Begonia valida",Goebel,,,,,
BEGONIACEAE,"Begonia velloziana",Walp.,,,,,
BIGNONIACEAE,"Adenocalymma bullatum","Bureau & K.Schum.",open,,,,
BIGNONIACEAE,"Bignonia costata","(Bureau & K.Schum.) L.G.Lohmann",open,,,,
BIGNONIACEAE,"Fridericia elegans","(Vell.) L.G.Lohmann",open,,,,
BIGNONIACEAE,"Jacaranda crassifolia",Morawetz,open,,,,
BORAGINACEAE,"Varronia leucomalla","(Taub.) Borhidi",validation,,,,
BROMELIACEAE,"Aechmea caesia","E.Morren ex Baker",validation,,,,
BROMELIACEAE,"Aechmea cariocae",L.B.Sm.,validation,,,,
BROMELIACEAE,"Aechmea dealbata","E.Morren ex Baker",validation,,,,
BROMELIACEAE,"Aechmea fasciata","(Lindl.) Baker",validation,,,,
BROMELIACEAE,"Aechmea flavorosea",E.Pereira,validation,,,,
BROMELIACEAE,"Aechmea grazielae","Martinelli & Leme",validation,,,,
BROMELIACEAE,"Aechmea paratiensis","Leme & Fraga",validation,,,,
BROMELIACEAE,"Aechmea prava",E.Pereira,validation,,,,
BROMELIACEAE,"Aechmea squarrosa",Baker,validation,,,,
BROMELIACEAE,"Alcantarea farneyi","(Martinelli & A.F.Costa) J.R.Grant",validation,,,,
BROMELIACEAE,"Alcantarea geniculata","(Wawra) J.R.Grant",validation,,,,
BROMELIACEAE,"Alcantarea glaziouana","(Leme) J.R.Grant",validation,,,,
BROMELIACEAE,"Alcantarea heloisae",J.R.Grant,validation,,,,
BROMELIACEAE,"Alcantarea martinellii","Versieux & Wand.",validation,,,,
BROMELIACEAE,"Alcantarea nevaresii","(Leme) J.R.Grant",validation,,,,
BROMELIACEAE,"Alcantarea tortuosa","Versieux & Wand.",validation,,,,
BROMELIACEAE,"Billbergia amandae",W.Weber,validation,,,,
BROMELIACEAE,"Billbergia brasiliensis",L.B.Sm.,validation,,,,
BROMELIACEAE,"Billbergia macracantha",E.Pereira,validation,,,,
BROMELIACEAE,"Canistropsis correia-araujoi","(E.Pereira & Leme) Leme",validation,,,,
BROMELIACEAE,"Canistropsis elata","(E.Pereira & Leme) Leme",validation,,,,
BROMELIACEAE,"Canistropsis marceloi","(E.Pereira & Moutinho) Leme",validation,,,,
BROMELIACEAE,"Canistropsis pulcherrima","(E.Pereira & Leme) Leme",validation,,,,
BROMELIACEAE,"Cryptanthus bromelioides","Otto & A.Dietr.",validation,,,,
BROMELIACEAE,"Cryptanthus delicatus",Leme,validation,,,,
BROMELIACEAE,"Cryptanthus sinuosus",L.B.Sm.,validation,,,,
BROMELIACEAE,"Dyckia martinellii","B.R. Silva & Forzza",validation,,,,
