"family","scientificName","action","situation"
BROMELIACEAE,Aechmea eurycorymbus,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea eurycorymbus,6 Other,needed,
BROMELIACEAE,Aechmea eurycorymbus,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea eurycorymbus,4.3 Corridors,on going,
BROMELIACEAE,Aechmea fosteriana,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea fosteriana,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea gamosepala,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea gamosepala,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea gamosepala,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea gracilis,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea gracilis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea gracilis,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea guarapariensis,4.3 Corridors,on going,
BROMELIACEAE,Aechmea guarapariensis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea gustavoi,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea gustavoi,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea gustavoi,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea kertesziae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea kertesziae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea kleinii,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea kleinii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea kleinii,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea lingulata,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea maasii,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea maasii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea maasii,3.8 Conservation measures,on going,
BROMELIACEAE,Aechmea macrochlamys,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea macrochlamys,3.8 Conservation measures,on going,
BROMELIACEAE,Aechmea macrochlamys,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea marginalis,3.3 Biology and Ecology,needed,
BROMELIACEAE,Aechmea marginalis,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea marginalis,5.7 Ex situ conservation actions,needed,
BROMELIACEAE,Aechmea marginalis,3.1 Taxonomy,needed,
BROMELIACEAE,Aechmea muricata,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea muricata,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea mutica,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea mutica,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea mutica,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea nudicaulis,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea nudicaulis,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea nudicaulis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea orlandiana,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea orlandiana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea orlandiana,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea pectinata,4.4 Protected areas,,
BROMELIACEAE,Aechmea pectinata,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea pedicellata,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea pimenti-velosoi,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea pimenti-velosoi,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea podantha,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea recurvata var. albobracteata,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea recurvata var. ortgiesii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea rubrolilacina,4.3 Corridors,on going,
BROMELIACEAE,Aechmea rubrolilacina,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea setigera,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea setigera,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea sphaerocephala,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea sphaerocephala,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea triangularis,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea triangularis,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea triangularis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea vanhoutteana,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea vanhoutteana,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea vanhoutteana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea werdermannii,4.4 Protected areas,on going,
BROMELIACEAE,Aechmea werdermannii,1.2.1.2 National level,on going,
BROMELIACEAE,Aechmea werdermannii,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Aechmea winkleri,3 Research actions,,
BROMELIACEAE,Aechmea winkleri,5.7 Ex situ conservation actions,,
BROMELIACEAE,Aechmea winkleri,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Aechmea winkleri,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea benzingii,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea benzingii,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea benzingii,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea benzingii,3.1 Taxonomy,on going,
BROMELIACEAE,Alcantarea benzingii,3.2 Population numbers and range,on going,
BROMELIACEAE,Alcantarea benzingii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Alcantarea duarteana,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea duarteana,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea duarteana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Alcantarea farneyi,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea farneyi,3.1 Taxonomy,needed,
BROMELIACEAE,Alcantarea farneyi,4.3 Corridors,on going,
BROMELIACEAE,Alcantarea farneyi,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea farneyi,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea farneyi,3.2 Population numbers and range,needed,
BROMELIACEAE,Alcantarea geniculata,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea geniculata,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea glaziouana,4.4.2 Establishment,needed,
BROMELIACEAE,Alcantarea glaziouana,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea glaziouana,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea glaziouana,3.9 Trends/Monitoring,needed,
BROMELIACEAE,Alcantarea imperialis,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea imperialis,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea imperialis,3 Research actions,needed,
BROMELIACEAE,Alcantarea imperialis,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Alcantarea imperialis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Alcantarea nahoumii,4.4 Protected areas,needed,
BROMELIACEAE,Alcantarea nahoumii,4.4.2 Establishment,on going,
BROMELIACEAE,Alcantarea nahoumii,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea nahoumii,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea nevaresii,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea nevaresii,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea nevaresii,3.8 Conservation measures,on going,
BROMELIACEAE,Alcantarea nevaresii,4.1 Maintenance/Conservation,needed,
BROMELIACEAE,Alcantarea roberto-kautskyi,1.2.1.2 National level,on going,
BROMELIACEAE,Alcantarea vinicolor,4.4 Protected areas,on going,
BROMELIACEAE,Alcantarea vinicolor,3.8 Conservation measures,on going,
BROMELIACEAE,Ananas fritzmuelleri,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Ananas fritzmuelleri,4.3 Corridors,on going,
BROMELIACEAE,Ananas fritzmuelleri,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Eduandrea selloana,1.2.1.2 National level,on going,
BROMELIACEAE,Eduandrea selloana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Araeococcus montanus,1.2.1.2 National level,on going,
BROMELIACEAE,Araeococcus montanus,4.3 Corridors,on going,
BROMELIACEAE,Araeococcus montanus,3.8 Conservation measures,on going,
BROMELIACEAE,Araeococcus parviflorus,1.2.1.2 National level,on going,
BROMELIACEAE,Araeococcus parviflorus,4.4 Protected areas,on going,
BROMELIACEAE,Araeococcus parviflorus,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Billbergia alfonsijoannis,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia brasiliensis,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia distachia,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia magnifica,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia magnifica,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Billbergia meyeri,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Billbergia minarum,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia nutans,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia pyramidalis,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia zebrina,4.4 Protected areas,on going,
BROMELIACEAE,Billbergia zebrina,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Bromelia balansae,4.4 Protected areas,on going,
BROMELIACEAE,Bromelia balansae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Bromelia braunii,1.2.1.2 National level,,
BROMELIACEAE,Canistropsis albiflora,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Canistropsis albiflora,4.4 Protected areas,on going,
BROMELIACEAE,Canistropsis elata,1.2.1.2 National level,on going,
BROMELIACEAE,Canistropsis elata,4.4 Protected areas,needed,
BROMELIACEAE,Canistropsis elata,5.7.1 Captive breeding/Artificial propagation,on going,
BROMELIACEAE,Canistropsis microps,4.4.3 Management,on going,
BROMELIACEAE,Canistrum alagoanum,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum aurantiacum,4.4 Protected areas,on going,
BROMELIACEAE,Canistrum aurantiacum,4.3 Corridors,on going,
BROMELIACEAE,Canistrum aurantiacum,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum aurantiacum,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Canistrum camacaense,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum camacaense,4.4 Protected areas,on going,
BROMELIACEAE,Canistrum fosterianum,4.3 Corridors,on going,
BROMELIACEAE,Canistrum fosterianum,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum fosterianum,3.8 Conservation measures,needed,
BROMELIACEAE,Canistrum guzmanioides,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum guzmanioides,4.4 Protected areas,on going,
BROMELIACEAE,Canistrum guzmanioides,4.3 Corridors,on going,
BROMELIACEAE,Canistrum montanum,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum montanum,4.4 Protected areas,on going,
BROMELIACEAE,Canistrum pickelii,4.4 Protected areas,on going,
BROMELIACEAE,Canistrum pickelii,4.3 Corridors,on going,
BROMELIACEAE,Canistrum pickelii,1.2.1.2 National level,on going,
BROMELIACEAE,Canistrum triangulare,4.4 Protected areas,on going,
BROMELIACEAE,Canistrum triangulare,5.7.1 Captive breeding/Artificial propagation,on going,
BROMELIACEAE,Canistrum triangulare,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus beuckeri,4.4 Protected areas,on going,
BROMELIACEAE,Cryptanthus beuckeri,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus burle-marxii,5.7.1 Captive breeding/Artificial propagation,on going,
BROMELIACEAE,Cryptanthus burle-marxii,4.4 Protected areas,on going,
BROMELIACEAE,Cryptanthus burle-marxii,1.2.1.2 National level,on going,
BROMELIACEAE,Cryptanthus burle-marxii,4.3 Corridors,,
BROMELIACEAE,Cryptanthus capitatus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus capitatus,4.4 Protected areas,needed,
BROMELIACEAE,Cryptanthus caracensis,1.2.1.2 National level,on going,
BROMELIACEAE,Cryptanthus caracensis,4.4 Protected areas,on going,
BROMELIACEAE,Cryptanthus caulescens,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus caulescens,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus coriaceus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus coriaceus,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus coriaceus,4.4 Protected areas,needed,
BROMELIACEAE,Cryptanthus correia-araujoi,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus dorothyae,4.4 Protected areas,needed,
BROMELIACEAE,Cryptanthus dorothyae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus dorothyae,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus duartei,3.8 Conservation measures,on going,
BROMELIACEAE,Cryptanthus duartei,1.2.2.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus duartei,1.2.1.2 National level,on going,
BROMELIACEAE,Cryptanthus exaltatus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus exaltatus,4.3 Corridors,needed,
BROMELIACEAE,Cryptanthus fernseeoides,4.4 Protected areas,on going,
BROMELIACEAE,Cryptanthus fernseeoides,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus fosterianus,1.2.1.2 National level,on going,
BROMELIACEAE,Cryptanthus fosterianus,4.3 Corridors,needed,
BROMELIACEAE,Cryptanthus glazioui,1.2.1.2 National level,on going,
BROMELIACEAE,Cryptanthus glazioui,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus glazioui,3 Research actions,on going,
BROMELIACEAE,Cryptanthus glazioui,4.4 Protected areas,on going,
BROMELIACEAE,Cryptanthus grazielae,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus grazielae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus latifolius,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus latifolius,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus leuzingerae,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus leuzingerae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus lutherianus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus lutherianus,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus maritimus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus maritimus,4.4 Protected areas,on going,
BROMELIACEAE,Cryptanthus maritimus,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus odoratissimus,1.2.1.3 Sub-national level,,
BROMELIACEAE,Cryptanthus odoratissimus,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus pseudoglazioui,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus pseudoscaposus,1.2.1.2 National level,on going,
BROMELIACEAE,Cryptanthus pseudoscaposus,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus roberto-kautskyi,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus roberto-kautskyi,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus scaposus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus whitmanii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Cryptanthus whitmanii,4.3 Corridors,on going,
BROMELIACEAE,Cryptanthus zonatus,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Cryptanthus zonatus,4.4 Protected areas,needed,
BROMELIACEAE,Cryptanthus zonatus,1.2.1.2 National level,on going,
BROMELIACEAE,Deuterocohnia meziana,1.2.1.2 National level,,
BROMELIACEAE,Disteganthus calatheoides,1.2.2.2 National level,on going,
BROMELIACEAE,Dyckia agudensis,1.2.1.3 Sub-national level,,
BROMELIACEAE,Dyckia agudensis,1.1.2 Implementation,needed,
BROMELIACEAE,Dyckia alba,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia alba,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia alba,3 Research actions,on going,
BROMELIACEAE,Dyckia brevifolia,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia brevifolia,1.1.2 Implementation,needed,
BROMELIACEAE,Dyckia brevifolia,1.2 Legislation,needed,
BROMELIACEAE,Dyckia brevifolia,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia cabrerae,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia cabrerae,3 Research actions,needed,
BROMELIACEAE,Dyckia cabrerae,3.8 Conservation measures,needed,
BROMELIACEAE,Dyckia cabrerae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia choristaminea,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia choristaminea,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia commixta,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia delicata,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia delicata,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia delicata,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia distachya,5.4 Recovery management,on going,
BROMELIACEAE,Dyckia distachya,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia distachya,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia distachya,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia distachya,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia domfelicianensis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia dusenii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia dusenii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia elisabethae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia encholirioides,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia encholirioides,4.4 Protected areas,on going,
BROMELIACEAE,Dyckia encholirioides,4.3 Corridors,on going,
BROMELIACEAE,Dyckia fosteriana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia hatschbachii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia hatschbachii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia hatschbachii,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia hatschbachii,4.3 Corridors,on going,
BROMELIACEAE,Dyckia hebdingii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia ibicuiensis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia ibicuiensis,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia ibiramensis,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia ibiramensis,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia ibiramensis,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia ibiramensis,1.1.2 Implementation,on going,
BROMELIACEAE,Dyckia ibiramensis,3.8 Conservation measures,on going,
BROMELIACEAE,Dyckia ibiramensis,4.1 Maintenance/Conservation,on going,
BROMELIACEAE,Dyckia irmgardiae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia irmgardiae,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia irmgardiae,6 Other,needed,
BROMELIACEAE,Dyckia julianae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia maritima,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia maritima,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia maritima,4.4 Protected areas,on going,
BROMELIACEAE,Dyckia maritima,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia minarum,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia minarum,4.3 Corridors,on going,
BROMELIACEAE,Dyckia monticola,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia polycladus,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia pseudococcinea,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia rariflora,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia rariflora,3 Research actions,needed,
BROMELIACEAE,Dyckia reitzii,4.3 Corridors,on going,
BROMELIACEAE,Dyckia reitzii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia remotiflora,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia remotiflora,4.3 Corridors,on going,
BROMELIACEAE,Dyckia remotiflora,4.4 Protected areas,on going,
BROMELIACEAE,Dyckia retroflexa,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia retroflexa,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia rigida,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia tuberosa,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia tuberosa,1.1 Management plans,on going,
BROMELIACEAE,Dyckia tuberosa,4.4 Protected areas,on going,
BROMELIACEAE,Dyckia tuberosa,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia ursina,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Dyckia ursina,1.2.1.2 National level,on going,
BROMELIACEAE,Dyckia ursina,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Dyckia ursina,6 Other,on going,
BROMELIACEAE,Edmundoa lindenii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Edmundoa lindenii,4.3 Corridors,on going,
BROMELIACEAE,Encholirium biflorum,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Encholirium biflorum,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium biflorum,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium biflorum,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Encholirium disjunctum,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium disjunctum,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium gracile,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium gracile,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Encholirium gracile,5.7 Ex situ conservation actions,needed,
BROMELIACEAE,Encholirium gracile,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium heloisae,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium heloisae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Encholirium heloisae,5.7 Ex situ conservation actions,needed,
BROMELIACEAE,Encholirium heloisae,4.4 Protected areas,on going,
BROMELIACEAE,Encholirium heloisae,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium horridum,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Encholirium horridum,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium horridum,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Encholirium horridum,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium irwinii,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium irwinii,4.4 Protected areas,on going,
BROMELIACEAE,Encholirium irwinii,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium longiflorum,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium longiflorum,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium luxor,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium luxor,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Encholirium pedicellatum,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Encholirium pedicellatum,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium pedicellatum,3.8 Conservation measures,on going,
BROMELIACEAE,Encholirium scrutor,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Encholirium scrutor,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium scrutor,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Encholirium vogelii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Encholirium vogelii,1.2.1.2 National level,on going,
BROMELIACEAE,Encholirium vogelii,4.4 Protected areas,on going,
BROMELIACEAE,Fernseea bocainensis,4.4 Protected areas,on going,
BROMELIACEAE,Fernseea itatiaiae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Fernseea itatiaiae,1.2.1.2 National level,on going,
BROMELIACEAE,Fernseea itatiaiae,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Guzmania monostachia,1.2.1.2 National level,on going,
BROMELIACEAE,Guzmania sanguinea,1.2.1.2 National level,on going,
BROMELIACEAE,Hohenbergia augusta,4.4 Protected areas,on going,
BROMELIACEAE,Hohenbergia augusta,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Hohenbergia belemii,1.2.1.2 National level,on going,
BROMELIACEAE,Hohenbergia castellanosii,1.2.1.2 National level,on going,
BROMELIACEAE,Hohenbergia correia-araujoi,1.2.1.2 National level,on going,
BROMELIACEAE,Hohenbergia correia-araujoi,5.7 Ex situ conservation actions,needed,
BROMELIACEAE,Hohenbergia littoralis,1.2.1.2 National level,on going,
BROMELIACEAE,Hohenbergia littoralis,4.4 Protected areas,on going,
BROMELIACEAE,Lymania alvimii,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Lymania alvimii,1.2.1.2 National level,on going,
BROMELIACEAE,Lymania azurea,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Lymania azurea,1.2.1.2 National level,on going,
BROMELIACEAE,Lymania azurea,4.4 Protected areas,,
BROMELIACEAE,Lymania brachycaulis,1.2.1.2 National level,on going,
BROMELIACEAE,Lymania corallina,1.2.1.2 National level,on going,
BROMELIACEAE,Lymania corallina,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Lymania globosa,1.2.1.2 National level,on going,
BROMELIACEAE,Lymania globosa,5.7 Ex situ conservation actions,on going,
BROMELIACEAE,Lymania spiculata,1.2.1.2 National level,on going,
BROMELIACEAE,Neoregelia angustibracteolata,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia bahiana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia bahiana,4.4.3 Management,on going,
BROMELIACEAE,Neoregelia binotii,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia binotii,1.2.1.2 National level,on going,
BROMELIACEAE,Neoregelia binotii,1.2.1.2 National level,on going,
BROMELIACEAE,Neoregelia brownii,4.4 Protected areas,on going,
BROMELIACEAE,Neoregelia brownii,5.7.1 Captive breeding/Artificial propagation,on going,
BROMELIACEAE,Neoregelia burle-marxii,1.2.1.2 National level,on going,
BROMELIACEAE,Neoregelia capixaba,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia compacta,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia compacta,1.2.1.2 National level,on going,
BROMELIACEAE,Neoregelia cruenta,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia cruenta,1.2.1.2 National level,on going,
BROMELIACEAE,Neoregelia cruenta,4.4.1 Identification of new protected areas,needed,
BROMELIACEAE,Neoregelia cruenta,4.4.3 Management,on going,
BROMELIACEAE,Neoregelia cruenta,3 Research actions,on going,
BROMELIACEAE,Neoregelia doeringiana,1.2.1.3 Sub-national level,on going,
BROMELIACEAE,Neoregelia guttata,1.2.2.3 Sub-national level,on going,
