occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
1267321,BROMELIACEAE,"Orthophytum humile L.B.Sm.",-16.672491,-42.974225,,ok,,,,,"Orthophytum humile L.B.Sm.",false,valid,no,yes,native,valid,"Rafael Batista Louzada ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1331341"
1267880,BROMELIACEAE,"Encholirium irwinii L.B.Sm.",-16.672491,-42.974225,,ok,,,,,"Encholirium irwinii L.B.Sm.",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Daniel Maurenza ; Juliana Amaral de Oliveira ; Fernanda ; ","Duplicata de ID 1331334 "
1272652,FABACEAE,"Chamaecrista ulmea H.S.Irwin & Barneby",-18.055177,-43.65238,,ok,,,,,"Chamaecrista ulmea H.S.Irwin & Barneby",false,unknown,unknown,unknown,unknown,unknown,"Juliana Rando ; Daniel Maurenza ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1350572"
1272674,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-16.555556,-42.895278,,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",false,unknown,no,unknown,native,invalid,"Fernanda Wimmer ; Juliana Rando ; Ricardo Avancini ; Thiago Serrano ; ",
1274071,LYTHRACEAE,"Cuphea teleandra Lourteig",-16.672491,-42.974225,,ok,"Fernanda Wimmer",,,,"Cuphea teleandra Lourteig",false,unknown,unknown,yes,unknown,unknown,"Daniel Maurenza ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Duplicata de ID ""1342269"""
1276640,FABACEAE,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",-16.674829,-42.9711,coletor,ok,,,,,"Chamaecrista aristata (Benth.) H.S.Irwin & Barneby",,,,,,,"Fernanda Wimmer ; Ricardo Avancini ; Thiago Serrano ; ",
1280681,VELLOZIACEAE,"Barbacenia riparia",-16.672491,-42.974225,,ok,,,,,"Barbacenia riparia",false,unknown,unknown,yes,unknown,unknown,"Fernanda Wimmer ; Daniel Maurenza ; Fernanda ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1578066"
1331334,BROMELIACEAE,"Encholirium irwinii L.B.Sm.",-16.672491,-42.974225,,ok,"Fernanda Wimmer",,,,"Encholirium irwinii L.B.Sm.",true,,,,,,"Fernanda Wimmer ; Juliana Amaral de Oliveira ; Fernanda ; ",
1331341,BROMELIACEAE,"Orthophytum humile L.B.Sm.",-16.672491,-42.974225,,ok,,,,,"Orthophytum humile L.B.Sm.",true,valid,no,no,native,valid,"Rafael Batista Louzada ; ",
1335176,APOCYNACEAE,"Ditassa auriflora Rapini",-16.924396,-43.343051,,ok,"Fernanda Wimmer",,,,"Ditassa auriflora Rapini",false,valid,no,yes,native,valid,"Daniel Maurenza ; Alessandro Rapini ; Fernanda Wimmer ; Juliana Amaral de Oliveira ; ","Duplicata de ID 1114397"
