"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
FABACEAE;Chamaecrista itabiritoana;unkown;1750;4,45km²;12,0km²;4;0;3;7;
FABACEAE;Chamaecrista ixodes;yes;860;533,26km²;8,0km²;1;0;2;3;
FABACEAE;Chamaecrista lavradioides;yes;1000~1200;1.264,6km²;12,0km²;0;0;5;5;
FABACEAE;Chamaecrista leucopilis;yes;1000;521,59km²;8,0km²;0;0;5;5;
FABACEAE;Chamaecrista macedoi;yes;;30,91km²;12,0km²;0;0;4;4;
FABACEAE;Chamaecrista ochrosperma;yes;700~1000;6.221,81km²;16,0km²;0;0;7;7;
FABACEAE;Chamaecrista pachyclada;yes;;523,54km²;8,0km²;0;0;7;7;
FABACEAE;Chamaecrista phyllostachya;yes;900;497,31km²;16,0km²;0;0;6;6;
FABACEAE;Chamaecrista pilicarpa;yes;;425,91km²;8,0km²;0;0;6;6;
FABACEAE;Chamaecrista polymorpha;unkown;;260,96km²;4,0km²;0;0;6;6;
FABACEAE;Chamaecrista psoraleopsis;yes;1000;1.268,12km²;12,0km²;0;0;4;4;
FABACEAE;Chamaecrista simplifacta;yes;986;182,57km²;12,0km²;0;0;7;7;
FABACEAE;Chamaecrista vauthieri;yes;900~1370;535,91km²;8,0km²;0;2;6;8;
FABACEAE;Chamaecrista virginis;yes;;264,17km²;4,0km²;0;0;1;1;
ASTERACEAE;Chrysolaena dusenii;yes;;4.812,68km²;24,0km²;0;0;10;10;
CACTACEAE;Cipocereus pleurocarpus;yes;;474,74km²;8,0km²;2;0;0;2;
POLYGONACEAE;Coccoloba cereifera;yes;;866,17km²;36,0km²;33;32;0;65;
ERIOCAULACEAE;Comanthera cipoensis;yes;680~1400;6.228,57km²;80,0km²;0;0;59;59;
ERIOCAULACEAE;Comanthera circinnata;yes;1077~1261;811,85km²;20,0km²;0;0;11;11;
ERIOCAULACEAE;Comanthera curralensis;yes;922~1293;11.894,44km²;108,0km²;0;0;43;43;
ERIOCAULACEAE;Comanthera floccosa;yes;500~753;155,55km²;20,0km²;0;0;9;9;
ERIOCAULACEAE;Comanthera hatschbachii;yes;;11.695,28km²;44,0km²;0;0;17;17;
MELASTOMATACEAE;Comolia edmundoi;yes;790~1200;2.927,2km²;36,0km²;7;4;1;12;
FABACEAE;Crotalaria goiasensis;yes;975~1380;20.911,03km²;32,0km²;0;0;15;15;
FABACEAE;Crotalaria irwinii;yes;500~600;49,01km²;16,0km²;0;1;4;5;
FABACEAE;Crotalaria rufipila;yes;1200~1620;4.445,1km²;52,0km²;0;0;59;59;
EUPHORBIACEAE;Croton arlineae;yes;;271,51km²;4,0km²;0;0;1;1;
CYPERACEAE;Cryptangium humile;yes;;6.486,35km²;36,0km²;0;0;13;13;
CYPERACEAE;Cryptangium polyphyllum;yes;;21.567,82km²;28,0km²;0;0;8;8;
BROMELIACEAE;Cryptanthus leopoldo-horstii;yes;1000;533,71km²;8,0km²;2;3;0;5;
LYTHRACEAE;Cuphea anamariae;unkown;;266,02km²;4,0km²;1;0;0;1;
LYTHRACEAE;Cuphea cunninghamiifolia;yes;700~830;7.186,9km²;16,0km²;5;0;0;5;
LYTHRACEAE;Cuphea disperma;yes;;26.839,94km²;120,0km²;67;2;5;74;
LYTHRACEAE;Cuphea fuchsiifolia;yes;600~1100;31.693,17km²;24,0km²;8;0;2;10;
LYTHRACEAE;Cuphea glareosa;yes;11~1200;114.369,36km²;200,0km²;46;0;2;48;
LYTHRACEAE;Cuphea lucens;yes;;267,48km²;4,0km²;1;0;0;1;
LYTHRACEAE;Cuphea potamophila;yes;;290,43km²;8,0km²;3;0;1;4;
LYTHRACEAE;Cuphea sclerophylla;yes;850~1350;97.343,26km²;52,0km²;24;0;4;28;
LYTHRACEAE;Cuphea sincorana;yes;;260,5km²;4,0km²;1;0;0;1;
LYTHRACEAE;Cuphea warmingii;yes;678;537,68km²;8,0km²;2;0;1;3;
LYTHRACEAE;Cuphea xanthopetala;yes;;520,01km²;8,0km²;2;0;0;2;
CYPERACEAE;Cyperus almensis;yes;;192,2km²;12,0km²;0;0;10;10;
ASTERACEAE;Dasyphyllum reticulatum;yes;;110.230,27km²;144,0km²;0;0;82;82;
ASTERACEAE;Dasyphyllum retinens;yes;;9.036,88km²;12,0km²;0;0;4;4;
ASTERACEAE;Dasyphyllum trichophyllum;yes;;19.006,05km²;32,0km²;0;0;9;9;
FABACEAE;Desmodium glabrescens;yes;;4.872,25km²;16,0km²;0;0;5;5;
FABACEAE;Desmodium juruenense;yes;580;114.561,19km²;16,0km²;0;0;10;10;
POACEAE;Dichanthelium aequivaginatum;;640~1200;154.008,03km²;68,0km²;0;5;20;25;
POACEAE;Dichanthelium assurgens;yes;850~1100;101.882,37km²;28,0km²;0;4;7;11;
POACEAE;Dichanthelium congestum;yes;980;426,11km²;8,0km²;0;5;2;7;
POACEAE;Dichanthelium sendulskyii;yes;1380;268,29km²;4,0km²;1;0;0;1;
