"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
VELLOZIACEAE;Vellozia crinita;yes;900~1100;145,9km²;16,0km²;0;2;10;12;
VELLOZIACEAE;Vellozia exilis;yes;;180,41km²;20,0km²;0;6;6;12;
VELLOZIACEAE;Vellozia graomogolensis;yes;700;n/a;n/a;0;1;0;1;
VELLOZIACEAE;Vellozia luteola;yes;700;5.528,62km²;28,0km²;0;2;13;15;
VELLOZIACEAE;Vellozia maxillarioides;yes;850~1300;4.801,27km²;44,0km²;0;9;18;27;
VELLOZIACEAE;Vellozia prolifera;yes;850~1000;1,76km²;8,0km²;0;6;9;15;
VELLOZIACEAE;Vellozia sellowii;yes;1640;425,32km²;20,0km²;0;6;17;23;
VELLOZIACEAE;Vellozia spiralis;yes;900;1.252,87km²;12,0km²;0;3;7;10;
VELLOZIACEAE;Vellozia tillandsioides;yes;650;33,68km²;12,0km²;0;0;3;3;
VELLOZIACEAE;Vellozia torquata;yes;;266,46km²;4,0km²;0;4;1;5;
ASTERACEAE;Vernonanthura almedae;no;975~1050;43,31km²;20,0km²;0;0;8;8;
ASTERACEAE;Vernonanthura lindbergii;yes;;183.636,7km²;80,0km²;0;0;27;27;
VOCHYSIACEAE;Vochysia petraea;yes;;70,69km²;12,0km²;5;0;0;5;
VOCHYSIACEAE;Vochysia pygmaea;yes;;923,95km²;44,0km²;12;1;2;15;
VOCHYSIACEAE;Vochysia rotundifolia;yes;;2.383,69km²;36,0km²;18;1;0;19;
BROMELIACEAE;Vriesea densiflora;yes;;6.393,2km²;16,0km²;1;2;3;6;
ASTERACEAE;Wedelia souzae;yes;700~1253;2.908,33km²;44,0km²;0;0;26;26;
XYRIDACEAE;Xyris archeri;yes;;64,9km²;16,0km²;0;0;8;8;
XYRIDACEAE;Xyris diaphanobracteata;yes;1400~1600;139,71km²;20,0km²;0;1;8;9;
XYRIDACEAE;Xyris goyazensis;yes;;6.619,86km²;36,0km²;0;5;13;18;
XYRIDACEAE;Xyris itambensis;yes;1550;194,03km²;16,0km²;0;0;5;5;
XYRIDACEAE;Xyris jataiana;yes;;n/a;n/a;0;0;0;0;
XYRIDACEAE;Xyris lanuginosa;yes;700~1300;226.902,71km²;44,0km²;0;0;15;15;
XYRIDACEAE;Xyris mertensiana;yes;50~1800;19.132,7km²;84,0km²;0;0;31;31;
XYRIDACEAE;Xyris obcordata;yes;500~800;4.177,21km²;20,0km²;0;0;9;9;
XYRIDACEAE;Xyris paradisiaca;yes;1000~1500;330,15km²;24,0km²;0;0;10;10;
XYRIDACEAE;Xyris picea;yes;1100~1800;1.076,66km²;44,0km²;0;0;11;11;
XYRIDACEAE;Xyris pranceana;yes;;266,88km²;12,0km²;0;0;3;3;
XYRIDACEAE;Xyris rupicola;yes;900~1600;44.648,29km²;56,0km²;0;0;26;26;
XYRIDACEAE;Xyris spectabilis;yes;;38.044,46km²;48,0km²;0;5;16;21;
XYRIDACEAE;Xyris subsetigera;yes;;6.387,96km²;52,0km²;0;0;19;19;
XYRIDACEAE;Xyris veruina;yes;1200~1800;18.750,0km²;28,0km²;0;0;11;11;
XYRIDACEAE;Xyris vestita;yes;1000~1800;41.567,28km²;88,0km²;0;0;28;28;
XYRIDACEAE;Xyris villosicarinata;yes;1500;299,77km²;8,0km²;0;3;3;6;
FABACEAE;Zornia glaziovii;yes;;460,98km²;8,0km²;0;0;6;6;
FABACEAE;Zornia subsessilis;yes;;74,07km²;16,0km²;0;6;5;11;
