"Familia";"Especie";"Bioma"
AMARANTHACEAE;Gomphrena hillii;Cerrado
AMARANTHACEAE;Gomphrena marginata;Cerrado
POACEAE;Guadua magna;Cerrado
CHRYSOBALANACEAE;Hirtella juruensis;Amazônia
CHRYSOBALANACEAE;Hirtella juruensis;Cerrado
LAMIACEAE;Hypenia paradisi;Cerrado
LAMIACEAE;Hyptidendron dictiocalyx;Cerrado
LAMIACEAE;Hyptis argyrophylla;Cerrado
LAMIACEAE;Hyptis cuniloides;Cerrado
LAMIACEAE;Hyptis dictyodea;Cerrado
LAMIACEAE;Hyptis hagei;Cerrado
LAMIACEAE;Hyptis halimifolia;Cerrado
LAMIACEAE;Hyptis humilis;Cerrado
LAMIACEAE;Hyptis irwinii;Cerrado
LAMIACEAE;Hyptis nivea;Cerrado
LAMIACEAE;Hyptis nubicola;Cerrado
LAMIACEAE;Hyptis silvinae;Cerrado
LAMIACEAE;Hyptis tenuifolia;Cerrado
AQUIFOLIACEAE;Ilex mucugensis;Cerrado
BIGNONIACEAE;Jacaranda racemosa;Cerrado
MALPIGHIACEAE;Janusia christianeae;Cerrado
MALPIGHIACEAE;Janusia christianeae;Caatinga
ACANTHACEAE;Justicia clivalis;Cerrado
CALOPHYLLACEAE;Kielmeyera trichophora;Cerrado
CYPERACEAE;Lagenocarpus adamantinus;Cerrado
CUNONIACEAE;Lamanonia brasiliensis;Cerrado
VERBENACEAE;Lantana gracilis;Caatinga
VERBENACEAE;Lantana gracilis;Cerrado
MELASTOMATACEAE;Lavoisiera adamantium;Cerrado
MELASTOMATACEAE;Lavoisiera angustifolia;Cerrado
MELASTOMATACEAE;Lavoisiera bradeana;Cerrado
MELASTOMATACEAE;Lavoisiera caryophyllea;Cerrado
MELASTOMATACEAE;Lavoisiera firmula;Cerrado
MELASTOMATACEAE;Lavoisiera harleyi;Cerrado
MELASTOMATACEAE;Lavoisiera humilis;Cerrado
MELASTOMATACEAE;Lavoisiera macrocarpa;Cerrado
MELASTOMATACEAE;Lavoisiera mucorifera;Cerrado
MELASTOMATACEAE;Lavoisiera punctata;Cerrado
MELASTOMATACEAE;Lavoisiera senaei;Cerrado
MELASTOMATACEAE;Lavoisiera subulata;Cerrado
MELASTOMATACEAE;Lavoisiera tetragona;Cerrado
ERIOCAULACEAE;Leiothrix crassifolia;Cerrado
ERIOCAULACEAE;Leiothrix crassifolia;Mata Atlântica
ERIOCAULACEAE;Leiothrix distichoclada;Cerrado
ERIOCAULACEAE;Leiothrix fulgida var. milho-verdensis;Cerrado
ERIOCAULACEAE;Leiothrix rupestris;Cerrado
ERIOCAULACEAE;Leiothrix sclerophylla;Cerrado
ERIOCAULACEAE;Leiothrix sinuosa;Cerrado
ERIOCAULACEAE;Leiothrix spiralis;Cerrado
ASTERACEAE;Lessingianthus arachniolepis;Cerrado
ASTERACEAE;Lessingianthus argenteus;Cerrado
ASTERACEAE;Lessingianthus heringeri;Cerrado
CHRYSOBALANACEAE;Licania maguirei;Cerrado
VERBENACEAE;Lippia diamantinensis;Cerrado
VERBENACEAE;Lippia duartei;Cerrado
VERBENACEAE;Lippia gardneriana;Cerrado
VERBENACEAE;Lippia grandiflora;Cerrado
VERBENACEAE;Lippia macedoi;Cerrado
VERBENACEAE;Lippia rubella;Cerrado
CAMPANULACEAE;Lobelia brasiliensis;Cerrado
BALANOPHORACEAE;Lophophytum rizzoi;Cerrado
BIGNONIACEAE;Lundia damazii;Cerrado
OCHNACEAE;Luxemburgia ciliatibracteata;Cerrado
OCHNACEAE;Luxemburgia damazioana;Cerrado
OCHNACEAE;Luxemburgia diciliata;Caatinga
OCHNACEAE;Luxemburgia diciliata;Cerrado
OCHNACEAE;Luxemburgia hatschbachiana;Cerrado
OCHNACEAE;Luxemburgia speciosa;Cerrado
MONIMIACEAE;Macropeplus schwackeanus;Cerrado
MONIMIACEAE;Macropeplus schwackeanus;Mata Atlântica
APOCYNACEAE;Mandevilla rubra;Cerrado
APOCYNACEAE;Mandevilla semirii;Caatinga
APOCYNACEAE;Mandevilla semirii;Cerrado
APOCYNACEAE;Marsdenia sessilifolia;Mata Atlântica
APOCYNACEAE;Marsdenia sessilifolia;Cerrado
APOCYNACEAE;Marsdenia sessilifolia;Caatinga
MALPIGHIACEAE;Mascagnia aptera;Cerrado
CELASTRACEAE;Maytenus opaca;Cerrado
CELASTRACEAE;Maytenus opaca;Caatinga
POACEAE;Mesosetum alatum;Cerrado
POACEAE;Mesosetum longiaristatum;Cerrado
MELASTOMATACEAE;Microlicia balsamifera;Cerrado
MELASTOMATACEAE;Microlicia balsamifera;Caatinga
MELASTOMATACEAE;Microlicia cipoana;Cerrado
MELASTOMATACEAE;Microlicia giuliettiana;Cerrado
MELASTOMATACEAE;Microlicia giuliettiana;Caatinga
MELASTOMATACEAE;Microlicia minima;Cerrado
MELASTOMATACEAE;Microlicia minima;Caatinga
MELASTOMATACEAE;Microlicia monticola;Cerrado
MELASTOMATACEAE;Microlicia monticola;Caatinga
MELASTOMATACEAE;Microlicia mucugensis;Cerrado
MELASTOMATACEAE;Microlicia noblickii;Cerrado
MELASTOMATACEAE;Microlicia oligochaeta;Cerrado
MELASTOMATACEAE;Microlicia ordinata;Cerrado
MELASTOMATACEAE;Microlicia petasensis;Cerrado
MELASTOMATACEAE;Microlicia petasensis;Caatinga
MELASTOMATACEAE;Microlicia pinheiroi;Cerrado
MELASTOMATACEAE;Microlicia pinheiroi;Caatinga
MELASTOMATACEAE;Microlicia scoparia;Cerrado
MELASTOMATACEAE;Microlicia sincorensis;Cerrado
MELASTOMATACEAE;Microlicia sincorensis;Caatinga
MELASTOMATACEAE;Microlicia subaequalis;Cerrado
MELASTOMATACEAE;Microlicia subaequalis;Caatinga
MELASTOMATACEAE;Microlicia subalata;Cerrado
MELASTOMATACEAE;Microlicia subalata;Caatinga
MELASTOMATACEAE;Microlicia suborbicularifolia;Cerrado
MELASTOMATACEAE;Microlicia tenuifolia;Cerrado
MELASTOMATACEAE;Microlicia trichocalycina;Cerrado
MELASTOMATACEAE;Microlicia vernicosa;Cerrado
FABACEAE;Mimosa cryptothamnos;Cerrado
FABACEAE;Mimosa cyclophylla;Cerrado
FABACEAE;Mimosa decorticans;Cerrado
FABACEAE;Mimosa lepidophora;Cerrado
FABACEAE;Mimosa lepidophora;Caatinga
FABACEAE;Mimosa manidea;Cerrado
FABACEAE;Mimosa oligosperma;Cerrado
FABACEAE;Mimosa pyrenea;Cerrado
FABACEAE;Mimosa regina;Cerrado
FABACEAE;Mimosa setosissima;Cerrado
FABACEAE;Mimosa splendida;Cerrado
FABACEAE;Mimosa ulbrichiana;Cerrado
FABACEAE;Mimosa ulei;Cerrado
FABACEAE;Mimosa virgula;Cerrado
APOCYNACEAE;Minaria campanuliflora;Cerrado
ASTERACEAE;Minasia cabralensis;Cerrado
RUBIACEAE;Mitracarpus pusillus;Cerrado
FABACEAE;Moldenhawera acuminata;Cerrado
APOCYNACEAE;Nephradenia filipes;Cerrado
POACEAE;Ophiochloa bryoides;Cerrado
BROMELIACEAE;Orthophytum mello-barretoi;Cerrado
BROMELIACEAE;Orthophytum mello-barretoi;Caatinga
BROMELIACEAE;Orthophytum schulzianum;Cerrado
LORANTHACEAE;Oryctina eubrachioides;Caatinga
LORANTHACEAE;Oryctina eubrachioides;Cerrado
POACEAE;Otachyrium piligerum;Cerrado
OCHNACEAE;Ouratea acicularis;Cerrado
APOCYNACEAE;Oxypetalum habrogynum;Cerrado
APOCYNACEAE;Oxypetalum helios;Cerrado
ERIOCAULACEAE;Paepalanthus albidus;Cerrado
ERIOCAULACEAE;Paepalanthus albo-tomentosus;Cerrado
ERIOCAULACEAE;Paepalanthus almasensis;Cerrado
ERIOCAULACEAE;Paepalanthus argenteus;Cerrado
ERIOCAULACEAE;Paepalanthus aureus;Cerrado
ERIOCAULACEAE;Paepalanthus barbiger;Cerrado
ERIOCAULACEAE;Paepalanthus barbulatus;Cerrado
ERIOCAULACEAE;Paepalanthus cinereus;Cerrado
ERIOCAULACEAE;Paepalanthus complanatus;Cerrado
ERIOCAULACEAE;Paepalanthus contasensis;Cerrado
ERIOCAULACEAE;Paepalanthus cordatus;Cerrado
ERIOCAULACEAE;Paepalanthus erigeron;Cerrado
ERIOCAULACEAE;Paepalanthus globulifer;Cerrado
ERIOCAULACEAE;Paepalanthus harleyi;Cerrado
ERIOCAULACEAE;Paepalanthus harleyi;Caatinga
ERIOCAULACEAE;Paepalanthus homomallus;Cerrado
ERIOCAULACEAE;Paepalanthus inopinatus;Cerrado
ERIOCAULACEAE;Paepalanthus luetzelburgii;Cerrado
ERIOCAULACEAE;Paepalanthus obtusifolius;Cerrado
ERIOCAULACEAE;Paepalanthus obtusifolius;Caatinga
ERIOCAULACEAE;Paepalanthus pulvinatus;Cerrado
ERIOCAULACEAE;Paepalanthus pulvinatus;Caatinga
ERIOCAULACEAE;Paepalanthus revolutus;Cerrado
ERIOCAULACEAE;Paepalanthus rupestris;Cerrado
ERIOCAULACEAE;Paepalanthus senaeanus;Cerrado
ERIOCAULACEAE;Paepalanthus stannardii;Cerrado
ERIOCAULACEAE;Paepalanthus stuetzelii;Cerrado
ERIOCAULACEAE;Paepalanthus superbus;Cerrado
ERIOCAULACEAE;Paepalanthus urbanianus;Cerrado
GESNERIACEAE;Paliavana plumerioides;Cerrado
POACEAE;Panicum noterophilum;Cerrado
POACEAE;Panicum noterophilum;Caatinga
CARYOPHYLLACEAE;Paronychia fasciculata;Cerrado
POACEAE;Paspalum biaristatum;Cerrado
POACEAE;Paspalum brachytrichum;Mata Atlântica
POACEAE;Paspalum brachytrichum;Cerrado
POACEAE;Paspalum longiaristatum;Cerrado
POACEAE;Paspalum petrense;Cerrado
PASSIFLORACEAE;Passiflora hypoglauca;Cerrado
PASSIFLORACEAE;Passiflora hypoglauca;Mata Atlântica
PASSIFLORACEAE;Passiflora mucugeana;Cerrado
MALPIGHIACEAE;Peixotoa anadenanthera;Cerrado
MALPIGHIACEAE;Peixotoa irwinii;Cerrado
PIPERACEAE;Peperomia warmingii;Cerrado
PIPERACEAE;Peperomia warmingii;Mata Atlântica
SCROPHULARIACEAE;Philcoxia minensis;Cerrado
ARACEAE;Philodendron cipoense;Cerrado
ARACEAE;Philodendron cipoense;Mata Atlântica
ARACEAE;Philodendron pachyphyllum;Cerrado
ARACEAE;Philodendron rhizomatosum;Cerrado
ARACEAE;Philodendron rhizomatosum;Mata Atlântica
SANTALACEAE;Phoradendron anamariae;Cerrado
SANTALACEAE;Phoradendron dimerostachys;Caatinga
SANTALACEAE;Phoradendron dimerostachys;Cerrado
SANTALACEAE;Phoradendron virens;Cerrado
OROBANCHACEAE;Physocalyx scaberrimus;Caatinga
OROBANCHACEAE;Physocalyx scaberrimus;Cerrado
TURNERACEAE;Piriqueta caiapoensis;Cerrado
BROMELIACEAE;Pitcairnia curvidens;Cerrado
MYRTACEAE;Plinia nana;Cerrado
ACANTHACEAE;Poikilacanthus bahiensis;Cerrado
ACANTHACEAE;Poikilacanthus bahiensis;Caatinga
FABACEAE;Poiretia bahiana;Cerrado
FABACEAE;Poiretia marginata;Cerrado
FABACEAE;Poiretia unifoliolata;Cerrado
POLYGALACEAE;Polygala apparicioi;Cerrado
POLYGALACEAE;Polygala asperuloides;Amazônia
POLYGALACEAE;Polygala asperuloides;Cerrado
POLYGALACEAE;Polygala bevilacquai;Cerrado
POLYGALACEAE;Polygala grazielae;Cerrado
POLYGALACEAE;Polygala irwinii;Cerrado
POLYGALACEAE;Polygala irwinii;Amazônia
POLYGALACEAE;Polygala juncea;Cerrado
POLYGALACEAE;Polygala malmeana;Cerrado
POLYGALACEAE;Polygala malmeana;Amazônia
POLYGALACEAE;Polygala pseudocoriacea;Cerrado
POLYGALACEAE;Polygala suganumae;Cerrado
POLYGALACEAE;Polygala trifurcata;Caatinga
POLYGALACEAE;Polygala trifurcata;Cerrado
POLYGALACEAE;Polygala vollii;Mata Atlântica
GENTIANACEAE;Prepusa montana;Cerrado
BURSERACEAE;Protium dawsonii;Cerrado
MYRTACEAE;Psidium firmum;Cerrado
MYRTACEAE;Psidium firmum;Mata Atlântica
LORANTHACEAE;Psittacanthus acinarius;Amazônia
LORANTHACEAE;Psittacanthus acinarius;Caatinga
LORANTHACEAE;Psittacanthus acinarius;Cerrado
LORANTHACEAE;Psittacanthus acinarius;Pantanal
RUBIACEAE;Psyllocarpus schwackei;Cerrado
MALPIGHIACEAE;Pterandra hatschbachii;Cerrado
MELASTOMATACEAE;Pterolepis rotundifolia;Cerrado
VOCHYSIACEAE;Qualea elegans;Cerrado
APOCYNACEAE;Rauvolfia ligustrina;Cerrado
APOCYNACEAE;Rauvolfia ligustrina;Mata Atlântica
