"Familia";"Especie";"Ação";"Situação"
ERIOCAULACEAE;Paepalanthus obtusifolius;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus pulvinatus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus revolutus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus senaeanus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus stannardii;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus stuetzelii;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus superbus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus urbanianus;1.1 Site/area protection;on going;
GESNERIACEAE;Paliavana plumerioides;1.1 Site/area protection;on going;
GESNERIACEAE;Paliavana plumerioides;3.4 Ex-situ conservation;on going;
POACEAE;Panicum nutabundum;1.1 Site/area protection;on going;
CARYOPHYLLACEAE;Paronychia fasciculata;1.1 Site/area protection;on going;
POACEAE;Paspalum brachytrichum;1.1 Site/area protection;on going;
POACEAE;Paspalum petrense;5.1.2 National level;on going;
POACEAE;Paspalum petrense;3.4 Ex-situ conservation;on going;
POACEAE;Paspalum petrense;1.1 Site/area protection;on going;
PASSIFLORACEAE;Passiflora hypoglauca;1.1 Site/area protection;on going;
PASSIFLORACEAE;Passiflora mucugeana;1.1 Site/area protection;on going;
MALPIGHIACEAE;Peixotoa anadenanthera;1.1 Site/area protection;needed;
MALPIGHIACEAE;Peixotoa axillaris;1.1 Site/area protection;needed;
ARACEAE;Philodendron cipoense;1.1 Site/area protection;on going;
ARACEAE;Philodendron cipoense;3.4 Ex-situ conservation;on going;
ARACEAE;Philodendron pachyphyllum;1.1 Site/area protection;on going;
ARACEAE;Philodendron rhizomatosum;1.1 Site/area protection;on going;
ARACEAE;Philodendron rhizomatosum;3.4 Ex-situ conservation;on going;
SANTALACEAE;Phoradendron anamariae;1.1 Site/area protection;on going;
SANTALACEAE;Phoradendron virens;1.1 Site/area protection;on going;
TURNERACEAE;Piriqueta emasensis;1.1 Site/area protection;on going;
BROMELIACEAE;Pitcairnia curvidens;1.1 Site/area protection;on going;
ACANTHACEAE;Poikilacanthus bahiensis;1.1 Site/area protection;on going;
FABACEAE;Poiretia bahiana;1.1 Site/area protection;on going;
FABACEAE;Poiretia marginata;1.1 Site/area protection;on going;
FABACEAE;Poiretia unifoliolata;1.1 Site/area protection;;
POLYGALACEAE;Polygala apparicioi;1.1 Site/area protection;on going;
POLYGALACEAE;Polygala bevilacquai;1.1 Site/area protection;needed;
POLYGALACEAE;Polygala grazielae;1.1 Site/area protection;needed;
POLYGALACEAE;Polygala juncea;1.1 Site/area protection;on going;
POLYGALACEAE;Polygala malmeana;1.1 Site/area protection;on going;
POLYGALACEAE;Polygala patens;1.1 Site/area protection;needed;
POLYGALACEAE;Polygala pseudocoriacea;1.1 Site/area protection;needed;
POLYGALACEAE;Polygala suganumae;1.1 Site/area protection;needed;
POLYGALACEAE;Polygala trifurcata;1.1 Site/area protection;on going;
POLYGALACEAE;Polygala vollii;1.1 Site/area protection;on going;
GENTIANACEAE;Prepusa montana;1.1 Site/area protection;on going;
BURSERACEAE;Protium dawsonii;1.1 Site/area protection;on going;
MYRTACEAE;Psidium firmum;1.1 Site/area protection;on going;
RUBIACEAE;Psyllocarpus schwackei;1.1 Site/area protection;on going;
MELASTOMATACEAE;Pterolepis rotundifolia;1.1 Site/area protection;on going;
POACEAE;Rheochloa scabrifolia;1.1 Site/area protection;on going;
CACTACEAE;Rhipsalis agudoensis;2.1 Site/area management;needed;
CYPERACEAE;Rhynchospora enmanuelis;1.1 Site/area protection;needed;
CYPERACEAE;Rhynchospora tenuis;1.1 Site/area protection;on going;
CONNARACEAE;Rourea tenuis;1.1 Site/area protection;on going;
OCHNACEAE;Sauvagesia lanceolata;1.1 Site/area protection;on going;
OCHNACEAE;Sauvagesia oliveirae;5.4.2 National level;on going;
ARALIACEAE;Schefflera botumirimensis;1.1 Site/area protection;needed;
ARALIACEAE;Schefflera cephalantha;1.1 Site/area protection;on going;
